event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,,,,,,,,
49er Men,"Nacra 17, 49er and 49erFX European Championships",FRA202405EHS,2025-06-03,2025-06-08,"Thessaloniki, Greece",https://sailing.org/regatta/nacra-17-49er-and-49erfx-european-championships?ref=FRA202405EHS,,,,,,,,
49er Men,49er and 49erFX European Championships,FRA202405QTK,2024-05-07,2024-05-12,"La Grande Motte, France",https://sailing.org/regatta/49er-and-49erfx-european-championships?ref=FRA202405QTK,,,,,,,,
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,,,,,,,,
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207MUC,2022-07-05,2022-07-10,"Aarhus, Denmark",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207MUC,,,,,,,,
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202105GUT,2021-09-14,2021-09-19,"Thessaloniki, Greece",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202105GUT,,,,,,,,
49erFX Women,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,,,,,,,,
49erFX Women,"Nacra 17, 49er and 49erFX European Championships",FRA202405EHS,2025-06-03,2025-06-08,"Thessaloniki, Greece",https://sailing.org/regatta/nacra-17-49er-and-49erfx-european-championships?ref=FRA202405EHS,,,,,,,,
49erFX Women,49er and 49erFX European Championships,FRA202405QTK,2024-05-07,2024-05-12,"La Grande Motte, France",https://sailing.org/regatta/49er-and-49erfx-european-championships?ref=FRA202405QTK,,,,,,,,
49erFX Women,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,,,,,,,,
49erFX Women,"49er, 49erFX and Nacra 17 European Championships",DEN202207MUC,2022-07-05,2022-07-10,"Aarhus, Denmark",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207MUC,,,,,,,,
49erFX Women,"49er, 49erFX and Nacra 17 European Championships",GRE202105GUT,2021-09-14,2021-09-19,"Thessaloniki, Greece",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202105GUT,,,,,,,,
