event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points
470 Mixed,470 European Championships,FRA202104UVA,2021-04-30,2021-05-07,"Villamoura, Portugal",https://sailing.org/regatta/470-european-championships?ref=FRA202104UVA,1,ISR,Israel,Nitai Hasson / Saar Tamir,ISRST6 / ISRNH3,,0,0
470 Mixed,470 European Championships,FRA202104UVA,2021-04-30,2021-05-07,"Villamoura, Portugal",https://sailing.org/regatta/470-european-championships?ref=FRA202104UVA,2,GER,Germany,Theres Dahnke / Matti Cipra,GERTD14 / GERMC4,,0,0
470 Mixed,470 European Championships,FRA202104UVA,2021-04-30,2021-05-07,"Villamoura, Portugal",https://sailing.org/regatta/470-european-championships?ref=FRA202104UVA,3,GBR,Great Britain,Vita Heathcote / Ryan Orr,GBRRO16 / GBRVH7,,0,0
470 Mixed,470 European Championships,FRA202104UVA,2021-04-30,2021-05-07,"Villamoura, Portugal",https://sailing.org/regatta/470-european-championships?ref=FRA202104UVA,4,FRA,France,Marina Lefort / paco lepoutre,FRAPL81 / FRAML87,,0,0
470 Mixed,470 European Championships,FRA202104UVA,2021-04-30,2021-05-07,"Villamoura, Portugal",https://sailing.org/regatta/470-european-championships?ref=FRA202104UVA,5,GER,Germany,Daniel Göttlich / Anna Markfort,GERDG19 / GERAM23,,0,0
470 Mixed,470 European Championships,FRA202104UVA,2021-04-30,2021-05-07,"Villamoura, Portugal",https://sailing.org/regatta/470-european-championships?ref=FRA202104UVA,6,GBR,Great Britain,Amy Seabright / James Taylor,GBRJT83 / GBRAS83,,0,0
470 Mixed,470 European Championships,FRA202104UVA,2021-04-30,2021-05-07,"Villamoura, Portugal",https://sailing.org/regatta/470-european-championships?ref=FRA202104UVA,7,GRE,Greece,Nikolaos Brilakis / Rafailina KLONARIDOU,GRERK2 / GRENB4,,0,0
470 Mixed,470 European Championships,FRA202104UVA,2021-04-30,2021-05-07,"Villamoura, Portugal",https://sailing.org/regatta/470-european-championships?ref=FRA202104UVA,8,FRA,France,Hugo le Clech / colombe julia,FRACJ16 / FRAHL19,,0,0
470 Mixed,470 European Championships,FRA202104UVA,2021-04-30,2021-05-07,"Villamoura, Portugal",https://sailing.org/regatta/470-european-championships?ref=FRA202104UVA,9,ISR,Israel,Tal Sade / Noa Lasry,ISRNL2 / ISRTS4,,0,0
470 Mixed,470 European Championships,FRA202104UVA,2021-04-30,2021-05-07,"Villamoura, Portugal",https://sailing.org/regatta/470-european-championships?ref=FRA202104UVA,10,USA,United States of America,Louisa Nordstrom / Trevor Bornarth,USALN18 / USATB148,,0,0
470 Mixed,470 European Championships,FRA202104UVA,2021-04-30,2021-05-07,"Villamoura, Portugal",https://sailing.org/regatta/470-european-championships?ref=FRA202104UVA,11,ITA,Italy,Marco Gradoni / Alessandra Dubbini,ITAMG178 / ITAAD104,,0,0
470 Mixed,470 European Championships,FRA202104UVA,2021-04-30,2021-05-07,"Villamoura, Portugal",https://sailing.org/regatta/470-european-championships?ref=FRA202104UVA,12,GBR,Great Britain,Georgina Povall / Arran Holman,GBRGP28 / GBRAH114,,0,0
470 Mixed,470 European Championships,FRA202104UVA,2021-04-30,2021-05-07,"Villamoura, Portugal",https://sailing.org/regatta/470-european-championships?ref=FRA202104UVA,13,GER,Germany,Theresa Loffler / Christopher Hoerr,GERCH41 / GERTL23,,0,0
