event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points,1,2,3,4,5,6,7,8,9,10,11,MR
470 Mixed,470 European Championships,FRA202405O96,2025-05-09,2025-05-17,"Split, Croatia",https://sailing.org/regatta/470-european-championships?ref=FRA202405O96,1,ESP,Spain,Jordi Xammar Hernandez / Marta Cardona Alcántara,ESPMC81 / ESPJX1,,49,27,3,(22),1,1,2,1,2,1,2,6,4,4
470 Mixed,470 European Championships,FRA202405O96,2025-05-09,2025-05-17,"Split, Croatia",https://sailing.org/regatta/470-european-championships?ref=FRA202405O96,2,GBR,Great Britain,Martin Wrigley / Bettine Harris,GBRBH46 / GBRMW97,,76,64,(12),8,9,11,3,2,1,2,4,3,1,20
470 Mixed,470 European Championships,FRA202405O96,2025-05-09,2025-05-17,"Split, Croatia",https://sailing.org/regatta/470-european-championships?ref=FRA202405O96,3,FRA,France,Matisse Pacaud / Lucie de Gennes,FRALD32 / FRAMP48,,92,76,(16),14,15,6,6,4,14,4,1,4,2,6
470 Mixed,470 European Championships,FRA202405O96,2025-05-09,2025-05-17,"Split, Croatia",https://sailing.org/regatta/470-european-championships?ref=FRA202405O96,4,POR,Portugal,Beatriz Gago / Rodolfo Pires,PORBG3 / PORRP9,,128,90,1,10,3,3,5,(38) BFD,10,22,5,10,19,2
470 Mixed,470 European Championships,FRA202405O96,2025-05-09,2025-05-17,"Split, Croatia",https://sailing.org/regatta/470-european-championships?ref=FRA202405O96,5,GER,Germany,Simon Diesch / Anna Markfort,GERAM23 / GERSD8,,134,96,25,18,(38) UFD,8,4,3,9,5,3,2,3,16
470 Mixed,470 European Championships,FRA202405O96,2025-05-09,2025-05-17,"Split, Croatia",https://sailing.org/regatta/470-european-championships?ref=FRA202405O96,6,GER,Germany,Theresa Loffler / Christopher Hoerr,GERTL23 / GERCH41,,127,104,20,11,14,10,1,6,4,3,6,(23),11,18
470 Mixed,470 European Championships,FRA202405O96,2025-05-09,2025-05-17,"Split, Croatia",https://sailing.org/regatta/470-european-championships?ref=FRA202405O96,7,POL,Poland,Agnieszka Skrzypulec / Szymon Wierzbicki,POLSW2 / POLAS9,,125,109,6,5,(16),5,13,9,16,12,7,15,9,12
470 Mixed,470 European Championships,FRA202405O96,2025-05-09,2025-05-17,"Split, Croatia",https://sailing.org/regatta/470-european-championships?ref=FRA202405O96,8,AUT,Austria,Lara Vadlau / Niklas Haberl,AUTVL1 / AUTNH3,,133,111,2,21,5,12,(22),10,8,18,12,1,12,10
470 Mixed,470 European Championships,FRA202405O96,2025-05-09,2025-05-17,"Split, Croatia",https://sailing.org/regatta/470-european-championships?ref=FRA202405O96,9,ITA,Italy,Giacomo Ferrari / Alessandra Dubbini,ITAAD104 / ITAGF75,,136,117,(19),13,7,7,16,8,3,13,8,17,17,8
470 Mixed,470 European Championships,FRA202405O96,2025-05-09,2025-05-17,"Split, Croatia",https://sailing.org/regatta/470-european-championships?ref=FRA202405O96,10,POR,Portugal,Diogo Costa / Carolina Joao,PORCJ1 / PORDC11,,167,129,8,19,13,2,7,(38) BFD,6,19,9,14,18,14
470 Mixed,470 European Championships,FRA202405O96,2025-05-09,2025-05-17,"Split, Croatia",https://sailing.org/regatta/470-european-championships?ref=FRA202405O96,11,FRA,France,LOMANE VALADE / Julien Bunel,FRAJB81 / FRALV29,,165,127,4,4,17,21,10,(38) BFD,13,21,21,9,7,-
470 Mixed,470 European Championships,FRA202405O96,2025-05-09,2025-05-17,"Split, Croatia",https://sailing.org/regatta/470-european-championships?ref=FRA202405O96,12,GER,Germany,Theres Dahnke / Paco Melzer,GERPM24 / GERTD14,,166,128,13,15,11,23,9,(38) BFD,5,11,18,8,15,-
