event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points,1F,2F,3F,4F,5F,6F,7F,CF,M1,M2,CF FS
470 Mixed,470 European Championships,CRO202505LK4,2026-03-06,2026-03-14,"Vilamoura, Portugal",https://sailing.org/regatta/470-european-championships?ref=CRO202505LK4,1,GBR,Great Britain,Martin Wrigley / Bettine Harris,GBRBH46 / GBRMW97,,37,24,(13),2,2,3,8,1,1,19,1,4,2
470 Mixed,470 European Championships,CRO202505LK4,2026-03-06,2026-03-14,"Vilamoura, Portugal",https://sailing.org/regatta/470-european-championships?ref=CRO202505LK4,2,ITA,Italy,Giacomo Ferrari / Alessandra Dubbini,ITAAD104 / ITAGF75,,51,35,(16),3,1,2,2,6,8,23,4,8,1
470 Mixed,470 European Championships,CRO202505LK4,2026-03-06,2026-03-14,"Vilamoura, Portugal",https://sailing.org/regatta/470-european-championships?ref=CRO202505LK4,3,ESP,Spain,Jordi Xammar Hernandez / Marta Cardona Alcántara,ESPJX1 / ESPMC81,,49,36,5,1,8,(13),5,7,3,32,2,2,3
470 Mixed,470 European Championships,CRO202505LK4,2026-03-06,2026-03-14,"Vilamoura, Portugal",https://sailing.org/regatta/470-european-championships?ref=CRO202505LK4,4,POR,Portugal,Beatriz Gago / Rodolfo Pires,PORBG3 / PORRP9,,58,44,2,(14),4,10,3,4,5,36,3,5,8
470 Mixed,470 European Championships,CRO202505LK4,2026-03-06,2026-03-14,"Vilamoura, Portugal",https://sailing.org/regatta/470-european-championships?ref=CRO202505LK4,5,ESP,Spain,Silvia Mas / Alejandro de Maqua,ESPSS11 / ESPAD57,,55,45,3,8,(10),1,1,9,4,39,5,1,13
470 Mixed,470 European Championships,CRO202505LK4,2026-03-06,2026-03-14,"Vilamoura, Portugal",https://sailing.org/regatta/470-european-championships?ref=CRO202505LK4,6,ITA,Italy,Elena Berta / Giulio Calabro,ITAGC160 / ITAEB35,,58,49,1,5,5,4,(9),3,6,33,9,7,9
470 Mixed,470 European Championships,CRO202505LK4,2026-03-06,2026-03-14,"Vilamoura, Portugal",https://sailing.org/regatta/470-european-championships?ref=CRO202505LK4,7,FRA,France,Matisse Pacaud / Lucie de Gennes,FRAMP48 / FRALD32,,99,60,14,12,(18),11,13,12,2,50,7,3,7
470 Mixed,470 European Championships,CRO202505LK4,2026-03-06,2026-03-14,"Vilamoura, Portugal",https://sailing.org/regatta/470-european-championships?ref=CRO202505LK4,8,GER,Germany,Theresa Loffler / Christopher Hoerr,GERTL23 / GERCH41,,92,60,9,7,15,5,(18),10,10,48,6,6,6
470 Mixed,470 European Championships,CRO202505LK4,2026-03-06,2026-03-14,"Vilamoura, Portugal",https://sailing.org/regatta/470-european-championships?ref=CRO202505LK4,9,JPN,Japan,Tetsuya Isozaki / Yurie Seki,JPNYS26 / JPNTI15,,112,67,(26) UFD,4,17,8,6,16,14,50,8,9,4
470 Mixed,470 European Championships,CRO202505LK4,2026-03-06,2026-03-14,"Vilamoura, Portugal",https://sailing.org/regatta/470-european-championships?ref=CRO202505LK4,10,POR,Portugal,Diogo Costa / Carolina Joao,PORDC11 / PORCJ1,,108,70,11,15,3,16,10,8,(20),50,10,10,5
470 Mixed,470 European Championships,CRO202505LK4,2026-03-06,2026-03-14,"Vilamoura, Portugal",https://sailing.org/regatta/470-european-championships?ref=CRO202505LK4,11,SUI,Switzerland,Yves Mermod / Maja Siegenthaler,SUISM14 / SUIYM2,,98,78,(20),6,20,9,17,5,11,-,-,-,10
470 Mixed,470 European Championships,CRO202505LK4,2026-03-06,2026-03-14,"Vilamoura, Portugal",https://sailing.org/regatta/470-european-championships?ref=CRO202505LK4,12,GER,Germany,Malte Winkel / Paula Schütze,GERPS64 / GERMW22,,97,78,8,9,7,6,12,(19),18,-,-,-,18
470 Mixed,470 European Championships,CRO202505LK4,2026-03-06,2026-03-14,"Vilamoura, Portugal",https://sailing.org/regatta/470-european-championships?ref=CRO202505LK4,13,GBR,Great Britain,Hannah Bristow / James Taylor,GBRJT83 / GBRHB45,,101,82,17,11,9,12,14,2,(19),-,-,-,17
470 Mixed,470 European Championships,CRO202505LK4,2026-03-06,2026-03-14,"Vilamoura, Portugal",https://sailing.org/regatta/470-european-championships?ref=CRO202505LK4,14,POL,Poland,Agnieszka Skrzypulec / Szymon Wierzbicki,POLAS9 / POLSW2,,108,83,12,17,6,7,(25),17,12,-,-,-,12
470 Mixed,470 European Championships,CRO202505LK4,2026-03-06,2026-03-14,"Vilamoura, Portugal",https://sailing.org/regatta/470-european-championships?ref=CRO202505LK4,15,GER,Germany,Theres Dahnke / Paco Melzer,GERTD14 / GERPM24,,112,92,4,(20),19,14,16,15,13,-,-,-,11
470 Mixed,470 European Championships,CRO202505LK4,2026-03-06,2026-03-14,"Vilamoura, Portugal",https://sailing.org/regatta/470-european-championships?ref=CRO202505LK4,16,NOR,Norway,Julia Jacobsen / Victor Lööf,NORVL9 / NORJJ8,,117,92,6,(25),14,15,7,21,7,-,-,-,22
470 Mixed,470 European Championships,CRO202505LK4,2026-03-06,2026-03-14,"Vilamoura, Portugal",https://sailing.org/regatta/470-european-championships?ref=CRO202505LK4,17,FRA,France,Manon Pennaneac'H / Pierre Williot,FRAPW7 / FRAMP82,,120,101,(19),13,16,17,11,13,16,-,-,-,15
470 Mixed,470 European Championships,CRO202505LK4,2026-03-06,2026-03-14,"Vilamoura, Portugal",https://sailing.org/regatta/470-european-championships?ref=CRO202505LK4,18,GER,Germany,Amelie Wehrle / Riccardo Honold,GERRH29 / GERAW43,,126,104,7,16,(22),19,4,22,22,-,-,-,14
470 Mixed,470 European Championships,CRO202505LK4,2026-03-06,2026-03-14,"Vilamoura, Portugal",https://sailing.org/regatta/470-european-championships?ref=CRO202505LK4,19,TUR,Türkiye,Efe Tulcali / Defne Danismend,TURDD6 / TURET8,,141,116,10,18,21,(25),20,18,9,-,-,-,20
470 Mixed,470 European Championships,CRO202505LK4,2026-03-06,2026-03-14,"Vilamoura, Portugal",https://sailing.org/regatta/470-european-championships?ref=CRO202505LK4,20,GBR,Great Britain,Haydn Sewell / Daniela Fusco-House,GBRHS51 / GBRDF44,,140,118,15,10,11,20,(22),20,21,-,-,-,21
470 Mixed,470 European Championships,CRO202505LK4,2026-03-06,2026-03-14,"Vilamoura, Portugal",https://sailing.org/regatta/470-european-championships?ref=CRO202505LK4,21,ITA,Italy,Lisa Vucetti / vittorio bonifacio,ITALV47 / ITAVB65,,155,131,(24),19,24,18,19,11,17,-,-,-,23
470 Mixed,470 European Championships,CRO202505LK4,2026-03-06,2026-03-14,"Vilamoura, Portugal",https://sailing.org/regatta/470-european-championships?ref=CRO202505LK4,22,POL,Poland,Zofia Korsak / Miko?aj Bazyli,POLZK9 / POLMB42,,157,133,18,23,13,23,(24),14,23,-,-,-,19
470 Mixed,470 European Championships,CRO202505LK4,2026-03-06,2026-03-14,"Vilamoura, Portugal",https://sailing.org/regatta/470-european-championships?ref=CRO202505LK4,23,FRA,France,Sarah  JANNIN / Iban CORNIC,FRAIC6 / FRASJ18,,167,141,22,21,12,22,23,(26) UFD,25,-,-,-,16
470 Mixed,470 European Championships,CRO202505LK4,2026-03-06,2026-03-14,"Vilamoura, Portugal",https://sailing.org/regatta/470-european-championships?ref=CRO202505LK4,24,AIN,Individual Neutral Athletes,Dmitry Lazdin / Marina Fedorova,AINXDL2 / AINXMF1,,172,147,23,22,(25),24,15,23,15,-,-,-,25
470 Mixed,470 European Championships,CRO202505LK4,2026-03-06,2026-03-14,"Vilamoura, Portugal",https://sailing.org/regatta/470-european-championships?ref=CRO202505LK4,25,UKR,Ukraine,Yehor Samarin / Yelyzaveta Vasylenko,UKRYV5 / UKRYS4,,184,158,21,24,23,21,21,(26) UFD,24,-,-,-,24
470 Mixed,470 European Championships,CRO202505LK4,2026-03-06,2026-03-14,"Vilamoura, Portugal",https://sailing.org/regatta/470-european-championships?ref=CRO202505LK4,26,ITA,Italy,Emma Maltese / Marcello Miliardi,ITAMM399 / ITAEM92,,62,54,5,2,7,1,1,4,(8),-,-,-,34
470 Mixed,470 European Championships,CRO202505LK4,2026-03-06,2026-03-14,"Vilamoura, Portugal",https://sailing.org/regatta/470-european-championships?ref=CRO202505LK4,27,ISR,Israel,Nitai Hasson / Noga Tiano,ISRNH3 / ISRNT4,,71,57,4,1,13,5,6,1,(14),-,-,-,27
470 Mixed,470 European Championships,CRO202505LK4,2026-03-06,2026-03-14,"Vilamoura, Portugal",https://sailing.org/regatta/470-european-championships?ref=CRO202505LK4,28,SWE,Sweden,Hedvig Liljegren / Hugo Liljegren,SWEHL27 / SWEHL26,,74,57,2,3,6,6,4,6,(17),-,-,-,30
470 Mixed,470 European Championships,CRO202505LK4,2026-03-06,2026-03-14,"Vilamoura, Portugal",https://sailing.org/regatta/470-european-championships?ref=CRO202505LK4,29,ITA,Italy,Livia Ciampinelli / Nicola Brunotti,ITANB35 / ITALC179,,79,59,3,(20),1,3,5,13,2,-,-,-,32
470 Mixed,470 European Championships,CRO202505LK4,2026-03-06,2026-03-14,"Vilamoura, Portugal",https://sailing.org/regatta/470-european-championships?ref=CRO202505LK4,30,TUR,Türkiye,Beste Kaynakci / Sezai Bora Kütük,TURBK13 / TURSK7,,90,61,1,4,2,8,9,(29) BFD,6,-,-,-,31
