event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points
49erFX Women,"49er, 49erFX and Nacra 17 European Championships",GRE202105GUT,2021-09-14,2021-09-19,"Thessaloniki, Greece",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202105GUT,1,NED,Netherlands,Odile van Aanholt / Elise Ruyter,NEDER4 / NEDOV6,,0,100
49erFX Women,"49er, 49erFX and Nacra 17 European Championships",GRE202105GUT,2021-09-14,2021-09-19,"Thessaloniki, Greece",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202105GUT,2,CRO,Croatia,Enia Nincevic / Mihaela Zjena de Micheli Vitturi,CROEN3 / CROMD6,,0,97
49erFX Women,"49er, 49erFX and Nacra 17 European Championships",GRE202105GUT,2021-09-14,2021-09-19,"Thessaloniki, Greece",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202105GUT,3,CAN,Canada,Georgia Lewin Lafrance / Antonia Lewin Lafrance,CANAL21 / CANGL13,,0,94
49erFX Women,"49er, 49erFX and Nacra 17 European Championships",GRE202105GUT,2021-09-14,2021-09-19,"Thessaloniki, Greece",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202105GUT,4,MLT,Malta,Antonia Schultheis / Victoria Schultheis,MLTAS4 / MLTVS2,,0,91
49erFX Women,"49er, 49erFX and Nacra 17 European Championships",GRE202105GUT,2021-09-14,2021-09-19,"Thessaloniki, Greece",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202105GUT,5,DEN,Denmark,Johanne Schmidt / Andrea Schmidt,DENAS13 / DENJS28,,0,89
49erFX Women,"49er, 49erFX and Nacra 17 European Championships",GRE202105GUT,2021-09-14,2021-09-19,"Thessaloniki, Greece",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202105GUT,6,POL,Poland,Aleksandra Melzacka / Sandra Jankowiak,POLSJ2 / POLMM48,,0,86
49erFX Women,"49er, 49erFX and Nacra 17 European Championships",GRE202105GUT,2021-09-14,2021-09-19,"Thessaloniki, Greece",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202105GUT,7,ITA,Italy,Jana Germani / Giorgia Bertuzzi,ITAJG20 / ITAGB172,,0,83
49erFX Women,"49er, 49erFX and Nacra 17 European Championships",GRE202105GUT,2021-09-14,2021-09-19,"Thessaloniki, Greece",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202105GUT,8,FRA,France,Lara Granier / Amelie Riou,FRALG47 / FRAAR8,,0,81
49erFX Women,"49er, 49erFX and Nacra 17 European Championships",GRE202105GUT,2021-09-14,2021-09-19,"Thessaloniki, Greece",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202105GUT,9,GER,Germany,Moja Maru Scheel / Freya Feilcke,GERMS139 / GERFF20,,0,78
49erFX Women,"49er, 49erFX and Nacra 17 European Championships",GRE202105GUT,2021-09-14,2021-09-19,"Thessaloniki, Greece",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202105GUT,10,FRA,France,Mathilde Lovadina / Marine Riou,FRAMR29 / FRAML86,,0,75
49erFX Women,"49er, 49erFX and Nacra 17 European Championships",GRE202105GUT,2021-09-14,2021-09-19,"Thessaloniki, Greece",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202105GUT,11,ITA,Italy,Alexandra Stalder / Silvia Speri,ITAAS165 / ITASS103,,0,72
49erFX Women,"49er, 49erFX and Nacra 17 European Championships",GRE202105GUT,2021-09-14,2021-09-19,"Thessaloniki, Greece",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202105GUT,12,GBR,Great Britain,Megan Brickwood / Stephanie Orton,GBRMB125 / GBRSO19,,0,70
49erFX Women,"49er, 49erFX and Nacra 17 European Championships",GRE202105GUT,2021-09-14,2021-09-19,"Thessaloniki, Greece",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202105GUT,13,ITA,Italy,Carlotta Omari / Sveva Carraro,ITACO4 / ITASC1,,0,67
49erFX Women,"49er, 49erFX and Nacra 17 European Championships",GRE202105GUT,2021-09-14,2021-09-19,"Thessaloniki, Greece",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202105GUT,14,GBR,Great Britain,Isabelle Fellows / Nicola Boniface,GBRNB50 / GBRIF12,,0,64
49erFX Women,"49er, 49erFX and Nacra 17 European Championships",GRE202105GUT,2021-09-14,2021-09-19,"Thessaloniki, Greece",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202105GUT,15,NED,Netherlands,Svea Karsenbarg / Cecile Janmaat,NEDCJ3 / NEDSK20,,0,62
49erFX Women,"49er, 49erFX and Nacra 17 European Championships",GRE202105GUT,2021-09-14,2021-09-19,"Thessaloniki, Greece",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202105GUT,16,AUT,Austria,Laura Schöfegger / Lisa Farthofer,AUTLS3 / AUTLF2,,0,59
49erFX Women,"49er, 49erFX and Nacra 17 European Championships",GRE202105GUT,2021-09-14,2021-09-19,"Thessaloniki, Greece",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202105GUT,17,DEN,Denmark,Helena Wolff / Laura Zeeberg,DENHW4 / DENLZ1,,0,56
49erFX Women,"49er, 49erFX and Nacra 17 European Championships",GRE202105GUT,2021-09-14,2021-09-19,"Thessaloniki, Greece",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202105GUT,18,ITA,Italy,Margherita Porro / Matilda Distefano,ITAMD136 / ITAMP190,,0,54
49erFX Women,"49er, 49erFX and Nacra 17 European Championships",GRE202105GUT,2021-09-14,2021-09-19,"Thessaloniki, Greece",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202105GUT,19,GER,Germany,Sophie Steinlein / Bente Batzing,GERBB34 / GERSS70,,0,51
49erFX Women,"49er, 49erFX and Nacra 17 European Championships",GRE202105GUT,2021-09-14,2021-09-19,"Thessaloniki, Greece",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202105GUT,20,POL,Poland,Gabriela Czapska / Hanna Rajchert,POLHR2 / POLGC2,,0,48
49erFX Women,"49er, 49erFX and Nacra 17 European Championships",GRE202105GUT,2021-09-14,2021-09-19,"Thessaloniki, Greece",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202105GUT,21,GBR,Great Britain,Hannah Bristow / Anna Carpenter,GBRHB45 / GBRAC62,,0,45
49erFX Women,"49er, 49erFX and Nacra 17 European Championships",GRE202105GUT,2021-09-14,2021-09-19,"Thessaloniki, Greece",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202105GUT,22,NOR,Norway,Pia Dahl Andersen / Nora Edland,NORPA5 / NORNE4,,0,43
49erFX Women,"49er, 49erFX and Nacra 17 European Championships",GRE202105GUT,2021-09-14,2021-09-19,"Thessaloniki, Greece",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202105GUT,23,ITA,Italy,Arianna Passamonti / Giulia Fava,ITAAP182 / ITAGF74,,0,40
49erFX Women,"49er, 49erFX and Nacra 17 European Championships",GRE202105GUT,2021-09-14,2021-09-19,"Thessaloniki, Greece",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202105GUT,24,GER,Germany,Marla Bergmann / Hanna Wille,GERMB93 / GERHW17,,0,37
49erFX Women,"49er, 49erFX and Nacra 17 European Championships",GRE202105GUT,2021-09-14,2021-09-19,"Thessaloniki, Greece",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202105GUT,25,ITA,Italy,Silvia Sicouri / Alice Sinno,ITAAS111 / ITASS21,,0,35
49erFX Women,"49er, 49erFX and Nacra 17 European Championships",GRE202105GUT,2021-09-14,2021-09-19,"Thessaloniki, Greece",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202105GUT,26,SWE,Sweden,Alice Moss / Amanda Ljunggren,SWEAM17 / SWEAL40,,0,32
