event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,MR Medal
49erFX Women,49er and 49erFX European Championships,FRA202405QTK,2024-05-07,2024-05-12,"La Grande Motte, France",https://sailing.org/regatta/49er-and-49erfx-european-championships?ref=FRA202405QTK,1,BEL,Belgium,Isaura Maenhaut / Anouk Geurts,BELAG7 / BELIM1,BEL 18,127,110,7,4,15,7,5,6,12,1,(17),1,3,9,15,5,20
49erFX Women,49er and 49erFX European Championships,FRA202405QTK,2024-05-07,2024-05-12,"La Grande Motte, France",https://sailing.org/regatta/49er-and-49erfx-european-championships?ref=FRA202405QTK,2,FRA,France,Sarah Steyaert / Charline Picon,FRASS1 / FRACP3,FRA 84,137,119,1,9,16,12,6,2,9,8,6,2,2,16,(18),16,14
49erFX Women,49er and 49erFX European Championships,FRA202405QTK,2024-05-07,2024-05-12,"La Grande Motte, France",https://sailing.org/regatta/49er-and-49erfx-european-championships?ref=FRA202405QTK,3,GBR,Great Britain,Freya Black / Saskia Tidey,GBRFB12 / GBRST90,GBR 24,150,125,18,13,2,13,9,1,2,(25),7,18,5,8,2,11,16
49erFX Women,49er and 49erFX European Championships,FRA202405QTK,2024-05-07,2024-05-12,"La Grande Motte, France",https://sailing.org/regatta/49er-and-49erfx-european-championships?ref=FRA202405QTK,4,POL,Poland,Aleksandra Melzacka / Sandra Jankowiak,POLMM48 / POLSJ2,POL 14,148,128,12,1,8,2,11,3,8,18,19,14,(20),2,7,15,8
49erFX Women,49er and 49erFX European Championships,FRA202405QTK,2024-05-07,2024-05-12,"La Grande Motte, France",https://sailing.org/regatta/49er-and-49erfx-european-championships?ref=FRA202405QTK,5,FRA,France,Mathilde Lovadina / Aude Compan,FRAML86 / FRAAC66,FRA 34,160,130,13,8,18,17,13,9,3,15,2,(30) DSQ,7,7,10,6,2
49erFX Women,49er and 49erFX European Championships,FRA202405QTK,2024-05-07,2024-05-12,"La Grande Motte, France",https://sailing.org/regatta/49er-and-49erfx-european-championships?ref=FRA202405QTK,6,AUS,Australia,Laura Harding / Annie Wilmot,AUSLH17 / AUSAW33,AUS 5,169,139,3,24,9,9,22,(30) UFD,5,3,1,4,4,24,19,8,4
49erFX Women,49er and 49erFX European Championships,FRA202405QTK,2024-05-07,2024-05-12,"La Grande Motte, France",https://sailing.org/regatta/49er-and-49erfx-european-championships?ref=FRA202405QTK,7,POL,Poland,Gabriela Czapska / Hanna Rajchert,POLGC2 / POLHR2,POL 74,164,142,10,21,6,(22),10,11,7,10,11,9,17,4,4,10,12
49erFX Women,49er and 49erFX European Championships,FRA202405QTK,2024-05-07,2024-05-12,"La Grande Motte, France",https://sailing.org/regatta/49er-and-49erfx-european-championships?ref=FRA202405QTK,8,CAN,Canada,Georgia Lewin Lafrance / Antonia Lewin Lafrance,CANGL13 / CANAL21,CAN 71,175,145,(30) UFD,3,12,6,1,10,6,11,3,12,30 BFD,21,6,14,10
49erFX Women,49er and 49erFX European Championships,FRA202405QTK,2024-05-07,2024-05-12,"La Grande Motte, France",https://sailing.org/regatta/49er-and-49erfx-european-championships?ref=FRA202405QTK,9,USA,United States of America,Stephanie Roble / Maggie Shea,USASR16 / USAMS75,USA 50,183,153,2,15,3,11,25,(30) UFD,21,24,9,20,1,14,1,1,6
49erFX Women,49er and 49erFX European Championships,FRA202405QTK,2024-05-07,2024-05-12,"La Grande Motte, France",https://sailing.org/regatta/49er-and-49erfx-european-championships?ref=FRA202405QTK,10,MLT,Malta,Antonia Schultheis / Victoria Schultheis,MLTAS4 / MLTVS2,MLT 21,180,157,8,10,10,3,14,22,13,14,(23),3,6,3,14,19,18
49erFX Women,49er and 49erFX European Championships,FRA202405QTK,2024-05-07,2024-05-12,"La Grande Motte, France",https://sailing.org/regatta/49er-and-49erfx-european-championships?ref=FRA202405QTK,11,GER,Germany,Katharina Schwachhofer / Elena Stoltze,GERES45 / GERKS58,GER 696,174,151,17,6,4,(23),17,8,16,16,22,22,10,1,5,7,-
49erFX Women,49er and 49erFX European Championships,FRA202405QTK,2024-05-07,2024-05-12,"La Grande Motte, France",https://sailing.org/regatta/49er-and-49erfx-european-championships?ref=FRA202405QTK,12,GER,Germany,Anna Barth / Emma Kohlhoff,GERAB74 / GEREK19,GER 232,186,156,11,(30) DNS,17,30 DNC,7,5,1,2,16,19,14,5,9,20,-
