event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,MR Medal
49erFX Women,"Nacra 17, 49er and 49erFX European Championships",FRA202405EHS,2025-06-03,2025-06-08,"Thessaloniki, Greece",https://sailing.org/regatta/nacra-17-49er-and-49erfx-european-championships?ref=FRA202405EHS,1,CAN,Canada,Georgia Lewin Lafrance / Antonia Lewin Lafrance,CANGL13 / CANAL21,CAN 71,79,64,10,7,5,(15),1,3,14,2,14,4,1,1,1
49erFX Women,"Nacra 17, 49er and 49erFX European Championships",FRA202405EHS,2025-06-03,2025-06-08,"Thessaloniki, Greece",https://sailing.org/regatta/nacra-17-49er-and-49erfx-european-championships?ref=FRA202405EHS,2,GER,Germany,Marla Bergmann / Hanna Wille,GERMB93 / GERHW17,GER 55,105,74,5,(31) BFD,4,3,5,8,1,9,6,21,2,2,4
49erFX Women,"Nacra 17, 49er and 49erFX European Championships",FRA202405EHS,2025-06-03,2025-06-08,"Thessaloniki, Greece",https://sailing.org/regatta/nacra-17-49er-and-49erfx-european-championships?ref=FRA202405EHS,3,POL,Poland,Aleksandra Melzacka / Sandra Jankowiak,POLMM48 / POLSJ2,POL 14,110,85,1,6,2,18,6,(25),5,3,12,3,7,10,6
49erFX Women,"Nacra 17, 49er and 49erFX European Championships",FRA202405EHS,2025-06-03,2025-06-08,"Thessaloniki, Greece",https://sailing.org/regatta/nacra-17-49er-and-49erfx-european-championships?ref=FRA202405EHS,4,BEL,Belgium,Isaura Maenhaut / Anouk Geurts,BELAG7 / BELIM1,BEL 18,133,104,8,13,14,5,4,7,7,(29),11,20,8,3,2
49erFX Women,"Nacra 17, 49er and 49erFX European Championships",FRA202405EHS,2025-06-03,2025-06-08,"Thessaloniki, Greece",https://sailing.org/regatta/nacra-17-49er-and-49erfx-european-championships?ref=FRA202405EHS,5,GER,Germany,Sophie Steinlein / Catherine Bartelheimer,GERCB54 / GERSS70,GER 17,140,113,9,1,13,4,16,5,2,15,9,14,(27),15,5
49erFX Women,"Nacra 17, 49er and 49erFX European Championships",FRA202405EHS,2025-06-03,2025-06-08,"Thessaloniki, Greece",https://sailing.org/regatta/nacra-17-49er-and-49erfx-european-championships?ref=FRA202405EHS,6,FRA,France,Mathilde Lovadina / Lou Berthomieu,FRALB71 / FRAML86,FRA 19,131,113,15,4,15,2,13,12,8,7,5,(18),9,9,7
49erFX Women,"Nacra 17, 49er and 49erFX European Championships",FRA202405EHS,2025-06-03,2025-06-08,"Thessaloniki, Greece",https://sailing.org/regatta/nacra-17-49er-and-49erfx-european-championships?ref=FRA202405EHS,7,GBR,Great Britain,Freya Black / Saskia Tidey,GBRST90 / GBRFB12,GBR 24,146,119,3,14,1,1,(27),4,27,17,10,9,16,11,3
49erFX Women,"Nacra 17, 49er and 49erFX European Championships",FRA202405EHS,2025-06-03,2025-06-08,"Thessaloniki, Greece",https://sailing.org/regatta/nacra-17-49er-and-49erfx-european-championships?ref=FRA202405EHS,8,AUS,Australia,Laura Harding / Annie Wilmot,AUSAW33 / AUSLH17,AUS 5,153,130,(23),11,8,6,15,20,15,10,3,13,5,6,9
49erFX Women,"Nacra 17, 49er and 49erFX European Championships",FRA202405EHS,2025-06-03,2025-06-08,"Thessaloniki, Greece",https://sailing.org/regatta/nacra-17-49er-and-49erfx-european-championships?ref=FRA202405EHS,9,CZE,Czechia,Zofia Burska / Sara Tkadlecova,CZEST3 / CZEZB1,CZE 138,160,133,6,5,9,7,14,10,23,(27),22,8,6,7,8
49erFX Women,"Nacra 17, 49er and 49erFX European Championships",FRA202405EHS,2025-06-03,2025-06-08,"Thessaloniki, Greece",https://sailing.org/regatta/nacra-17-49er-and-49erfx-european-championships?ref=FRA202405EHS,10,GER,Germany,Moja Maru Scheel / Freya Feilcke,GERMS139 / GERFF20,GER 22,161,141,11,15,3,8,(20),14,9,11,7,10,20,13,10
