event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points,R1 ,R2 ,R3 ,R4 ,R5 ,R6 ,R7 Gold,R8 Gold,R9 Gold,R10 Gold,R11 Gold,R12 Gold,R13 Gold,R14 Gold,R15 Gold,R16 Gold,R17 Gold,C/F Medal,F1 Medal,F2 Medal
49erFX Women,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,1,CAN,Canada,Georgia Lewin Lafrance / Antonia Lewin Lafrance,CANAL21 / CANGL13,CAN 71,71,71,3,9,3,(19),2,9,1,1,3,8,8,19,3,1,1,-,-,71,-,-
49erFX Women,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,2,GER,Germany,Marla Bergmann / Hanna Wille,GERHW17 / GERMB93,GER 7,80,80,1,4,5,7,16,9,11,(25),1,13,20,6,1,7,4,-,-,80,-,-
49erFX Women,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,3,FRA,France,Mathilde Lovadina / Lou Berthomieu,FRALB71 / FRAML86,FRA 19,81,81,11,7,6,15,13,8,(17),9,15,4,1,3,6,5,3,-,-,81,-,-
49erFX Women,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,4,POL,Poland,Aleksandra Melzacka / Sandra Jankowiak,POLSJ2 / POLMM48,POL 14,85,85,13,5,16,8,3,1,2,(18),7,6,2,11,5,15,16,-,-,85,-,-
49erFX Women,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,5,GER,Germany,Sophie Steinlein / Catherine Bartelheimer,GERSS70 / GERCB54,GER 5,92,92,9,3,(28) RET,8,5,1,9,2,12,12,24,20,7,3,2,-,-,92,-,-
49erFX Women,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,6,ITA,Italy,Sofia Giunchiglia / Giulia Schio,ITAGS151 / ITASG57,ITA 15,96,96,15,11,10,9,8,8,7,8,(20),2,5,10,17,4,7,-,-,96,-,-
49erFX Women,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,7,NOR,Norway,Pia Dahl Andersen / Nora Edland,NORNE4 / NORPA5,NOR 1,97,97,4,14,1,14,2,13,(16),14,13,1,4,13,9,9,11,-,-,97,-,-
49erFX Women,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,8,ITA,Italy,Jana Germani / Giorgia Bertuzzi,ITAJG20 / ITAGB172,ITA 20,106,106,7,1,1,1,1,2,23,6,9,(26) DSQ,12,26 RET,21,16,5,-,-,106,-,-
49erFX Women,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,9,BEL,Belgium,Isaura Maenhaut / Anouk Geurts,BELAG7 / BELIM1,BEL 18,112,112,10,3,5,4,4,4,20,17,4,7,6,21,15,(26) DSQ,17,-,-,112,-,-
49erFX Women,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,10,DEN,Denmark,Johanne Schmidt / Andrea Schmidt,DENJS28 / DENAS13,DEN 13,114,114,4,6,17,19,9,3,(21),5,10,10,18,17,2,10,9,-,-,114,-,-
