event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202105GUT,2021-09-14,2021-09-19,"Thessaloniki, Greece",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202105GUT,1,POL,Poland,Mikolaj Staniul / Jakub Sztorch,POLJS41 / POLMS47,,0,100
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202105GUT,2021-09-14,2021-09-19,"Thessaloniki, Greece",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202105GUT,2,GER,Germany,Tim Fischer / Fabian Graf,GERFG11 / GERTF11,,0,98
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202105GUT,2021-09-14,2021-09-19,"Thessaloniki, Greece",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202105GUT,3,POL,Poland,Lukasz Przybytek / Pawel Kolodzinski,POLPK14 / POLLP2,,0,96
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202105GUT,2021-09-14,2021-09-19,"Thessaloniki, Greece",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202105GUT,4,SUI,Switzerland,Maxime Bachelin / Arno de Planta,SUIAD10 / SUIMB25,,0,95
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202105GUT,2021-09-14,2021-09-19,"Thessaloniki, Greece",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202105GUT,5,FRA,France,Kevin Fischer / Noe Delpech,FRAKF4 / FRAND4,,0,93
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202105GUT,2021-09-14,2021-09-19,"Thessaloniki, Greece",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202105GUT,6,NED,Netherlands,Bart Lambriex / Floris van de Werken,NEDBL3 / NEDFV23,,0,91
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202105GUT,2021-09-14,2021-09-19,"Thessaloniki, Greece",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202105GUT,7,USA,United States of America,Andrew Mollerus / Ian Macdiarmid,USAAM84 / USAIM9,,0,90
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202105GUT,2021-09-14,2021-09-19,"Thessaloniki, Greece",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202105GUT,8,FRA,France,Erwan Fischer / Clement Pequin,FRACP31 / FRAEF14,,0,88
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202105GUT,2021-09-14,2021-09-19,"Thessaloniki, Greece",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202105GUT,9,BEL,Belgium,Yannick Lefebvre / Tom Pelsmaekers,BELYL5 / BELTP1,,0,86
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202105GUT,2021-09-14,2021-09-19,"Thessaloniki, Greece",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202105GUT,10,GBR,Great Britain,Chris Taylor / Rhos Hawes,GBRRH84 / GBRCT23,,0,85
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202105GUT,2021-09-14,2021-09-19,"Thessaloniki, Greece",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202105GUT,11,AUT,Austria,Keanu Prettner / Jakob Flachberger,AUTKP5 / AUTJF8,,0,83
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202105GUT,2021-09-14,2021-09-19,"Thessaloniki, Greece",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202105GUT,12,POL,Poland,Dominik Buksak / Szymon Wierzbicki,POLDB1 / POLSW2,,0,81
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202105GUT,2021-09-14,2021-09-19,"Thessaloniki, Greece",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202105GUT,13,ESP,Spain,Andres Barrio Garcia / antonio torrado martinez,ESPAT19 / ESPAB57,,0,80
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202105GUT,2021-09-14,2021-09-19,"Thessaloniki, Greece",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202105GUT,14,GBR,Great Britain,Nick Robins / Samuel Batten,GBRNR20 / GBRSB86,,0,78
