event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points,Q1 Red,Q2 Red,Q3 Red,Q4 ,Q5 Red,Q6 Red,Q7 Red,F1 Gold,F2 Silver,F3 Bronze,F4 Bronze,F5 Silver,F6 Medal
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,1,FRA,France,Lucas Rual,FRALR14,FRA 95,85.6,68.6,13,2,11,(17),10,9,2,4.3 DPI,2.3 DPI,5,8,2,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,2,POL,Poland,Dominik Buksak / Szymon Wierzbicki,POLSW2 / POLDB1,POL 10,84,69,6,5,6,5,4,12,3,4,(15),11,3,10,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,3,NZL,New Zealand,Isaac McHardie / William McKenzie,NZLWM4 / NZLIM3,NZL 4,92,72,1,19,4,1,6,6,17,1,8,8,1,(20),-
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,4,AUT,Austria,Benjamin Bildstein / David Hussl,AUTBB1 / AUTDH1,AUT 29,89,74,2,6,6,1,10,6,7,2,11,14,9,(15),-
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,5,NED,Netherlands,Bart Lambriex / Floris van de Werken,NEDFV23 / NEDBL3,NED 1,102,79,15,4,7,1,(23),1,10,7,7,6,12,9,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,6,USA,United States of America,Nevin Snow / Maximiliano Agnese,USAMA19 / USANS20,USA 31,114,83,2,4,5,9,(31) BFD,18,2,13,10,7,5,8,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,7,CRO,Croatia,Sime Fantela / Mihovil Fantela,CROMF1 / CROSF1,CRO 83,111,87,6,13,5,(24),3,7,1,21,19,1,10,1,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,8,IRL,Ireland,Robert Dickson / Sean Waddilove,IRLRD19 / IRLSW17,IRL 99,108,90,3,16,11,9,3,(18),4,10,2,4,14,14,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,9,ITA,Italy,Simone Ferrarese / Leonardo Chiste',ITALC106 / ITASF2,ITA 23,117,93,7,(24),17,8,15,5,1,9,6,2,7,16,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,10,SUI,Switzerland,Sebastien Schneiter / Arno de Planta,SUIAD10 / SUISS6,SUI 2,121,94,1,(27),1,16,7,1,18,12,13,3,19,3,-
