event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points,Q1 ,Q2 ,Q3 ,Q4 ,Q5 ,Q6 ,Q7 ,Q8 ,Q9 ,F1 Gold,F2 Gold,F3 Gold,F4 Gold,F5 Gold,F6 Gold,MR Medal
49er Men,49er and 49erFX European Championships,FRA202405QTK,2024-05-07,2024-05-12,"La Grande Motte, France",https://sailing.org/regatta/49er-and-49erfx-european-championships?ref=FRA202405QTK,1,URU,Uruguay,Hernan Umpierre / Fernando Diz,URUFD1 / URUHU1,URU 14,111,93,5,(18),8,14,8,9,10,1,7,1,1,4,6,3,2,14
49er Men,49er and 49erFX European Championships,FRA202405QTK,2024-05-07,2024-05-12,"La Grande Motte, France",https://sailing.org/regatta/49er-and-49erfx-european-championships?ref=FRA202405QTK,2,GBR,Great Britain,James Peters / Fynn Sterritt,GBRJP65 / GBRFS6,GBR 30,124,103,1,7,1,5,1,2,3,8,(21),10,11,19,3,17,3,12
49er Men,49er and 49erFX European Championships,FRA202405QTK,2024-05-07,2024-05-12,"La Grande Motte, France",https://sailing.org/regatta/49er-and-49erfx-european-championships?ref=FRA202405QTK,3,SUI,Switzerland,Sebastien Schneiter / Arno de Planta,SUIAD10 / SUISS6,SUI 77,132,106,10,8,3,6,2,4,5,18,6,(26) BFD,4,8,8,1,15,8
49er Men,49er and 49erFX European Championships,FRA202405QTK,2024-05-07,2024-05-12,"La Grande Motte, France",https://sailing.org/regatta/49er-and-49erfx-european-championships?ref=FRA202405QTK,4,NZL,New Zealand,Isaac McHardie / William McKenzie,NZLIM3 / NZLWM4,NZL 18,136,108,4,2,7,20,2,4,2,(28),20,3,6,3,2,26 UFD,5,2
49er Men,49er and 49erFX European Championships,FRA202405QTK,2024-05-07,2024-05-12,"La Grande Motte, France",https://sailing.org/regatta/49er-and-49erfx-european-championships?ref=FRA202405QTK,5,USA,United States of America,Ian Barrows / Hans Henken,USAIB26 / USAHH11,USA 84,148,122,11,13,4,4,11,3,8,4,9,(26) BFD,3,9,24,2,1,16
49er Men,49er and 49erFX European Championships,FRA202405QTK,2024-05-07,2024-05-12,"La Grande Motte, France",https://sailing.org/regatta/49er-and-49erfx-european-championships?ref=FRA202405QTK,6,NED,Netherlands,Bart Lambriex / Floris van de Werken,NEDBL3 / NEDFV23,NED 2,150,124,2,14,7,7,1,13,15,8,19,4,10,7,1,6,(26) UFD,10
49er Men,49er and 49erFX European Championships,FRA202405QTK,2024-05-07,2024-05-12,"La Grande Motte, France",https://sailing.org/regatta/49er-and-49erfx-european-championships?ref=FRA202405QTK,7,AUT,Austria,Benjamin Bildstein / David Hussl,AUTBB1 / AUTDH1,AUT 29,155,134,9,10,14,5,3,2,16,20,5,12,7,6,14,5,(21),6
49er Men,49er and 49erFX European Championships,FRA202405QTK,2024-05-07,2024-05-12,"La Grande Motte, France",https://sailing.org/regatta/49er-and-49erfx-european-championships?ref=FRA202405QTK,8,IRL,Ireland,Robert Dickson / Sean Waddilove,IRLSW17 / IRLRD19,IRL 99,165,142,12,17,4,8,6,12,7,15,12,19,(23),1,4,12,9,4
49er Men,49er and 49erFX European Championships,FRA202405QTK,2024-05-07,2024-05-12,"La Grande Motte, France",https://sailing.org/regatta/49er-and-49erfx-european-championships?ref=FRA202405QTK,9,POL,Poland,Lukasz Przybytek / Jacek Piasecki,POLJP8 / POLLP2,POL 7,182,156,12,1,18,21,12,5,4,23,10,8,2,5,13,(26) UFD,4,18
49er Men,49er and 49erFX European Championships,FRA202405QTK,2024-05-07,2024-05-12,"La Grande Motte, France",https://sailing.org/regatta/49er-and-49erfx-european-championships?ref=FRA202405QTK,10,POL,Poland,Dominik Buksak / Szymon Wierzbicki,POLSW2 / POLDB1,POL 10,185,159,4,2,17,2,19,3,9,6,(26),2,9,18,17,14,17,20
49er Men,49er and 49erFX European Championships,FRA202405QTK,2024-05-07,2024-05-12,"La Grande Motte, France",https://sailing.org/regatta/49er-and-49erfx-european-championships?ref=FRA202405QTK,11,AUT,Austria,Keanu Prettner / Jakob Flachberger,AUTKP5 / AUTJF8,AUT 28,176,148,6,18,2,25,(28),1,14,2,23,7,8,10,22,4,6,-
49er Men,49er and 49erFX European Championships,FRA202405QTK,2024-05-07,2024-05-12,"La Grande Motte, France",https://sailing.org/regatta/49er-and-49erfx-european-championships?ref=FRA202405QTK,12,IRL,Ireland,Seafra Guilfoyle / Johnny Durcan,IRLSG10 / IRLJD28,IRL 11,172,149,20,6,15,10,7,6,6,(23),15,13,12,11,12,9,7,-
49er Men,49er and 49erFX European Championships,FRA202405QTK,2024-05-07,2024-05-12,"La Grande Motte, France",https://sailing.org/regatta/49er-and-49erfx-european-championships?ref=FRA202405QTK,13,DEN,Denmark,Frederik Rask / Jakob Precht Jensen,DENFR5 / DENJP11,DEN 66,176,150,13,15,2,4,6,20,1,3,25,(26) BFD,19,2,10,16,14,-
49er Men,49er and 49erFX European Championships,FRA202405QTK,2024-05-07,2024-05-12,"La Grande Motte, France",https://sailing.org/regatta/49er-and-49erfx-european-championships?ref=FRA202405QTK,14,GBR,Great Britain,James Grummett / Rhos Hawes,GBRJG101 / GBRRH84,GBR 4,175,151,1,9,1,1,4,1,2,21,11,16,(24),20,21,21,22,-
49er Men,49er and 49erFX European Championships,FRA202405QTK,2024-05-07,2024-05-12,"La Grande Motte, France",https://sailing.org/regatta/49er-and-49erfx-european-championships?ref=FRA202405QTK,15,GER,Germany,Jakob Meggendorfer / Andreas Spranger,GERAS58 / GERJM44,GER 22,180,152,9,6,5,9,9,7,4,18,(28),5,13,12,15,20,20,-
49er Men,49er and 49erFX European Championships,FRA202405QTK,2024-05-07,2024-05-12,"La Grande Motte, France",https://sailing.org/regatta/49er-and-49erfx-european-championships?ref=FRA202405QTK,16,CRO,Croatia,Sime Fantela / Mihovil Fantela,CROSF1 / CROMF1,CRO 83,182,156,7,12,8,3,11,11,16,4,17,9,5,24,11,(26) UFD,18,-
49er Men,49er and 49erFX European Championships,FRA202405QTK,2024-05-07,2024-05-12,"La Grande Motte, France",https://sailing.org/regatta/49er-and-49erfx-european-championships?ref=FRA202405QTK,17,FRA,France,Erwan Fischer / Clement Pequin,FRAEF14 / FRACP31,FRA 16,180,157,2,12,6,1,7,5,12,10,22,15,17,22,(23),15,11,-
49er Men,49er and 49erFX European Championships,FRA202405QTK,2024-05-07,2024-05-12,"La Grande Motte, France",https://sailing.org/regatta/49er-and-49erfx-european-championships?ref=FRA202405QTK,18,FRA,France,Lucas Rual,FRALR14,FRA 95,194,158,8,7,3,(36) UFD,5,6,3,2,23,17,15,15,18,10,26 UFD,-
49er Men,49er and 49erFX European Championships,FRA202405QTK,2024-05-07,2024-05-12,"La Grande Motte, France",https://sailing.org/regatta/49er-and-49erfx-european-championships?ref=FRA202405QTK,19,AUS,Australia,Jim Colley / Shaun Connor,AUSJC75 / AUSSC40,AUS 20,202,166,3,16,10,(36) UFD,10,7,1,11,2,26 BFD,16,25,20,7,12,-
49er Men,49er and 49erFX European Championships,FRA202405QTK,2024-05-07,2024-05-12,"La Grande Motte, France",https://sailing.org/regatta/49er-and-49erfx-european-championships?ref=FRA202405QTK,20,MLT,Malta,Richard Schultheis / Youenn Bertin,FRAYB10 / GERRS42,MLT 205,202,176,8,(26),13,7,12,15,13,1,18,14,26 DNS,17,5,19,8,-
49er Men,49er and 49erFX European Championships,FRA202405QTK,2024-05-07,2024-05-12,"La Grande Motte, France",https://sailing.org/regatta/49er-and-49erfx-european-championships?ref=FRA202405QTK,21,USA,United States of America,Andrew Mollerus / Ian Macdiarmid,USAIM9 / USAAM84,USA 43,202,176,3,8,12,6,21,8,17,13,(26),6,14,21,9,22,16,-
49er Men,49er and 49erFX European Championships,FRA202405QTK,2024-05-07,2024-05-12,"La Grande Motte, France",https://sailing.org/regatta/49er-and-49erfx-european-championships?ref=FRA202405QTK,22,GBR,Great Britain,Elliott Wells / Billy Vennis-Ozanne,GBRBV4 / GBREW28,GBR 130,218,182,6,3,12,(36) UFD,5,11,9,31,14,18,22,23,7,11,10,-
49er Men,49er and 49erFX European Championships,FRA202405QTK,2024-05-07,2024-05-12,"La Grande Motte, France",https://sailing.org/regatta/49er-and-49erfx-european-championships?ref=FRA202405QTK,23,POL,Poland,Mikolaj Staniul / Jakub Sztorch,POLJS41 / POLMS47,POL 5,222,191,16,1,11,3,10,14,20,(31),17,20,18,13,16,13,19,-
