event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points,Q1 ,Q2 ,Q3 ,Q4 ,Q5 ,Q6 ,F1 Gold,F2 Silver,F3 Gold,F4 Gold,F5 Gold,F6 Gold,F7 Silver,MR Medal
49er Men,"Nacra 17, 49er and 49erFX European Championships",FRA202405EHS,2025-06-03,2025-06-08,"Thessaloniki, Greece",https://sailing.org/regatta/nacra-17-49er-and-49erfx-european-championships?ref=FRA202405EHS,1,NZL,New Zealand,Seb Menzies / George Rush,NZLSM29 / NZLGR9,NZL 250,56,41,(15),7,5,2,3,1,1,5,3,1,4,1,-,4
49er Men,"Nacra 17, 49er and 49erFX European Championships",FRA202405EHS,2025-06-03,2025-06-08,"Thessaloniki, Greece",https://sailing.org/regatta/nacra-17-49er-and-49erfx-european-championships?ref=FRA202405EHS,2,USA,United States of America,Nevin Snow / Ian Macdiarmid,USANS20 / USAIM9,USA 31,121,95,1,11,8,6,7,21,(26) BFD,16,2,6,7,4,-,3
49er Men,"Nacra 17, 49er and 49erFX European Championships",FRA202405EHS,2025-06-03,2025-06-08,"Thessaloniki, Greece",https://sailing.org/regatta/nacra-17-49er-and-49erfx-european-championships?ref=FRA202405EHS,3,URU,Uruguay,Hernan Umpierre / Fernando Diz,URUFD1 / URUHU1,URU 14,125,97,12,4,2,(28) BFD,2,5,26 BFD,1,1,12,2,12,-,9
49er Men,"Nacra 17, 49er and 49erFX European Championships",FRA202405EHS,2025-06-03,2025-06-08,"Thessaloniki, Greece",https://sailing.org/regatta/nacra-17-49er-and-49erfx-european-championships?ref=FRA202405EHS,4,ESP,Spain,Martin Wizner / Jaime Wizner Perez-la Fuente,ESPMW3 / ESPJW01,ESP 775,124,98,8,6,15,1,14,7,(26) BFD,6,4,19,1,3,-,7
49er Men,"Nacra 17, 49er and 49erFX European Championships",FRA202405EHS,2025-06-03,2025-06-08,"Thessaloniki, Greece",https://sailing.org/regatta/nacra-17-49er-and-49erfx-european-championships?ref=FRA202405EHS,5,GBR,Great Britain,William Pank / Thommie Grit,GBRWP13 / NEDTG6,GBR 999,127,101,19,2,13,4,16,3,9,3,11,2,17,(26) BFD,-,1
49er Men,"Nacra 17, 49er and 49erFX European Championships",FRA202405EHS,2025-06-03,2025-06-08,"Thessaloniki, Greece",https://sailing.org/regatta/nacra-17-49er-and-49erfx-european-championships?ref=FRA202405EHS,6,USA,United States of America,Andrew Mollerus / Trevor Bornarth,USATB148 / USAAM84,USA 43,132,107,18,3,4,9,8,6,7,(25),12,16,9,5,-,5
49er Men,"Nacra 17, 49er and 49erFX European Championships",FRA202405EHS,2025-06-03,2025-06-08,"Thessaloniki, Greece",https://sailing.org/regatta/nacra-17-49er-and-49erfx-european-championships?ref=FRA202405EHS,7,ISR,Israel,Tal Sade / Maor Abu,ISRTS4 / ISRMA6,ISR 272,135,109,1,16,19,12,1,18,(26) BFD,4,6,7,11,2,-,6
49er Men,"Nacra 17, 49er and 49erFX European Championships",FRA202405EHS,2025-06-03,2025-06-08,"Thessaloniki, Greece",https://sailing.org/regatta/nacra-17-49er-and-49erfx-european-championships?ref=FRA202405EHS,8,AUT,Austria,Keanu Prettner / Jakob Flachberger,AUTJF8 / AUTKP5,AUT 28,139,115,2,5,4,(24),17,11,5,23,9,10,19,6,-,2
49er Men,"Nacra 17, 49er and 49erFX European Championships",FRA202405EHS,2025-06-03,2025-06-08,"Thessaloniki, Greece",https://sailing.org/regatta/nacra-17-49er-and-49erfx-european-championships?ref=FRA202405EHS,9,IRL,Ireland,Robert Dickson / Sean Waddilove,IRLRD19 / IRLSW17,IRL 99,150,124,6,14,2,3,20,6,(26) BFD,20,8,4,5,20,-,8
49er Men,"Nacra 17, 49er and 49erFX European Championships",FRA202405EHS,2025-06-03,2025-06-08,"Thessaloniki, Greece",https://sailing.org/regatta/nacra-17-49er-and-49erfx-european-championships?ref=FRA202405EHS,10,ISR,Israel,Illy Wureit / Yuval Barnoon,ISRIW2 / ISRYB11,ISR 125,152,126,13,8,3,4,(26),5,11,7,5,14,26 BFD,10,-,10
49er Men,"Nacra 17, 49er and 49erFX European Championships",FRA202405EHS,2025-06-03,2025-06-08,"Thessaloniki, Greece",https://sailing.org/regatta/nacra-17-49er-and-49erfx-european-championships?ref=FRA202405EHS,11,DEN,Denmark,Frederik Rask / Jakob Precht Jensen,DENFR5 / DENJP11,DEN 66,140,114,3,7,13,3,10,2,2,19,19,18,18,(26) BFD,-,-
49er Men,"Nacra 17, 49er and 49erFX European Championships",FRA202405EHS,2025-06-03,2025-06-08,"Thessaloniki, Greece",https://sailing.org/regatta/nacra-17-49er-and-49erfx-european-championships?ref=FRA202405EHS,12,FRA,France,Lucas Rual,FRALR14,FRA 95,143,115,(28) BFD,9,1,13,11,17,3,2,16,5,12,26 BFD,-,-
49er Men,"Nacra 17, 49er and 49erFX European Championships",FRA202405EHS,2025-06-03,2025-06-08,"Thessaloniki, Greece",https://sailing.org/regatta/nacra-17-49er-and-49erfx-european-championships?ref=FRA202405EHS,13,NZL,New Zealand,Sam Bacon / Blake McGlashan,NZLBM13 / NZLSB26,NZL 900,142,116,17,1,6,10,9,8,(26) BFD,8,13,11,15,18,-,-
49er Men,"Nacra 17, 49er and 49erFX European Championships",FRA202405EHS,2025-06-03,2025-06-08,"Thessaloniki, Greece",https://sailing.org/regatta/nacra-17-49er-and-49erfx-european-championships?ref=FRA202405EHS,14,GER,Germany,Moritz Dorau / Riko Rockenbauch,GERMD28 / GERRR26,GER 875,143,121,6,(22),5,12,11,9,6,11,17,20,10,14,-,-
49er Men,"Nacra 17, 49er and 49erFX European Championships",FRA202405EHS,2025-06-03,2025-06-08,"Thessaloniki, Greece",https://sailing.org/regatta/nacra-17-49er-and-49erfx-european-championships?ref=FRA202405EHS,15,ITA,Italy,Lorenzo Pezzilli / Tobia Torroni,ITATT17 / ITALP103,ITA 755,149,123,17,14,8,11,1,14,(26) BFD,9,20,17,3,9,-,-
49er Men,"Nacra 17, 49er and 49erFX European Championships",FRA202405EHS,2025-06-03,2025-06-08,"Thessaloniki, Greece",https://sailing.org/regatta/nacra-17-49er-and-49erfx-european-championships?ref=FRA202405EHS,16,FRA,France,Kevin Fischer / Clement Pequin,FRACP31 / FRAKF4,FRA 1,151,125,14,13,9,21,3,12,(26) BFD,14,10,8,6,15,-,-
49er Men,"Nacra 17, 49er and 49erFX European Championships",FRA202405EHS,2025-06-03,2025-06-08,"Thessaloniki, Greece",https://sailing.org/regatta/nacra-17-49er-and-49erfx-european-championships?ref=FRA202405EHS,17,NED,Netherlands,Zeb van Dorst / Michiel Dam,NEDZV1 / NEDMD45,NED 264,148,128,4,12,17,(20),6,10,12,15,7,13,13,19,-,-
