event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points,R1 ,R2 ,R3 ,R4 ,R5 ,R6 ,R7 ,R8 ,R9 Gold,R10 Gold,R11 Gold,R12 Gold,R13 Gold,R14 Gold,R15 Gold,R16 Gold,F1 Medal,F2 Medal
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,1,NZL,New Zealand,Seb Menzies / George Rush,NZLGR9 / NZLSM29,NZL 94,85,69,(16),2,8,3,7,1,5,3,4,1,2,15,10,8,-,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,2,GBR,Great Britain,James Grummett / Rhos Hawes,GBRJG101 / GBRRH84,GBR 4,96,77,3,1,1,(19),1,5,8,2,3,11,10,7,15,10,-,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,3,POL,Poland,Mikolaj Staniul / Jakub Sztorch,POLJS41 / POLMS47,POL 64,100,79,13,4,7,2,1,2,1,13,5,17,1,(21),9,4,-,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,4,GER,Germany,Richard Schultheis / Fabian Graf,GERFG11 / GERRS42,GER 11,103,86,3,7,6,8,4,1,13,(17),17,4,6,10,5,2,-,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,5,NZL,New Zealand,Mattias Coutts / Oscar Gunn,NZLMC20 / NZLOG2,NZL 45,104,87,4,7,1,13,3,1,7,10,8,3,3,16,(17),11,-,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,6,URU,Uruguay,Hernan Umpierre / Fernando Diz,URUFD1 / URUHU1,URU 14,115,96,1,2,4,7,14,(19),9,9,6,8,4,1,16,15,-,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,7,ESP,Spain,Martin Wizner / Juan Luis Wood,ESPMW3 / ESPJW1,ESP 775,127,102,5,5,4,6,13,4,14,(25),2,13,11,2,1,22,-,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,8,SUI,Switzerland,Sebastien Schneiter / Arno de Planta,SUISS6 / SUIAD10,SUI 77,123,103,5,3,2,7,12,6,5,(20),7,15,8,9,18,6,-,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,9,IRL,Ireland,Robert Dickson / Sorcha Whyte,IRLRD19 / IRLSW19,IRL 99,133,109,1,1,21,4,5,11,3,15,9,6,9,(24),11,13,-,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,10,ITA,Italy,Lorenzo Pezzilli / Tobia Torroni,ITALP103 / ITATT17,ITA 75,134,111,9,11,2,3,18,6,4,5,11,(23),13,6,2,21,-,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,11,NOR,Norway,Mathias Berthet / Markus Berthet,NORMB12 / NORMB7,NOR 71,138,112,7,8,1,10,9,7,15,2,1,12,16,5,(26) DNF,19,-,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,12,FRA,France,Lucas Rual,FRALR14,FRA 95,146,114,2,(32) DNC,12,5,6,4,2,30,18,2,5,4,19,5,-,-,-,-
