event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points
Formula Kite Men,Formula Kite Individual European Championships,GRE202209UDO,2022-09-24,2022-10-02,"Nafpaktos, Greece",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202209UDO,1,SGP,Singapore,Maximilian Maeder,SGPMM1,SGP 1,63,1
Formula Kite Men,Formula Kite Individual European Championships,GRE202209UDO,2022-09-24,2022-10-02,"Nafpaktos, Greece",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202209UDO,2,SLO,Slovenia,Toni Vodisek,SLOTV3,SLO 2,88,2
Formula Kite Men,Formula Kite Individual European Championships,GRE202209UDO,2022-09-24,2022-10-02,"Nafpaktos, Greece",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202209UDO,3,FRA,France,Benoit Gomez,FRABG40,FRA 59,84,3
Formula Kite Men,Formula Kite Individual European Championships,GRE202209UDO,2022-09-24,2022-10-02,"Nafpaktos, Greece",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202209UDO,4,ITA,Italy,Riccardo Pianosi,ITARP80,ITA 3,84,4
Formula Kite Men,Formula Kite Individual European Championships,GRE202209UDO,2022-09-24,2022-10-02,"Nafpaktos, Greece",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202209UDO,5,ITA,Italy,Lorenzo Boschetti,ITALB113,ITA 77,105,5
Formula Kite Men,Formula Kite Individual European Championships,GRE202209UDO,2022-09-24,2022-10-02,"Nafpaktos, Greece",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202209UDO,6,FRA,France,Maxime Nocher,FRAMN8,FRA 17,81.8,5
Formula Kite Men,Formula Kite Individual European Championships,GRE202209UDO,2022-09-24,2022-10-02,"Nafpaktos, Greece",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202209UDO,7,CYP,Cyprus,Denis Taradin,CYPDT1,CYP 88,104,7
Formula Kite Men,Formula Kite Individual European Championships,GRE202209UDO,2022-09-24,2022-10-02,"Nafpaktos, Greece",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202209UDO,8,GER,Germany,Jannis Maus,GERJM49,GER 57,112,7
Formula Kite Men,Formula Kite Individual European Championships,GRE202209UDO,2022-09-24,2022-10-02,"Nafpaktos, Greece",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202209UDO,9,BRA,Brazil,Bruno Lobo,BRABL11,BRA 45,105,9
Formula Kite Men,Formula Kite Individual European Championships,GRE202209UDO,2022-09-24,2022-10-02,"Nafpaktos, Greece",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202209UDO,10,USA,United States of America,Markus Edegran,USAME26,USA 37,106,9
Formula Kite Men,Formula Kite Individual European Championships,GRE202209UDO,2022-09-24,2022-10-02,"Nafpaktos, Greece",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202209UDO,11,POL,Poland,Maks Zakowski,POLMZ11,POL 68,111,61
Formula Kite Men,Formula Kite Individual European Championships,GRE202209UDO,2022-09-24,2022-10-02,"Nafpaktos, Greece",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202209UDO,12,GER,Germany,Florian Gruber,GERFG19,GER 93,127,70
Formula Kite Men,Formula Kite Individual European Championships,GRE202209UDO,2022-09-24,2022-10-02,"Nafpaktos, Greece",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202209UDO,13,POL,Poland,Jan Marciniak,POLJM20,POL 36,148,74
Formula Kite Men,Formula Kite Individual European Championships,GRE202209UDO,2022-09-24,2022-10-02,"Nafpaktos, Greece",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202209UDO,14,MON,Monaco,Alexander Ehlen,MONAE2,MON 86,159,76
Formula Kite Men,Formula Kite Individual European Championships,GRE202209UDO,2022-09-24,2022-10-02,"Nafpaktos, Greece",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202209UDO,15,CRO,Croatia,Martin Dolenc,CROMD5,CRO 95,151,76
Formula Kite Men,Formula Kite Individual European Championships,GRE202209UDO,2022-09-24,2022-10-02,"Nafpaktos, Greece",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202209UDO,16,FRA,France,Nicolas Parlier,FRANP21,FRA 58,122,84
Formula Kite Men,Formula Kite Individual European Championships,GRE202209UDO,2022-09-24,2022-10-02,"Nafpaktos, Greece",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202209UDO,17,ISR,Israel,Dvir Azulay,ISRDA5,ISR 64,145,95
Formula Kite Men,Formula Kite Individual European Championships,GRE202209UDO,2022-09-24,2022-10-02,"Nafpaktos, Greece",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202209UDO,18,AUT,Austria,Valentin Bontus,AUTVB7,AUT 69,173,109
Formula Kite Men,Formula Kite Individual European Championships,GRE202209UDO,2022-09-24,2022-10-02,"Nafpaktos, Greece",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202209UDO,19,NZL,New Zealand,Lukas Walton- Keim,NZLLW3,NZL 56,163,110
Formula Kite Men,Formula Kite Individual European Championships,GRE202209UDO,2022-09-24,2022-10-02,"Nafpaktos, Greece",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202209UDO,20,ESP,Spain,Alejandro Climent,ESPAC60,ESP 97,165,112
Formula Kite Men,Formula Kite Individual European Championships,GRE202209UDO,2022-09-24,2022-10-02,"Nafpaktos, Greece",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202209UDO,21,ITA,Italy,Alessio Brasili,ITAAB236,ITA 52,185,125
Formula Kite Men,Formula Kite Individual European Championships,GRE202209UDO,2022-09-24,2022-10-02,"Nafpaktos, Greece",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202209UDO,22,USA,United States of America,Noah Runciman,USANR23,USA 10,188,126
Formula Kite Men,Formula Kite Individual European Championships,GRE202209UDO,2022-09-24,2022-10-02,"Nafpaktos, Greece",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202209UDO,23,USA,United States of America,Kai Calder,USAKC113,USA 91,185,129
Formula Kite Men,Formula Kite Individual European Championships,GRE202209UDO,2022-09-24,2022-10-02,"Nafpaktos, Greece",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202209UDO,24,FRA,France,Arthur LHEZ,FRAAL82,FRA 6,221,138
Formula Kite Men,Formula Kite Individual European Championships,GRE202209UDO,2022-09-24,2022-10-02,"Nafpaktos, Greece",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202209UDO,25,FRA,France,Theo de Ramecourt,FRATD15,FRA 65,236,153
Formula Kite Men,Formula Kite Individual European Championships,GRE202209UDO,2022-09-24,2022-10-02,"Nafpaktos, Greece",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202209UDO,26,AUS,Australia,Scott Whitehead,AUSSW63,AUS 21,72,47
Formula Kite Men,Formula Kite Individual European Championships,GRE202209UDO,2022-09-24,2022-10-02,"Nafpaktos, Greece",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202209UDO,27,ANT,Antigua,Tiger Tyson,ANTTT1,ANT 8,96,52
Formula Kite Men,Formula Kite Individual European Championships,GRE202209UDO,2022-09-24,2022-10-02,"Nafpaktos, Greece",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202209UDO,28,ISR,Israel,Zohar Haruvi,ISRZH1,ISR 75,96,52
Formula Kite Men,Formula Kite Individual European Championships,GRE202209UDO,2022-09-24,2022-10-02,"Nafpaktos, Greece",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202209UDO,29,AUS,Australia,Hector Paturau,AUSHP4,AUS 92,87,57
Formula Kite Men,Formula Kite Individual European Championships,GRE202209UDO,2022-09-24,2022-10-02,"Nafpaktos, Greece",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202209UDO,30,CHN,"China, PR",Haoran Zhang,CHNHZ7,CHN 14,102,59
Formula Kite Men,Formula Kite Individual European Championships,GRE202209UDO,2022-09-24,2022-10-02,"Nafpaktos, Greece",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202209UDO,31,SUI,Switzerland,Bruce Kessler,SUIBK8,SUI 39,93,63
Formula Kite Men,Formula Kite Individual European Championships,GRE202209UDO,2022-09-24,2022-10-02,"Nafpaktos, Greece",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202209UDO,32,THA,Thailand,Joseph Jonathan Weston,THAJW1,THA 31,137,75
Formula Kite Men,Formula Kite Individual European Championships,GRE202209UDO,2022-09-24,2022-10-02,"Nafpaktos, Greece",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202209UDO,33,POL,Poland,Michal Wojciechowski,POLMW52,POL 11,131,83
Formula Kite Men,Formula Kite Individual European Championships,GRE202209UDO,2022-09-24,2022-10-02,"Nafpaktos, Greece",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202209UDO,34,AUS,Australia,Alex Landwehr,AUSAL32,AUS 16,133,83
Formula Kite Men,Formula Kite Individual European Championships,GRE202209UDO,2022-09-24,2022-10-02,"Nafpaktos, Greece",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202209UDO,35,BUL,Bulgaria,Alexander Bachev,BULAB2,BUL 41,121,85
Formula Kite Men,Formula Kite Individual European Championships,GRE202209UDO,2022-09-24,2022-10-02,"Nafpaktos, Greece",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202209UDO,36,CHN,"China, PR",Yanyin Wu,CHNYW17,CHN 82,129,86
Formula Kite Men,Formula Kite Individual European Championships,GRE202209UDO,2022-09-24,2022-10-02,"Nafpaktos, Greece",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202209UDO,37,TUR,Türkiye,Armagan Ersolak,TURAE12,TUR 49,149,87
Formula Kite Men,Formula Kite Individual European Championships,GRE202209UDO,2022-09-24,2022-10-02,"Nafpaktos, Greece",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202209UDO,38,ESP,Spain,Bernat Cortes Bolea,ESPBC4,ESP 55,145,91
Formula Kite Men,Formula Kite Individual European Championships,GRE202209UDO,2022-09-24,2022-10-02,"Nafpaktos, Greece",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202209UDO,39,ISR,Israel,Yael Paz,ISRYP3,ISR 73,127,93
Formula Kite Men,Formula Kite Individual European Championships,GRE202209UDO,2022-09-24,2022-10-02,"Nafpaktos, Greece",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202209UDO,40,POL,Poland,Jakub Jurkowski,POLJJ8,POL 12,161,107
Formula Kite Men,Formula Kite Individual European Championships,GRE202209UDO,2022-09-24,2022-10-02,"Nafpaktos, Greece",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202209UDO,41,SUI,Switzerland,Karl Maeder,SUIKM1,SUI 7,153,109
Formula Kite Men,Formula Kite Individual European Championships,GRE202209UDO,2022-09-24,2022-10-02,"Nafpaktos, Greece",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202209UDO,42,ESP,Spain,Kiko Peiro Mora,ESPKP2,ESP 71,162,114
Formula Kite Men,Formula Kite Individual European Championships,GRE202209UDO,2022-09-24,2022-10-02,"Nafpaktos, Greece",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202209UDO,43,CAN,Canada,James Morrin,CANMM42,CAN 44,162,115
Formula Kite Men,Formula Kite Individual European Championships,GRE202209UDO,2022-09-24,2022-10-02,"Nafpaktos, Greece",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202209UDO,44,TUR,Türkiye,Ejder Ginyol,TUREG3,TUR 90,180,118
Formula Kite Men,Formula Kite Individual European Championships,GRE202209UDO,2022-09-24,2022-10-02,"Nafpaktos, Greece",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202209UDO,45,POR,Portugal,Pedro Afonso,PORPA12,POR 43,165,124
Formula Kite Men,Formula Kite Individual European Championships,GRE202209UDO,2022-09-24,2022-10-02,"Nafpaktos, Greece",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202209UDO,46,DEN,Denmark,Carl Beckett,DENCB14,DEN 38,186,124
Formula Kite Men,Formula Kite Individual European Championships,GRE202209UDO,2022-09-24,2022-10-02,"Nafpaktos, Greece",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202209UDO,47,POR,Portugal,Tomas Pires de Lima,PORTP2,POR 42,166,126
Formula Kite Men,Formula Kite Individual European Championships,GRE202209UDO,2022-09-24,2022-10-02,"Nafpaktos, Greece",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202209UDO,48,SUI,Switzerland,Gian Andrea Stragiotti,SUIGS6,SUI 22,182,129
Formula Kite Men,Formula Kite Individual European Championships,GRE202209UDO,2022-09-24,2022-10-02,"Nafpaktos, Greece",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202209UDO,49,GBR,Great Britain,Jack Mckendrick,GBRJM231,GBR 48,194,132
Formula Kite Men,Formula Kite Individual European Championships,GRE202209UDO,2022-09-24,2022-10-02,"Nafpaktos, Greece",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202209UDO,50,BUL,Bulgaria,Christian Manev,BULCM1,BUL 40,189,133
Formula Kite Men,Formula Kite Individual European Championships,GRE202209UDO,2022-09-24,2022-10-02,"Nafpaktos, Greece",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202209UDO,51,GRE,Greece,Kameron Alexandros Maramenidis,GRECM13,GRE 96,202,140
Formula Kite Men,Formula Kite Individual European Championships,GRE202209UDO,2022-09-24,2022-10-02,"Nafpaktos, Greece",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202209UDO,52,ESP,Spain,Jacobo Espi Vano,ESPJE28,ESP 72,202,140
Formula Kite Men,Formula Kite Individual European Championships,GRE202209UDO,2022-09-24,2022-10-02,"Nafpaktos, Greece",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202209UDO,53,ISR,Israel,Dor Zarka,ISRDZ2,ISR 35,207,145
Formula Kite Men,Formula Kite Individual European Championships,GRE202209UDO,2022-09-24,2022-10-02,"Nafpaktos, Greece",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202209UDO,54,FRA,France,Axel Mazella,FRAAM47,FRA 63,210,148
Formula Kite Men,Formula Kite Individual European Championships,GRE202209UDO,2022-09-24,2022-10-02,"Nafpaktos, Greece",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202209UDO,55,BRA,Brazil,BRUNO LIMA,BRABL14,BRA 50,223,161
Formula Kite Men,Formula Kite Individual European Championships,GRE202209UDO,2022-09-24,2022-10-02,"Nafpaktos, Greece",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202209UDO,56,CZE,Czechia,Vojta Koska,CZEVK3,CZE 80,122,60
Formula Kite Men,Formula Kite Individual European Championships,GRE202209UDO,2022-09-24,2022-10-02,"Nafpaktos, Greece",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202209UDO,57,DEN,Denmark,James Johnsen,DENJJ15,DEN 67,137,86
Formula Kite Men,Formula Kite Individual European Championships,GRE202209UDO,2022-09-24,2022-10-02,"Nafpaktos, Greece",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202209UDO,58,ESP,Spain,SEBASTIAN DUCOS SENDRA,ESPSD7,ESP 70,153,95
Formula Kite Men,Formula Kite Individual European Championships,GRE202209UDO,2022-09-24,2022-10-02,"Nafpaktos, Greece",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202209UDO,59,GBR,Great Britain,Daniel Harris,GBRDH92,GBR 46,160,102
Formula Kite Men,Formula Kite Individual European Championships,GRE202209UDO,2022-09-24,2022-10-02,"Nafpaktos, Greece",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202209UDO,60,TUR,Türkiye,Sarp Can  Bilgili,TURSB13,TUR 27,153,107
Formula Kite Men,Formula Kite Individual European Championships,GRE202209UDO,2022-09-24,2022-10-02,"Nafpaktos, Greece",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202209UDO,61,BRA,Brazil,Lucas Pes Fonseca,BRALP27,BRA 25,177,110
Formula Kite Men,Formula Kite Individual European Championships,GRE202209UDO,2022-09-24,2022-10-02,"Nafpaktos, Greece",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202209UDO,62,DEN,Denmark,Asger Beckett,DENAB17,DEN 20,160,110
Formula Kite Men,Formula Kite Individual European Championships,GRE202209UDO,2022-09-24,2022-10-02,"Nafpaktos, Greece",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202209UDO,63,THA,Thailand,Siriwit Prangsri,THASP15,THA 29,163,115
Formula Kite Men,Formula Kite Individual European Championships,GRE202209UDO,2022-09-24,2022-10-02,"Nafpaktos, Greece",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202209UDO,64,SUI,Switzerland,Marcin Kroczak,SUIMK11,SUI 74,162,116
Formula Kite Men,Formula Kite Individual European Championships,GRE202209UDO,2022-09-24,2022-10-02,"Nafpaktos, Greece",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202209UDO,65,USA,United States of America,Nicholas  Reeves,USANR33,USA 24,183.6,116.6
Formula Kite Men,Formula Kite Individual European Championships,GRE202209UDO,2022-09-24,2022-10-02,"Nafpaktos, Greece",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202209UDO,66,DEN,Denmark,Thomas Beckett,DENTB1,DEN 19,186,119
Formula Kite Men,Formula Kite Individual European Championships,GRE202209UDO,2022-09-24,2022-10-02,"Nafpaktos, Greece",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202209UDO,67,SWE,Sweden,Klas Nåbo,SWEKN6,SWE 66,178,127
Formula Kite Men,Formula Kite Individual European Championships,GRE202209UDO,2022-09-24,2022-10-02,"Nafpaktos, Greece",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202209UDO,68,DOM,Dominican Republic,Deury Corniel,DOMDC1,DOM 81,195,128
Formula Kite Men,Formula Kite Individual European Championships,GRE202209UDO,2022-09-24,2022-10-02,"Nafpaktos, Greece",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202209UDO,69,JPN,Japan,Rune Miyoshi,JPNRM13,JPN 34,188,131
Formula Kite Men,Formula Kite Individual European Championships,GRE202209UDO,2022-09-24,2022-10-02,"Nafpaktos, Greece",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202209UDO,70,GBR,Great Britain,Matthew Beck,GBRMB149,GBR 47,192,136
Formula Kite Men,Formula Kite Individual European Championships,GRE202209UDO,2022-09-24,2022-10-02,"Nafpaktos, Greece",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202209UDO,71,SWE,Sweden,André Olsson,SWEAO11,SWE 51,197,139
Formula Kite Men,Formula Kite Individual European Championships,GRE202209UDO,2022-09-24,2022-10-02,"Nafpaktos, Greece",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202209UDO,72,POR,Portugal,Pedro Marcos,PORPM28,POR 23,200,142
Formula Kite Men,Formula Kite Individual European Championships,GRE202209UDO,2022-09-24,2022-10-02,"Nafpaktos, Greece",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202209UDO,73,AUS,Australia,Dan Self,AUSSD15,AUS 76,202,146
Formula Kite Men,Formula Kite Individual European Championships,GRE202209UDO,2022-09-24,2022-10-02,"Nafpaktos, Greece",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202209UDO,74,SWE,Sweden,Måns Gustafsson,SWEMG16,SWE 26,203,155
Formula Kite Men,Formula Kite Individual European Championships,GRE202209UDO,2022-09-24,2022-10-02,"Nafpaktos, Greece",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202209UDO,75,GRE,Greece,Dimitri Maramenides,GREDM12,GRE 33,221,159
Formula Kite Men,Formula Kite Individual European Championships,GRE202209UDO,2022-09-24,2022-10-02,"Nafpaktos, Greece",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202209UDO,76,SUI,Switzerland,Cédric Baker,SUICB20,SUI 9,222,164
Formula Kite Men,Formula Kite Individual European Championships,GRE202209UDO,2022-09-24,2022-10-02,"Nafpaktos, Greece",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202209UDO,77,GRE,Greece,ARGIRIADIS GEORGIOS,GREAG22,GRE 30,242,170
Formula Kite Men,Formula Kite Individual European Championships,GRE202209UDO,2022-09-24,2022-10-02,"Nafpaktos, Greece",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202209UDO,78,THA,Thailand,Whatcharpong Juntham,THAWJ1,THA 28,249,177
Formula Kite Men,Formula Kite Individual European Championships,GRE202209UDO,2022-09-24,2022-10-02,"Nafpaktos, Greece",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202209UDO,79,MAS,Malaysia,Daniel Leow,MASDL3,MAS 15,242,178
