event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points
Formula Kite Men,Formula Kite European Championships,GRE202209ILG,2023-09-16,2023-09-24,"Portsmouth (UK), Great Britain",https://sailing.org/regatta/formula-kite-european-championships?ref=GRE202209ILG,1,ITA,Italy,Riccardo Pianosi,ITARP80,ITA 9,31,1
Formula Kite Men,Formula Kite European Championships,GRE202209ILG,2023-09-16,2023-09-24,"Portsmouth (UK), Great Britain",https://sailing.org/regatta/formula-kite-european-championships?ref=GRE202209ILG,2,FRA,France,Maxime Nocher,FRAMN8,FRA 72,80,2
Formula Kite Men,Formula Kite European Championships,GRE202209ILG,2023-09-16,2023-09-24,"Portsmouth (UK), Great Britain",https://sailing.org/regatta/formula-kite-european-championships?ref=GRE202209ILG,3,ITA,Italy,Lorenzo Boschetti,ITALB113,ITA 13,52,3
Formula Kite Men,Formula Kite European Championships,GRE202209ILG,2023-09-16,2023-09-24,"Portsmouth (UK), Great Britain",https://sailing.org/regatta/formula-kite-european-championships?ref=GRE202209ILG,4,GER,Germany,Jannis Maus,GERJM49,GER 53,86,4
Formula Kite Men,Formula Kite European Championships,GRE202209ILG,2023-09-16,2023-09-24,"Portsmouth (UK), Great Britain",https://sailing.org/regatta/formula-kite-european-championships?ref=GRE202209ILG,5,GBR,Great Britain,Connor Bainbridge,GBRCB68,GBR 36,89,5
Formula Kite Men,Formula Kite European Championships,GRE202209ILG,2023-09-16,2023-09-24,"Portsmouth (UK), Great Britain",https://sailing.org/regatta/formula-kite-european-championships?ref=GRE202209ILG,6,CRO,Croatia,Martin Dolenc,CROMD5,CRO 59,85,5
Formula Kite Men,Formula Kite European Championships,GRE202209ILG,2023-09-16,2023-09-24,"Portsmouth (UK), Great Britain",https://sailing.org/regatta/formula-kite-european-championships?ref=GRE202209ILG,7,POL,Poland,Maks Zakowski,POLMZ11,POL 57,93,7
Formula Kite Men,Formula Kite European Championships,GRE202209ILG,2023-09-16,2023-09-24,"Portsmouth (UK), Great Britain",https://sailing.org/regatta/formula-kite-european-championships?ref=GRE202209ILG,8,FRA,France,Theo de Ramecourt,FRATD15,FRA 71,94,7
Formula Kite Men,Formula Kite European Championships,GRE202209ILG,2023-09-16,2023-09-24,"Portsmouth (UK), Great Britain",https://sailing.org/regatta/formula-kite-european-championships?ref=GRE202209ILG,9,ANT,Antigua,Tiger Tyson,ANTTT1,ANT 62,151,9
Formula Kite Men,Formula Kite European Championships,GRE202209ILG,2023-09-16,2023-09-24,"Portsmouth (UK), Great Britain",https://sailing.org/regatta/formula-kite-european-championships?ref=GRE202209ILG,10,POL,Poland,Jan Marciniak,POLJM20,POL 22,165,9
Formula Kite Men,Formula Kite European Championships,GRE202209ILG,2023-09-16,2023-09-24,"Portsmouth (UK), Great Britain",https://sailing.org/regatta/formula-kite-european-championships?ref=GRE202209ILG,11,AUT,Austria,Valentin Bontus,AUTVB7,AUT 12,182,100
