event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points
Formula Kite Women,Formula Kite Individual European Championships,GRE202105FIF,2021-09-06,2021-09-12,"Montpellier, France",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202105FIF,1,USA,United States of America,Daniela Moroz,USADM246,,0,100
Formula Kite Women,Formula Kite Individual European Championships,GRE202105FIF,2021-09-06,2021-09-12,"Montpellier, France",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202105FIF,2,FRA,France,Poema Newland,FRAPN16,,0,97
Formula Kite Women,Formula Kite Individual European Championships,GRE202105FIF,2021-09-06,2021-09-12,"Montpellier, France",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202105FIF,3,FRA,France,Lauriane Nolot,FRALN10,,0,95
Formula Kite Women,Formula Kite Individual European Championships,GRE202105FIF,2021-09-06,2021-09-12,"Montpellier, France",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202105FIF,4,FRA,France,Alexia Fancelli,FRAAF32,,0,92
Formula Kite Women,Formula Kite Individual European Championships,GRE202105FIF,2021-09-06,2021-09-12,"Montpellier, France",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202105FIF,5,GBR,Great Britain,Eleanor Aldridge,GBREA10,,0,90
Formula Kite Women,Formula Kite Individual European Championships,GRE202105FIF,2021-09-06,2021-09-12,"Montpellier, France",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202105FIF,6,GBR,Great Britain,Katie Dabson,GBRKD19,,0,87
Formula Kite Women,Formula Kite Individual European Championships,GRE202105FIF,2021-09-06,2021-09-12,"Montpellier, France",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202105FIF,7,POL,Poland,Julia Damasiewicz,POLJD16,,0,85
Formula Kite Women,Formula Kite Individual European Championships,GRE202105FIF,2021-09-06,2021-09-12,"Montpellier, France",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202105FIF,8,ISR,Israel,Maya Ashkenazi,ISRMA9,,0,82
Formula Kite Women,Formula Kite Individual European Championships,GRE202105FIF,2021-09-06,2021-09-12,"Montpellier, France",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202105FIF,9,FRA,France,Heloise Pegourie,FRAHP15,,0,80
Formula Kite Women,Formula Kite Individual European Championships,GRE202105FIF,2021-09-06,2021-09-12,"Montpellier, France",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202105FIF,10,ESP,Spain,Gisela Pulido Borrell,ESPGP20,,0,77
Formula Kite Women,Formula Kite Individual European Championships,GRE202105FIF,2021-09-06,2021-09-12,"Montpellier, France",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202105FIF,11,POL,Poland,Magdalena Woyciechowska,POLMW47,,0,75
Formula Kite Women,Formula Kite Individual European Championships,GRE202105FIF,2021-09-06,2021-09-12,"Montpellier, France",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202105FIF,12,POL,Poland,Nina Arcisz,POLNA1,,0,72
Formula Kite Women,Formula Kite Individual European Championships,GRE202105FIF,2021-09-06,2021-09-12,"Montpellier, France",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202105FIF,13,ISR,Israel,Gal Zukerman,ISRGZ3,,0,70
Formula Kite Women,Formula Kite Individual European Championships,GRE202105FIF,2021-09-06,2021-09-12,"Montpellier, France",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202105FIF,14,ITA,Italy,Maggie Eillen Pescetto,ITAMP240,,0,67
Formula Kite Women,Formula Kite Individual European Championships,GRE202105FIF,2021-09-06,2021-09-12,"Montpellier, France",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202105FIF,15,ITA,Italy,TIANA LAPORTE,ITATL9,,0,65
Formula Kite Women,Formula Kite Individual European Championships,GRE202105FIF,2021-09-06,2021-09-12,"Montpellier, France",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202105FIF,16,POL,Poland,Izabela Satrjan,POLIS5,,0,62
Formula Kite Women,Formula Kite Individual European Championships,GRE202105FIF,2021-09-06,2021-09-12,"Montpellier, France",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202105FIF,17,FRA,France,Jessie Kampman,NEDJK53,,0,60
Formula Kite Women,Formula Kite Individual European Championships,GRE202105FIF,2021-09-06,2021-09-12,"Montpellier, France",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202105FIF,18,GBR,Great Britain,Madeleine Anderson,GBRMA44,,0,57
Formula Kite Women,Formula Kite Individual European Championships,GRE202105FIF,2021-09-06,2021-09-12,"Montpellier, France",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202105FIF,19,GER,Germany,Leonie Meyer,GERLM11,,0,55
