event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points
Formula Kite Women,Formula Kite European Championships,ESP202403HKR,2025-05-11,2025-05-19,"Urla, Türkiye, Türkiye",https://sailing.org/regatta/formula-kite-european-championships?ref=ESP202403HKR,1,FRA,France,Lauriane Nolot,FRALN10,FRA 21,59,1
Formula Kite Women,Formula Kite European Championships,ESP202403HKR,2025-05-11,2025-05-19,"Urla, Türkiye, Türkiye",https://sailing.org/regatta/formula-kite-european-championships?ref=ESP202403HKR,2,GBR,Great Britain,Lily Young,GBRLY6,GBR 13,89,2
Formula Kite Women,Formula Kite European Championships,ESP202403HKR,2025-05-11,2025-05-19,"Urla, Türkiye, Türkiye",https://sailing.org/regatta/formula-kite-european-championships?ref=ESP202403HKR,3,FRA,France,Lysa Caval,FRALC65,FRA 17,96,3
Formula Kite Women,Formula Kite European Championships,ESP202403HKR,2025-05-11,2025-05-19,"Urla, Türkiye, Türkiye",https://sailing.org/regatta/formula-kite-european-championships?ref=ESP202403HKR,4,ARG,Argentina,Maria Catalina Turienzo,ARGMT16,ARG 25,145,4
Formula Kite Women,Formula Kite European Championships,ESP202403HKR,2025-05-11,2025-05-19,"Urla, Türkiye, Türkiye",https://sailing.org/regatta/formula-kite-european-championships?ref=ESP202403HKR,5,POL,Poland,Izabela Satrjan,POLIS5,POL 11,94,5
Formula Kite Women,Formula Kite European Championships,ESP202403HKR,2025-05-11,2025-05-19,"Urla, Türkiye, Türkiye",https://sailing.org/regatta/formula-kite-european-championships?ref=ESP202403HKR,6,TUR,Türkiye,Derin Atakan,TURDA14,TUR 16,117,6
Formula Kite Women,Formula Kite European Championships,ESP202403HKR,2025-05-11,2025-05-19,"Urla, Türkiye, Türkiye",https://sailing.org/regatta/formula-kite-european-championships?ref=ESP202403HKR,7,ESP,Spain,Gisela Pulido Borrell,ESPGP20,ESP 9,100,7
Formula Kite Women,Formula Kite European Championships,ESP202403HKR,2025-05-11,2025-05-19,"Urla, Türkiye, Türkiye",https://sailing.org/regatta/formula-kite-european-championships?ref=ESP202403HKR,8,POR,Portugal,Mafalda Pires de Lima,PORMP12,POR 8,135,8
Formula Kite Women,Formula Kite European Championships,ESP202403HKR,2025-05-11,2025-05-19,"Urla, Türkiye, Türkiye",https://sailing.org/regatta/formula-kite-european-championships?ref=ESP202403HKR,9,AUS,Australia,Breiana Whitehead,AUSBW24,AUS 18,123,91
Formula Kite Women,Formula Kite European Championships,ESP202403HKR,2025-05-11,2025-05-19,"Urla, Türkiye, Türkiye",https://sailing.org/regatta/formula-kite-european-championships?ref=ESP202403HKR,10,POL,Poland,Julia Damasiewicz,POLJD16,POL 12,211,142
Formula Kite Women,Formula Kite European Championships,ESP202403HKR,2025-05-11,2025-05-19,"Urla, Türkiye, Türkiye",https://sailing.org/regatta/formula-kite-european-championships?ref=ESP202403HKR,11,NED,Netherlands,Annelous Lammerts,NEDAL5,NED 15,192,145
Formula Kite Women,Formula Kite European Championships,ESP202403HKR,2025-05-11,2025-05-19,"Urla, Türkiye, Türkiye",https://sailing.org/regatta/formula-kite-european-championships?ref=ESP202403HKR,12,GBR,Great Britain,Ella Geiger,GBREG23,GBR 23,214,165
Formula Kite Women,Formula Kite European Championships,ESP202403HKR,2025-05-11,2025-05-19,"Urla, Türkiye, Türkiye",https://sailing.org/regatta/formula-kite-european-championships?ref=ESP202403HKR,13,FRA,France,Zoe Boutang,FRAZB2,FRA 20,230,170
Formula Kite Women,Formula Kite European Championships,ESP202403HKR,2025-05-11,2025-05-19,"Urla, Türkiye, Türkiye",https://sailing.org/regatta/formula-kite-european-championships?ref=ESP202403HKR,14,POL,Poland,Magdalena Woyciechowska,POLMW47,POL 10,254,197
Formula Kite Women,Formula Kite European Championships,ESP202403HKR,2025-05-11,2025-05-19,"Urla, Türkiye, Türkiye",https://sailing.org/regatta/formula-kite-european-championships?ref=ESP202403HKR,15,ITA,Italy,TIANA LAPORTE,ITATL9,ITA 14,258,200
Formula Kite Women,Formula Kite European Championships,ESP202403HKR,2025-05-11,2025-05-19,"Urla, Türkiye, Türkiye",https://sailing.org/regatta/formula-kite-european-championships?ref=ESP202403HKR,16,TUR,Türkiye,Derin Deniz Sorguc,TURDS11,TUR 29,277,221
Formula Kite Women,Formula Kite European Championships,ESP202403HKR,2025-05-11,2025-05-19,"Urla, Türkiye, Türkiye",https://sailing.org/regatta/formula-kite-european-championships?ref=ESP202403HKR,17,BRA,Brazil,Maria Do Socorro Vasconcelos Reis,BRAMV12,BRA 24,294,236
Formula Kite Women,Formula Kite European Championships,ESP202403HKR,2025-05-11,2025-05-19,"Urla, Türkiye, Türkiye",https://sailing.org/regatta/formula-kite-european-championships?ref=ESP202403HKR,18,CAN,Canada,Emily Bugeja,CANEB20,CAN 26,301,239
Formula Kite Women,Formula Kite European Championships,ESP202403HKR,2025-05-11,2025-05-19,"Urla, Türkiye, Türkiye",https://sailing.org/regatta/formula-kite-european-championships?ref=ESP202403HKR,19,ITA,Italy,Giorgia Speciale,ITAGS131,ITA 22,307,241
Formula Kite Women,Formula Kite European Championships,ESP202403HKR,2025-05-11,2025-05-19,"Urla, Türkiye, Türkiye",https://sailing.org/regatta/formula-kite-european-championships?ref=ESP202403HKR,20,CRO,Croatia,Marija Dolenc,CROMD7,CRO 19,343,278
Formula Kite Women,Formula Kite European Championships,ESP202403HKR,2025-05-11,2025-05-19,"Urla, Türkiye, Türkiye",https://sailing.org/regatta/formula-kite-european-championships?ref=ESP202403HKR,21,CZE,Czechia,Dominika Braunova,CZEDB5,CZE 27,370,301
Formula Kite Women,Formula Kite European Championships,ESP202403HKR,2025-05-11,2025-05-19,"Urla, Türkiye, Türkiye",https://sailing.org/regatta/formula-kite-european-championships?ref=ESP202403HKR,22,GRE,Greece,Argyro KROTSI,GREAK80,GRE 28,394,325
