event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points
ILCA 6 Women,2021 EurILCA Senior European Championships,BUL202110LAS,2021-10-02,2021-10-09,"Varna, Bulgaria",https://sailing.org/regatta/2021-eurilca-senior-european-championships?ref=BUL202110LAS,1,POL,Poland,Agata Barwinska,POLAB11,,0,100
ILCA 6 Women,2021 EurILCA Senior European Championships,BUL202110LAS,2021-10-02,2021-10-09,"Varna, Bulgaria",https://sailing.org/regatta/2021-eurilca-senior-european-championships?ref=BUL202110LAS,2,NED,Netherlands,Maxime Jonker,NEDMJ5,,0,98
ILCA 6 Women,2021 EurILCA Senior European Championships,BUL202110LAS,2021-10-02,2021-10-09,"Varna, Bulgaria",https://sailing.org/regatta/2021-eurilca-senior-european-championships?ref=BUL202110LAS,3,GRE,Greece,Vasileia Karachaliou,GREVK5,,0,97
ILCA 6 Women,2021 EurILCA Senior European Championships,BUL202110LAS,2021-10-02,2021-10-09,"Varna, Bulgaria",https://sailing.org/regatta/2021-eurilca-senior-european-championships?ref=BUL202110LAS,4,NOR,Norway,Line Flem Hoest,NORLH5,,0,96
ILCA 6 Women,2021 EurILCA Senior European Championships,BUL202110LAS,2021-10-02,2021-10-09,"Varna, Bulgaria",https://sailing.org/regatta/2021-eurilca-senior-european-championships?ref=BUL202110LAS,5,FRA,France,Louise Cervera,FRALC33,,0,94
ILCA 6 Women,2021 EurILCA Senior European Championships,BUL202110LAS,2021-10-02,2021-10-09,"Varna, Bulgaria",https://sailing.org/regatta/2021-eurilca-senior-european-championships?ref=BUL202110LAS,6,GER,Germany,Hannah Anderssohn,GERHA4,,0,93
ILCA 6 Women,2021 EurILCA Senior European Championships,BUL202110LAS,2021-10-02,2021-10-09,"Varna, Bulgaria",https://sailing.org/regatta/2021-eurilca-senior-european-championships?ref=BUL202110LAS,7,GBR,Great Britain,Daisy Collingridge,GBRDC96,,0,92
ILCA 6 Women,2021 EurILCA Senior European Championships,BUL202110LAS,2021-10-02,2021-10-09,"Varna, Bulgaria",https://sailing.org/regatta/2021-eurilca-senior-european-championships?ref=BUL202110LAS,8,CRO,Croatia,Elena Vorobeva,CROEV1,,0,91
ILCA 6 Women,2021 EurILCA Senior European Championships,BUL202110LAS,2021-10-02,2021-10-09,"Varna, Bulgaria",https://sailing.org/regatta/2021-eurilca-senior-european-championships?ref=BUL202110LAS,9,FRA,France,Marie Barrue,FRAMB65,,0,89
ILCA 6 Women,2021 EurILCA Senior European Championships,BUL202110LAS,2021-10-02,2021-10-09,"Varna, Bulgaria",https://sailing.org/regatta/2021-eurilca-senior-european-championships?ref=BUL202110LAS,10,DEN,Denmark,Anna Munch,DENAM6,,0,88
ILCA 6 Women,2021 EurILCA Senior European Championships,BUL202110LAS,2021-10-02,2021-10-09,"Varna, Bulgaria",https://sailing.org/regatta/2021-eurilca-senior-european-championships?ref=BUL202110LAS,11,ITA,Italy,Chiara Benini Floriani,ITACB88,,0,87
ILCA 6 Women,2021 EurILCA Senior European Championships,BUL202110LAS,2021-10-02,2021-10-09,"Varna, Bulgaria",https://sailing.org/regatta/2021-eurilca-senior-european-championships?ref=BUL202110LAS,12,FRA,France,Pernelle Michon,FRAPM12,,0,85
ILCA 6 Women,2021 EurILCA Senior European Championships,BUL202110LAS,2021-10-02,2021-10-09,"Varna, Bulgaria",https://sailing.org/regatta/2021-eurilca-senior-european-championships?ref=BUL202110LAS,13,ITA,Italy,Federica Cattarozzi,ITAFC135,,0,84
ILCA 6 Women,2021 EurILCA Senior European Championships,BUL202110LAS,2021-10-02,2021-10-09,"Varna, Bulgaria",https://sailing.org/regatta/2021-eurilca-senior-european-championships?ref=BUL202110LAS,14,NED,Netherlands,Mirthe Akkerman,NEDMA3,,0,83
