event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points
ILCA 6 Women,ILCA Senior European Championships,SWE202508LYL,2026-05-15,2026-05-22,"Kastela, Croatia",https://sailing.org/regatta/ilca-senior-european-championships?ref=SWE202508LYL,1,HUN,Hungary,Maria Erdi,HUNME1,211551,80,54
ILCA 6 Women,ILCA Senior European Championships,SWE202508LYL,2026-05-15,2026-05-22,"Kastela, Croatia",https://sailing.org/regatta/ilca-senior-european-championships?ref=SWE202508LYL,2,USA,United States of America,Charlotte Rose,USACR200,222035,93,62
ILCA 6 Women,ILCA Senior European Championships,SWE202508LYL,2026-05-15,2026-05-22,"Kastela, Croatia",https://sailing.org/regatta/ilca-senior-european-championships?ref=SWE202508LYL,3,GBR,Great Britain,Matilda Nicholls,GBRMN16,225217,114,79
ILCA 6 Women,ILCA Senior European Championships,SWE202508LYL,2026-05-15,2026-05-22,"Kastela, Croatia",https://sailing.org/regatta/ilca-senior-european-championships?ref=SWE202508LYL,4,BEL,Belgium,Emma Plasschaert,BELPE1,211552,106,80
ILCA 6 Women,ILCA Senior European Championships,SWE202508LYL,2026-05-15,2026-05-22,"Kastela, Croatia",https://sailing.org/regatta/ilca-senior-european-championships?ref=SWE202508LYL,5,IRL,Ireland,Eve McMahon,IRLEM39,216116,113,88
ILCA 6 Women,ILCA Senior European Championships,SWE202508LYL,2026-05-15,2026-05-22,"Kastela, Croatia",https://sailing.org/regatta/ilca-senior-european-championships?ref=SWE202508LYL,6,NED,Netherlands,Roos Wind,NEDRW21,221341,150,106
ILCA 6 Women,ILCA Senior European Championships,SWE202508LYL,2026-05-15,2026-05-22,"Kastela, Croatia",https://sailing.org/regatta/ilca-senior-european-championships?ref=SWE202508LYL,7,POL,Poland,Agata Barwinska,POLAB11,217327,163,123
ILCA 6 Women,ILCA Senior European Championships,SWE202508LYL,2026-05-15,2026-05-22,"Kastela, Croatia",https://sailing.org/regatta/ilca-senior-european-championships?ref=SWE202508LYL,8,GBR,Great Britain,Hannah Snellgrove,GBRHS12,226020,182,127
ILCA 6 Women,ILCA Senior European Championships,SWE202508LYL,2026-05-15,2026-05-22,"Kastela, Croatia",https://sailing.org/regatta/ilca-senior-european-championships?ref=SWE202508LYL,9,ITA,Italy,Ginevra Caracciolo,ITAGC256,219116,170,131
ILCA 6 Women,ILCA Senior European Championships,SWE202508LYL,2026-05-15,2026-05-22,"Kastela, Croatia",https://sailing.org/regatta/ilca-senior-european-championships?ref=SWE202508LYL,10,GER,Germany,Julia Buessellberg,GERJB68,221911,195,134
ILCA 6 Women,ILCA Senior European Championships,SWE202508LYL,2026-05-15,2026-05-22,"Kastela, Croatia",https://sailing.org/regatta/ilca-senior-european-championships?ref=SWE202508LYL,11,DEN,Denmark,Anna Munch,DENAM6,220066,184,137
ILCA 6 Women,ILCA Senior European Championships,SWE202508LYL,2026-05-15,2026-05-22,"Kastela, Croatia",https://sailing.org/regatta/ilca-senior-european-championships?ref=SWE202508LYL,12,FRA,France,Marie Barrue,FRAMB65,221001,190,140
ILCA 6 Women,ILCA Senior European Championships,SWE202508LYL,2026-05-15,2026-05-22,"Kastela, Croatia",https://sailing.org/regatta/ilca-senior-european-championships?ref=SWE202508LYL,13,GBR,Great Britain,Daisy Collingridge,GBRDC96,221584,191,143
ILCA 6 Women,ILCA Senior European Championships,SWE202508LYL,2026-05-15,2026-05-22,"Kastela, Croatia",https://sailing.org/regatta/ilca-senior-european-championships?ref=SWE202508LYL,14,POL,Poland,Magdalena Kwasna,POLMK38,217368,187,147
ILCA 6 Women,ILCA Senior European Championships,SWE202508LYL,2026-05-15,2026-05-22,"Kastela, Croatia",https://sailing.org/regatta/ilca-senior-european-championships?ref=SWE202508LYL,15,SUI,Switzerland,Maud Jayet,SUIMJ3,221910,193,147
ILCA 6 Women,ILCA Senior European Championships,SWE202508LYL,2026-05-15,2026-05-22,"Kastela, Croatia",https://sailing.org/regatta/ilca-senior-european-championships?ref=SWE202508LYL,16,AUS,Australia,Casey Imeneo,AUSCI3,210792,215,161
ILCA 6 Women,ILCA Senior European Championships,SWE202508LYL,2026-05-15,2026-05-22,"Kastela, Croatia",https://sailing.org/regatta/ilca-senior-european-championships?ref=SWE202508LYL,17,POL,Poland,Wiktoria Golebiowska,POLWG7,218211,216,166
ILCA 6 Women,ILCA Senior European Championships,SWE202508LYL,2026-05-15,2026-05-22,"Kastela, Croatia",https://sailing.org/regatta/ilca-senior-european-championships?ref=SWE202508LYL,18,AUS,Australia,Mara Stransky,AUSMS65,222158,202,167
