event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points
IQFOiL Men,iQFOil European Championship,FRA202110TAX,2021-10-25,2021-10-30,"Marseilles, France",https://sailing.org/regatta/iqfoil-european-championship?ref=FRA202110TAX,1,FRA,France,Nicolas Goyard,FRANG10,,0,100
IQFOiL Men,iQFOil European Championship,FRA202110TAX,2021-10-25,2021-10-30,"Marseilles, France",https://sailing.org/regatta/iqfoil-european-championship?ref=FRA202110TAX,2,NED,Netherlands,Huig Jan Tak,NEDHT4,,0,99
IQFOiL Men,iQFOil European Championship,FRA202110TAX,2021-10-25,2021-10-30,"Marseilles, France",https://sailing.org/regatta/iqfoil-european-championship?ref=FRA202110TAX,3,BRA,Brazil,Mateus Isaac,BRAMI1,,0,98
IQFOiL Men,iQFOil European Championship,FRA202110TAX,2021-10-25,2021-10-30,"Marseilles, France",https://sailing.org/regatta/iqfoil-european-championship?ref=FRA202110TAX,4,NED,Netherlands,Luuc van Opzeeland,NEDAV51,,0,97
IQFOiL Men,iQFOil European Championship,FRA202110TAX,2021-10-25,2021-10-30,"Marseilles, France",https://sailing.org/regatta/iqfoil-european-championship?ref=FRA202110TAX,5,FRA,France,Louis Giard,FRALG33,,0,97
IQFOiL Men,iQFOil European Championship,FRA202110TAX,2021-10-25,2021-10-30,"Marseilles, France",https://sailing.org/regatta/iqfoil-european-championship?ref=FRA202110TAX,6,GBR,Great Britain,Sam Sills,GBRSS56,,0,96
IQFOiL Men,iQFOil European Championship,FRA202110TAX,2021-10-25,2021-10-30,"Marseilles, France",https://sailing.org/regatta/iqfoil-european-championship?ref=FRA202110TAX,7,ISR,Israel,Tom Reuveny,ISRTR3,,0,95
IQFOiL Men,iQFOil European Championship,FRA202110TAX,2021-10-25,2021-10-30,"Marseilles, France",https://sailing.org/regatta/iqfoil-european-championship?ref=FRA202110TAX,8,FRA,France,Titouan Le Bosq,FRATL41,,0,95
IQFOiL Men,iQFOil European Championship,FRA202110TAX,2021-10-25,2021-10-30,"Marseilles, France",https://sailing.org/regatta/iqfoil-european-championship?ref=FRA202110TAX,9,GER,Germany,Sebastian Koerdel,GERSK8,,0,94
IQFOiL Men,iQFOil European Championship,FRA202110TAX,2021-10-25,2021-10-30,"Marseilles, France",https://sailing.org/regatta/iqfoil-european-championship?ref=FRA202110TAX,10,FRA,France,Thomas Goyard,FRATG15,,0,93
IQFOiL Men,iQFOil European Championship,FRA202110TAX,2021-10-25,2021-10-30,"Marseilles, France",https://sailing.org/regatta/iqfoil-european-championship?ref=FRA202110TAX,11,FRA,France,Pierre Le Coq,FRAPL12,,0,92
IQFOiL Men,iQFOil European Championship,FRA202110TAX,2021-10-25,2021-10-30,"Marseilles, France",https://sailing.org/regatta/iqfoil-european-championship?ref=FRA202110TAX,12,POL,Poland,Pawel Tarnowski,POLPT4,,0,92
IQFOiL Men,iQFOil European Championship,FRA202110TAX,2021-10-25,2021-10-30,"Marseilles, France",https://sailing.org/regatta/iqfoil-european-championship?ref=FRA202110TAX,13,NED,Netherlands,Amado Vrieswijk,NEDAV64,,0,91
IQFOiL Men,iQFOil European Championship,FRA202110TAX,2021-10-25,2021-10-30,"Marseilles, France",https://sailing.org/regatta/iqfoil-european-championship?ref=FRA202110TAX,14,ITA,Italy,Nicolo Renna,ITANR16,,0,90
IQFOiL Men,iQFOil European Championship,FRA202110TAX,2021-10-25,2021-10-30,"Marseilles, France",https://sailing.org/regatta/iqfoil-european-championship?ref=FRA202110TAX,15,GBR,Great Britain,Finn Hawkins,GBRFH10,,0,90
IQFOiL Men,iQFOil European Championship,FRA202110TAX,2021-10-25,2021-10-30,"Marseilles, France",https://sailing.org/regatta/iqfoil-european-championship?ref=FRA202110TAX,16,FRA,France,Tom Arnoux,FRATA22,,0,89
IQFOiL Men,iQFOil European Championship,FRA202110TAX,2021-10-25,2021-10-30,"Marseilles, France",https://sailing.org/regatta/iqfoil-european-championship?ref=FRA202110TAX,17,GBR,Great Britain,Andy Brown,GBRAB164,,0,88
IQFOiL Men,iQFOil European Championship,FRA202110TAX,2021-10-25,2021-10-30,"Marseilles, France",https://sailing.org/regatta/iqfoil-european-championship?ref=FRA202110TAX,18,GBR,Great Britain,Mathew Barton,GBRMB124,,0,87
IQFOiL Men,iQFOil European Championship,FRA202110TAX,2021-10-25,2021-10-30,"Marseilles, France",https://sailing.org/regatta/iqfoil-european-championship?ref=FRA202110TAX,19,FRA,France,Romain Ghio,FRARG12,,0,87
IQFOiL Men,iQFOil European Championship,FRA202110TAX,2021-10-25,2021-10-30,"Marseilles, France",https://sailing.org/regatta/iqfoil-european-championship?ref=FRA202110TAX,20,ESP,Spain,Tomas Vieito,ESPTV1,,0,86
IQFOiL Men,iQFOil European Championship,FRA202110TAX,2021-10-25,2021-10-30,"Marseilles, France",https://sailing.org/regatta/iqfoil-european-championship?ref=FRA202110TAX,21,FRA,France,Oël Pouliquen,FRAOP10,,0,85
IQFOiL Men,iQFOil European Championship,FRA202110TAX,2021-10-25,2021-10-30,"Marseilles, France",https://sailing.org/regatta/iqfoil-european-championship?ref=FRA202110TAX,22,ITA,Italy,Luca di Tomassi,ITALD70,,0,85
IQFOiL Men,iQFOil European Championship,FRA202110TAX,2021-10-25,2021-10-30,"Marseilles, France",https://sailing.org/regatta/iqfoil-european-championship?ref=FRA202110TAX,23,POL,Poland,Michal Polak,POLMP22,,0,84
IQFOiL Men,iQFOil European Championship,FRA202110TAX,2021-10-25,2021-10-30,"Marseilles, France",https://sailing.org/regatta/iqfoil-european-championship?ref=FRA202110TAX,24,POL,Poland,Maciek Rutkowski,POLMR3,,0,83
IQFOiL Men,iQFOil European Championship,FRA202110TAX,2021-10-25,2021-10-30,"Marseilles, France",https://sailing.org/regatta/iqfoil-european-championship?ref=FRA202110TAX,25,FRA,France,Louis Pignolet,FRALP46,,0,82
IQFOiL Men,iQFOil European Championship,FRA202110TAX,2021-10-25,2021-10-30,"Marseilles, France",https://sailing.org/regatta/iqfoil-european-championship?ref=FRA202110TAX,26,ISR,Israel,Tomer Vardimon,ISRTV1,,0,82
