event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points
IQFOiL Men,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,1,FRA,France,Nicolas Goyard,FRANG10,,,
IQFOiL Men,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,2,ITA,Italy,Nicolo Renna,ITANR16,,,
IQFOiL Men,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,3,NED,Netherlands,Luuc van Opzeeland,NEDAV51,,,
IQFOiL Men,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,4,ISR,Israel,Yoav Omer,ISRYO2,,,
IQFOiL Men,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,5,GBR,Great Britain,Sam Sills,GBRSS56,,,
IQFOiL Men,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,6,FRA,France,Adrien Mestre,FRAAM51,,,
IQFOiL Men,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,7,NED,Netherlands,Huig Jan Tak,NEDHT4,,,
IQFOiL Men,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,8,GBR,Great Britain,Andy Brown,GBRAB164,,,
IQFOiL Men,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,9,FRA,France,Pierre Le Coq,FRAPL12,,,
IQFOiL Men,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,10,FRA,France,Clement Bourgeois,FRACB67,,,
IQFOiL Men,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,11,ITA,Italy,Luca di Tomassi,ITALD70,,,
IQFOiL Men,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,12,ISR,Israel,Tom Reuveny,ISRTR3,,,
