event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points,1Q(CR),2Q(CR),3Q(CR),4Q(CR),5Q(CR),6Q(CR),7Q(CR),8Q(CR),9F(CR),10F(CR),11F(CR),12F(CR),13F(SL),14F(SL),15F(SL),16F(SL),17F(CR),18F(CR),MR(pos)
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,1,ITA,Italy,Nicolo Renna,ITANR16,,217,102,1,7,(13),2,1,2,(13),13,6,9,(58) BFD,4,13,23,3,(31),1,17,1
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,2,GER,Germany,Sebastian Koerdel,GERSK8,,115,41,2,(9),2,1,(7),3,2,5,2,(11),1,1,1,11,1,1,8,(47),2
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,3,NED,Netherlands,Kiran Badloe,NEDKB8,,142,62,7,(9),6,(31),5,3,6,3,5,2,4,5,7,1,3,(9),(31),5,3
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,4,FRA,France,Nicolas Goyard,FRANG10,,182,70,(1),1,1,(24),1,1,1,1,3,13,8,11,11,7,1,(37),10,(50),4
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,5,NED,Netherlands,Luuc van Opzeeland,NEDAV51,,164,51,3,2,2,3,(9),(7),5,1,1,3,7,2,1,3,3,(39) DSQ,15,(58) RET,5
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,6,AUS,Australia,Grae Morris,AUSGM33,,128,71,11,(12),4,7,(16),1,4,3,(11),1,11,(18),3,1,11,5,7,2,6
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,7,NZL,New Zealand,Josh Armit,NZLJA7,,198,97,(10),5,6,3,2,4,(10),2,12,16,21,6,5,(23),9,5,(58) BFD,1,7
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,8,GBR,Great Britain,Sam Sills,GBRSS56,,179,78,2,4,4,4,(11),(10),3,6,(58) BFD,(22),10,12,11,3,5,3,5,6,8
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,9,FRA,France,Thomas Goyard,FRATG15,,266,92,8,1,5,(58) BFD,4,5,1,(58) DNF,10,6,3,3,7,17,(39) BFD,(19),19,3,9
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,10,NED,Netherlands,Huig Jan Tak,NEDHT4,,158,73,(5),3,1,(12),2,2,2,2,4,7,9,7,21,1,(39) BFD,1,11,(29),10
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,11,ISR,Israel,Tom Reuveny,ISRTR3,,356,142,4,(58) RET,10,(58) BFD,15,8,10,12,13,18,(40),10,3,3,5,23,(58) BFD,8,-
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,12,NZL,New Zealand,Thomas Crook,NZLTC15,,232,145,6,2,5,(17),(18),9,11,15,7,5,2,16,11,19,(25),15,(27),22,-
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,13,FRA,France,Louis Pignolet,FRALP46,,279.7,145.7,9,7,7,7.7 RDG,9,(10),5,(13),9,(58) RET,12,24,13,9,9,11,14,(53),-
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,14,FRA,France,Adrien Mestre,FRAAM51,,323,148,6,(25),(34),5,12,13,7,9,(58) BFD,29,6,17,5,5,1,7,(58) BFD,26,-
