event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points,1(SL),2(SL),3(SL),4(SL),5(SL),6(SL),7(CR),8(CR),9(CR),10(CR),11(CR),QF,SF,F
IQFOiL Men,iQFOiL European Championships,ITA202410QKL,2024-10-04,2024-10-11,"Cagliari Poetto Beach, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410QKL,1,POL,Poland,Pawel Tarnowski,POLPT4,,53,27,1,1,5,(15),(11),3,9,2,2,3,1,-,-,1
IQFOiL Men,iQFOiL European Championships,ITA202410QKL,2024-10-04,2024-10-11,"Cagliari Poetto Beach, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410QKL,2,GBR,Great Britain,Andy Brown,GBRAB164,,166,84,5,(47) BFD,17,1,5,(35),19,9,7,10,11,1,2,2
IQFOiL Men,iQFOiL European Championships,ITA202410QKL,2024-10-04,2024-10-11,"Cagliari Poetto Beach, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410QKL,3,GBR,Great Britain,Mathew Barton,GBRMB124,,108,66,5,5,11,3,3,1,13,16,9,(19),(23),2,1,3
IQFOiL Men,iQFOiL European Championships,ITA202410QKL,2024-10-04,2024-10-11,"Cagliari Poetto Beach, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410QKL,4,NED,Netherlands,Joost Vink,NEDJV76,,71,33,(23),3,1,3,7,5,(15),3,1,1,9,-,3,-
IQFOiL Men,iQFOiL European Championships,ITA202410QKL,2024-10-04,2024-10-11,"Cagliari Poetto Beach, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410QKL,5,ITA,Italy,Luca di Tomassi,ITALD70,,59,32,3,5,(7),6 STP,1,1,2,7,3,(20),4,-,4,-
IQFOiL Men,iQFOiL European Championships,ITA202410QKL,2024-10-04,2024-10-11,"Cagliari Poetto Beach, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410QKL,6,ITA,Italy,manolo umberto modena,ITAMM331,,94,64,11,(15),(15),13,9,7,3,5,6,4,6,3,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410QKL,2024-10-04,2024-10-11,"Cagliari Poetto Beach, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410QKL,7,GBR,Great Britain,Finn Hawkins,GBRFH10,,105,56,3,9,3,5,5,1,(21),6,(28),5,19,4,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410QKL,2024-10-04,2024-10-11,"Cagliari Poetto Beach, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410QKL,8,NED,Netherlands,Max Castelein,NEDMC7,,160,90,(21),1,13,9,5,3,(49),12,12,15,20,5,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410QKL,2024-10-04,2024-10-11,"Cagliari Poetto Beach, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410QKL,9,FRA,France,Adrien Mestre,FRAAM51,,91,34,1,1,(39),7,3,5,1,4,5,(18),7,8 BFD,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410QKL,2024-10-04,2024-10-11,"Cagliari Poetto Beach, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410QKL,10,NED,Netherlands,Luuc van Opzeeland,NEDAV51,,182,65,19,7,5,7,1,(47) DSQ,20,1,(70) UFD,2,3,8 BFD,-,-
