event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points,1Q(CR),2Q(CR),3Q(CR),4Q(CR),5Q(CR),6Q(CR),7F(SL),8F(SL),9F(SL),10F(SL),MR (pos)
IQFOiL Men,iQFOiL European Championships,ITA2024104BI,2025-11-22,2025-11-29,"Sferracavallo, Palermo, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA2024104BI,1,NED,Netherlands,Luuc van Opzeeland,NEDAV51,,102,48,(21) STP,11,6,1,3,6,1,(33),5,15,1
IQFOiL Men,iQFOiL European Championships,ITA2024104BI,2025-11-22,2025-11-29,"Sferracavallo, Palermo, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA2024104BI,2,FRA,France,Nicolas Goyard,FRANG10,,84,30,1,1,(17),13,5,1,3,1,(37),5,2
IQFOiL Men,iQFOiL European Championships,ITA2024104BI,2025-11-22,2025-11-29,"Sferracavallo, Palermo, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA2024104BI,3,GBR,Great Britain,Finn Hawkins,GBRFH10,,80,33,(34),1,3,2,13,1,(13),11,1,1,3
IQFOiL Men,iQFOiL European Championships,ITA2024104BI,2025-11-22,2025-11-29,"Sferracavallo, Palermo, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA2024104BI,4,POL,Poland,Pawel Tarnowski,POLPT4,,101,47,3,7,(9),3,6,5,9,3,11,(45) BFD,4
IQFOiL Men,iQFOiL European Championships,ITA2024104BI,2025-11-22,2025-11-29,"Sferracavallo, Palermo, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA2024104BI,5,GBR,Great Britain,Andy Brown,GBRAB164,,108,52,4,8,3,2,4,(15),9,5,17,(41),5
IQFOiL Men,iQFOiL European Championships,ITA2024104BI,2025-11-22,2025-11-29,"Sferracavallo, Palermo, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA2024104BI,6,ISR,Israel,Tom Reuveny,ISRTR3,,100,39,1,9,2,(16),2,4,17,1,(45) DNC,3,6
IQFOiL Men,iQFOiL European Championships,ITA2024104BI,2025-11-22,2025-11-29,"Sferracavallo, Palermo, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA2024104BI,7,ITA,Italy,Leonardo Tomasini,ITALT46,,133,66,10,17,4,14,(22),2,3,9,7,(45) BFD,7
IQFOiL Men,iQFOiL European Championships,ITA2024104BI,2025-11-22,2025-11-29,"Sferracavallo, Palermo, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA2024104BI,8,DEN,Denmark,Johan Soe,DENJS34,,111,72,11,5,10,6,(12),3,19,13,(27),5,8
IQFOiL Men,iQFOiL European Championships,ITA2024104BI,2025-11-22,2025-11-29,"Sferracavallo, Palermo, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA2024104BI,9,ITA,Italy,Federico Pilloni,ITAFP148,,112,72,9,(27),12,13,16,15,5,(13),1,1,9
IQFOiL Men,iQFOiL European Championships,ITA2024104BI,2025-11-22,2025-11-29,"Sferracavallo, Palermo, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA2024104BI,10,ITA,Italy,Luca di Tomassi,ITALD70,,148,58,(45) UFD,10,1,1,3,8,19,(45) BFD,5,11,10
IQFOiL Men,iQFOiL European Championships,ITA2024104BI,2025-11-22,2025-11-29,"Sferracavallo, Palermo, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA2024104BI,11,FRA,France,Clement Bourgeois,FRACB67,,133,75,9,3,5,(29),10,9,(29),11,21,7,-
IQFOiL Men,iQFOiL European Championships,ITA2024104BI,2025-11-22,2025-11-29,"Sferracavallo, Palermo, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA2024104BI,12,ITA,Italy,manolo umberto modena,ITAMM331,,126,79,2,14,8,(20),13,7,(27),15,13,7,-
IQFOiL Men,iQFOiL European Championships,ITA2024104BI,2025-11-22,2025-11-29,"Sferracavallo, Palermo, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA2024104BI,13,ISR,Israel,Yoav Omer,ISRYO2,,157,84,6,4,2,(28),7,16,1,3,(45) DNC,45 DNF,-
IQFOiL Men,iQFOiL European Championships,ITA2024104BI,2025-11-22,2025-11-29,"Sferracavallo, Palermo, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA2024104BI,14,NED,Netherlands,Joost Vink,NEDJV76,,175,85,14,4,1,12,1,(45) DNC,5,(45) DSQ,3,45 BFD,-
IQFOiL Men,iQFOiL European Championships,ITA2024104BI,2025-11-22,2025-11-29,"Sferracavallo, Palermo, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA2024104BI,15,GBR,Great Britain,Mathew Barton,GBRMB124,,128,85,5,6,4,9,(14),6,15,15,(29),25,-
IQFOiL Men,iQFOiL European Championships,ITA2024104BI,2025-11-22,2025-11-29,"Sferracavallo, Palermo, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA2024104BI,16,ESP,Spain,Nacho Baltasar Summers,ESPNS15,,152,89,(18),2,9,12,2,3,25,23,13,(45) BFD,-
IQFOiL Men,iQFOiL European Championships,ITA2024104BI,2025-11-22,2025-11-29,"Sferracavallo, Palermo, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA2024104BI,17,FRA,France,Adrien Mestre,FRAAM51,,149,90,4,8,5,(20),5,13,7,27,21,(39),-
IQFOiL Men,iQFOiL European Championships,ITA2024104BI,2025-11-22,2025-11-29,"Sferracavallo, Palermo, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA2024104BI,18,ISR,Israel,Yoav Cohen,ISRYC2,,157,91,6,6,16,15,11,(45) UFD,(21),17,3,17,-
IQFOiL Men,iQFOiL European Championships,ITA2024104BI,2025-11-22,2025-11-29,"Sferracavallo, Palermo, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA2024104BI,19,ITA,Italy,Nicolo Renna,ITANR16,,155,95,2,13,(15),8,4,7,41,7,(45) DNC,13,-
IQFOiL Men,iQFOiL European Championships,ITA2024104BI,2025-11-22,2025-11-29,"Sferracavallo, Palermo, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA2024104BI,20,GBR,Great Britain,Sam Sills,GBRSS56,,155,97,(13),2,8,10,9,9,15,23,(45) DNC,21,-
IQFOiL Men,iQFOiL European Championships,ITA2024104BI,2025-11-22,2025-11-29,"Sferracavallo, Palermo, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA2024104BI,21,FRA,France,Tom Arnoux,FRATA22,,166,98,(23),12,11,4,7,11,35,(45) BFD,9,9,-
IQFOiL Men,iQFOiL European Championships,ITA2024104BI,2025-11-22,2025-11-29,"Sferracavallo, Palermo, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA2024104BI,22,FRA,France,Louis Pignolet,FRALP46,,152,99,8,(18),7,18,14,13 RDG,(35),9,11,19,-
IQFOiL Men,iQFOiL European Championships,ITA2024104BI,2025-11-22,2025-11-29,"Sferracavallo, Palermo, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA2024104BI,23,SUI,Switzerland,Elia Colombo,SUIEC2,,157,104,(28),11,11,16,9,4,23,21,(25),9,-
