event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points,1Q(CR),2Q(CR),3Q(CR),4Q(CR),5Q(CR),6Q(CR),7Q(CR),8Q(CR),9F(CR),10F(CR),11F(CR),12F(SL),13F(SL),14F(SL),15F(SL),16F(CR),QF,SF,F1,F()
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,1,NED,Netherlands,Luuc van Opzeeland,NEDAV51,,161,50,1,(9),1,2,1,1,(7),1,14,9,(60) UFD,3,1,7,9,(35),-,-,1,1
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,2,DEN,Denmark,Johan Soe,DENJS34,,163,64,(13),1,5,1,3,2,(12),3,(29),(45),1,5,5,9,1,28,-,-,3,2
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,3,ITA,Italy,Federico Pilloni,ITAFP148,,146,73,2,(7),6,5,1,6,(10),2,13,(17),2,3,15,7,11,(39),-,2,2,3
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,4,ISR,Israel,Tom Reuveny,ISRTR3,,142.29,81.29,12,6,(26),10,(18),13.29 RDG,12,9,4,5,(7),3,3,3,1,(10),-,1,5 DNC,4
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,5,ISR,Israel,Yoav Omer,ISRYO2,,187,94,5,(20),14,14,5,7,3,(16),(39),8,6,5,13,7,7,(18),1,3,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,6,FRA,France,Tom Arnoux,FRATA22,,269,107,4,(28),9,(14),4,5,6,5,16,34,(60) UFD,1,1,17,5,(60) RET,2,4,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,7,AUS,Australia,Grae Morris,AUSGM33,,174,64,(7),5,6,2,(9),3,1,2,8,1,(60) UFD,7,9,(34) DPI,10 DPI,10 DPI,-,5,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,8,ITA,Italy,Leonardo Tomasini,ITALT46,,190,109,11,6,(16),11,2,8,(15),3,19,(29),5,17,7,19,(21),1,3,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,9,GBR,Great Britain,Finn Hawkins,GBRFH10,,279,109,1,2,1,1,(60) UFD,13,2,(20),7,(30),(60) UFD,29,15,29,5,4,4,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,10,FRA,France,Nicolas Goyard,FRANG10,,238,89,(18),8,2,3,(42),14,4,1,1,27,(60) UFD,(29),9,5,13,2,5,-,-,-
