event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points
IQFOiL Women,iQFOil European Championship,FRA202110TAX,2021-10-25,2021-10-30,"Marseilles, France",https://sailing.org/regatta/iqfoil-european-championship?ref=FRA202110TAX,1,FRA,France,Helene Noesmoen,FRAHN2,,0,100
IQFOiL Women,iQFOil European Championship,FRA202110TAX,2021-10-25,2021-10-30,"Marseilles, France",https://sailing.org/regatta/iqfoil-european-championship?ref=FRA202110TAX,2,GBR,Great Britain,Islay Watson,GBRIW27,,0,98
IQFOiL Women,iQFOil European Championship,FRA202110TAX,2021-10-25,2021-10-30,"Marseilles, France",https://sailing.org/regatta/iqfoil-european-championship?ref=FRA202110TAX,3,ISR,Israel,Shahar Reshef,ISRSR8,,0,97
IQFOiL Women,iQFOil European Championship,FRA202110TAX,2021-10-25,2021-10-30,"Marseilles, France",https://sailing.org/regatta/iqfoil-european-championship?ref=FRA202110TAX,4,FRA,France,Lucie Belbeoch,FRALB33,,0,95
IQFOiL Women,iQFOil European Championship,FRA202110TAX,2021-10-25,2021-10-30,"Marseilles, France",https://sailing.org/regatta/iqfoil-european-championship?ref=FRA202110TAX,5,ESP,Spain,Pilar Lamadrid Trueba,ESPPL14,,0,94
IQFOiL Women,iQFOil European Championship,FRA202110TAX,2021-10-25,2021-10-30,"Marseilles, France",https://sailing.org/regatta/iqfoil-european-championship?ref=FRA202110TAX,6,CRO,Croatia,Palma Cargo,CROPC4,,0,92
IQFOiL Women,iQFOil European Championship,FRA202110TAX,2021-10-25,2021-10-30,"Marseilles, France",https://sailing.org/regatta/iqfoil-european-championship?ref=FRA202110TAX,7,ESP,Spain,Nicole van der Velden,ARUNV1,,0,91
IQFOiL Women,iQFOil European Championship,FRA202110TAX,2021-10-25,2021-10-30,"Marseilles, France",https://sailing.org/regatta/iqfoil-european-championship?ref=FRA202110TAX,8,GBR,Great Britain,Saskia Sills,GBRSS63,,0,89
IQFOiL Women,iQFOil European Championship,FRA202110TAX,2021-10-25,2021-10-30,"Marseilles, France",https://sailing.org/regatta/iqfoil-european-championship?ref=FRA202110TAX,9,NED,Netherlands,Sara Wennekes,NEDSW5,,0,88
IQFOiL Women,iQFOil European Championship,FRA202110TAX,2021-10-25,2021-10-30,"Marseilles, France",https://sailing.org/regatta/iqfoil-european-championship?ref=FRA202110TAX,10,ISR,Israel,Daniela Peleg,ISRDP1,,0,86
