event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points
IQFOiL Women,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,1,FRA,France,Helene Noesmoen,FRAHN2,,,
IQFOiL Women,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,2,GBR,Great Britain,Emma Wilson,GBREW20,,,
IQFOiL Women,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,3,POL,Poland,Maja Dziarnowska,POLMD6,,,
IQFOiL Women,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,4,GBR,Great Britain,Islay Watson,GBRIW27,,,
IQFOiL Women,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,5,NED,Netherlands,Sara Wennekes,NEDSW5,,,
IQFOiL Women,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,6,ITA,Italy,Marta Maggetti,ITAMM249,,,
IQFOiL Women,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,7,MEX,Mexico,Mariana Aguilar Chavez Peon,MEXMA3,,,
IQFOiL Women,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,8,ESP,Spain,Pilar Lamadrid Trueba,ESPPL14,,,
IQFOiL Women,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,9,ISR,Israel,Daniela Peleg,ISRDP1,,,
IQFOiL Women,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,10,ISR,Israel,Shahar Tibi,ISRST5,,,
IQFOiL Women,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,11,ESP,Spain,Nicole van der Velden,ARUNV1,,,
IQFOiL Women,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,12,NZL,New Zealand,Veerle Ten Have,NZLVT2,,,
IQFOiL Women,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,13,FRA,France,Delphine Cousin,FRADC32,,,
IQFOiL Women,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,14,CRO,Croatia,Palma Cargo,CROPC4,,,
IQFOiL Women,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,15,NED,Netherlands,Lilian de Geus,NEDLD5,,,
IQFOiL Women,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,16,FRA,France,Lucie Belbeoch,FRALB33,,,
IQFOiL Women,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,17,PER,Peru,Maria Belen Bazo German,PERMB2,,,
IQFOiL Women,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,18,ITA,Italy,Giorgia Speciale,ITAGS131,,,
IQFOiL Women,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,19,FRA,France,Lola Sorin,FRALS26,,,
IQFOiL Women,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,20,ISR,Israel,Sharon Kantor,ISRSK8,,,
IQFOiL Women,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,21,ISR,Israel,Shahar Reshef,ISRSR8,,,
IQFOiL Women,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,22,POL,Poland,Maja Kuchta,POLMK77,,,
IQFOiL Women,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,23,GBR,Great Britain,Saskia Sills,GBRSS63,,,
IQFOiL Women,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,24,GBR,Great Britain,Catrin Williams,GBRCW85,,,
IQFOiL Women,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,25,ESP,Spain,Andrea Torres Fullana,ESPAF46,,,
IQFOiL Women,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,26,FIN,Finland,Aleksandra Blinnikka,FINAB8,,,
IQFOiL Women,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,27,FRA,France,Manon Pianazza,FRAMP64,,,
IQFOiL Women,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,28,ISR,Israel,Maya Morris,ISRMM3,,,
IQFOiL Women,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,29,HKG,"Hong Kong (use HK, China)",Kwan Ching Ma,HKGMM5,,,
IQFOiL Women,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,30,FRA,France,Marion Couturier,FRAMC81,,,
IQFOiL Women,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,31,CZE,Czechia,Katerina Svikova,CZEKS5,,,
IQFOiL Women,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,32,CZE,Czechia,Barbora Svikova,CZEBS3,,,
IQFOiL Women,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,33,ISR,Israel,Naama Gazit,ISRNG5,,,
IQFOiL Women,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,34,FRA,France,marion mortefon,FRAMM130,,,
IQFOiL Women,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,35,NOR,Norway,Mina Mobekk,NORMM23,,,
IQFOiL Women,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,36,NOR,Norway,Helle Oppedal,NORHO8,,,
IQFOiL Women,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,37,FRA,France,Ambar Papazian,FRAAP56,,,
IQFOiL Women,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,38,POL,Poland,Zofia Noceti Klepacka,POLZK1,,,
IQFOiL Women,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,39,CZE,Czechia,Katerina Altmannova,CZEKA1,,,
IQFOiL Women,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,40,CZE,Czechia,Kristyna Pinosova,CZEKP2,,,
IQFOiL Women,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,41,ISR,Israel,Katy Spychakov,ISRKS1,,,
IQFOiL Women,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,42,GBR,Great Britain,Emily Hall,GBREH32,,,
IQFOiL Women,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,43,GBR,Great Britain,Alice Read,GBRAR80,,,
IQFOiL Women,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,44,ITA,Italy,Sofia Renna,ITASR40,,,
IQFOiL Women,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,45,GER,Germany,Lena Erdil,GERLE10,,,
IQFOiL Women,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,46,BRA,Brazil,Giovanna Prada,BRAGP14,,,
IQFOiL Women,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,47,ESP,Spain,Blanca Manchon,ESPMB2,,,
IQFOiL Women,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,48,AUS,Australia,Natasha Bryant,AUSNB23,,,
IQFOiL Women,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,49,JPN,Japan,Rina Niijima,JPNRN3,,,
IQFOiL Women,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,50,GER,Germany,Theresa Marie Steinlein,GERTS78,,,
IQFOiL Women,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,51,DEN,Denmark,Laerke Buhl-Hansen,DENLB6,,,
IQFOiL Women,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,52,GBR,Great Britain,Jennie Roberts,GBRJR119,,,
IQFOiL Women,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,53,ISR,Israel,,,,,
IQFOiL Women,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,54,GER,Germany,Alisa Engelmann,GERAE18,,,
IQFOiL Women,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,55,EST,Estonia,Ingrid Puusta,ESTIP1,,,
IQFOiL Women,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,56,ISR,Israel,Noy Drihan,ISRND4,,,
IQFOiL Women,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,57,TUR,Türkiye,Merve Vatan,TURMV1,,,
IQFOiL Women,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,58,GER,Germany,Helena Wanser,GERHW15,,,
IQFOiL Women,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,59,JPN,Japan,Fujiko Onishi,JPNFO1,,,
IQFOiL Women,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,60,AUS,Australia,Samantha Costin,AUSSC55,,,
IQFOiL Women,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,61,NZL,New Zealand,Brianna Orams,USABO39,,,
IQFOiL Women,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,62,BRA,Brazil,Bruna Martinelli,BRABC3,,,
IQFOiL Women,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,63,TUR,Türkiye,Dilara Uralp Palombo,TURDU3,,,
IQFOiL Women,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,64,HUN,Hungary,Sara Cholnoky,HUNSC2,,,
IQFOiL Women,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,65,JPN,Japan,Yuki Sunaga,JPNYS1,,,
IQFOiL Women,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,65,JPN,Japan,,,,,
IQFOiL Women,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,66,SWE,Sweden,Johanna Hjertberg,SWEJH57,,,
IQFOiL Women,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,67,NED,Netherlands,Fianne Brule,NEDFB16,,,
IQFOiL Women,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,68,CZE,Czechia,Nela Sadílková,CZENS2,,,
IQFOiL Women,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,69,ITA,Italy,Linda Oprandi,ITALO5,,,
IQFOiL Women,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,70,MEX,Mexico,Demita Vega,MEXDV4,,,
IQFOiL Women,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,71,SUI,Switzerland,Manon Berger,SUIMB39,,,
IQFOiL Women,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,72,GER,Germany,Sophia Meyer,GERSM58,,,
IQFOiL Women,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,73,FRA,France,Inès Bouchet,FRAIB3,,,
IQFOiL Women,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,74,FIN,Finland,Tuuli Petaejae-Siren,FINTP2,,,
IQFOiL Women,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,75,CYP,Cyprus,Natasa Lappa,CYPNL2,,,
IQFOiL Women,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,76,USA,United States of America,Farrah Hall,USAFH8,,,
IQFOiL Women,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,77,USA,United States of America,Dominique Stater,USADS214,,,
IQFOiL Women,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,78,FRA,France,Justine Lemeteyer,FRAJL127,,,
IQFOiL Women,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,79,GRE,Greece,Danae Pontifex,GREDP28,,,
IQFOiL Women,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,80,JPN,Japan,Junna Watanabe,JPNJW1,,,
IQFOiL Women,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,81,MEX,Mexico,Cristina Ortiz Vivas,MEXCO1,,,
IQFOiL Women,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,82,JPN,Japan,Miki Yamabe,JPNMY23,,,
IQFOiL Women,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,83,GRE,Greece,Aikaterini Divari,GREAD20,,,
IQFOiL Women,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,84,DEN,Denmark,Sofie Hammeken,DENST10,,,
IQFOiL Women,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,85,ESP,Spain,Julia Gomez Roa,ESPJG114,,,
IQFOiL Women,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,86,SGP,Singapore,Marsha Shahrin,SINMS3,,,
IQFOiL Women,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,87,CZE,Czechia,Kristýna Chalupníková,CZEKC1,,,
IQFOiL Women,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,88,SUI,Switzerland,Elena Sandera,SUIES10,,,
IQFOiL Women,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,89,TUR,Türkiye,Elif Ercan,TUREE6,,,
