event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points,1Q(CR),2Q(CR),3Q(CR),4Q(CR),5Q(CR),6Q(CR),7Q(CR),8Q(CR),9F(CR),10F(CR),11F(CR),12F(CR),13F(SL),14F(SL),15F(SL),16F(SL),17F(CR),18F(CR),19F(CR),MR(pos)
IQFOiL Women,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,1,NOR,Norway,Mina Mobekk,NORMM23,,207,116,(15),2,6,3,3,3,10,(13),4,8,9,14,5,25,3,(29),17,4,(34),1
IQFOiL Women,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,2,ISR,Israel,Sharon Kantor,ISRSK8,,98,34,(15),(10),2,2,1,1,1,1,1,2,1,1,(27),7,7,3,(12),3,1,2
IQFOiL Women,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,3,GBR,Great Britain,Emma Wilson,GBREW20,,181.4,67.4,1,3,1,3,3,(6),(46) BFD,2,(25),9,14.4 RDG,8,13,3,1,(37),1,2,3,3
IQFOiL Women,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,4,FRA,France,Helene Noesmoen,FRAHN2,,195,128,1,(10),4,4,6,10,(13),8,15,7,5,(21),(23),17,17,13,4,13,4,4
IQFOiL Women,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,5,ISR,Israel,Shahar Tibi,ISRST5,,134,49,7,1,(14),5,(11),4,4,4,3,5,2,3,(41),5,1,1,3,1,(19),5
IQFOiL Women,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,6,ESP,Spain,Pilar Lamadrid Trueba,ESPPL14,,185,75,6,5,5,6,(8),1,1,(46) DNC,2,1,3,(15),5,7,(41),9,11,11,2,6
IQFOiL Women,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,7,CRO,Croatia,Palma Cargo,CROPC4,,182,108,(11),6,3,(11),4,2,2,5,10,4,15,19,(25),1,9,(27),2,14,12,7
IQFOiL Women,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,8,NED,Netherlands,Sara Wennekes,NEDSW5,,152,99,2,1,2,1,2,(4),(11),3,9,3,10,11,7,9,(17),7,(21),16,16,8
IQFOiL Women,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,9,NED,Netherlands,Lilian de Geus,NEDLD5,,236,136,3,46 DNE,7,6,5,(9),(46) BFD,5,11,11,9 RDG,5,7,5,7,3,(22),6,(23),9
IQFOiL Women,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,10,ISR,Israel,Katy Spychakov,ISRKS1,,248,117,4,8,5,(46) DSQ,(19),11,3,10,10 RDG,10,14,6,1,3,(47) DNC,9,15,(19),8,10
IQFOiL Women,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,11,FRA,France,,,,252,137,7,7,10,11,(19),7,5,(13),12,(46) RET,8,13,25,1,5,5,(37),12,9,-
IQFOiL Women,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,12,ISR,Israel,Tamar Steinberg,ISRTS5,,238,141,3,(8),(9),1,2,2,2,1,6,21,4,2,21,19,(43),(37),30,17,10,-
IQFOiL Women,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,13,FRA,France,Lola Sorin,FRALS26,,290,156,6,(46) DNC,1,(24),7,12,14,6,8,6,(35),16,17,(29),13,23,7,5,15,-
IQFOiL Women,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,14,GBR,Great Britain,Islay Watson,GBRIW27,,258,158,5,3,3,2,(6),5,3,(6),7,(46) DSQ,6,4,29,27,21,1,28,(42),14,-
IQFOiL Women,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,15,POL,Poland,Maja Dziarnowska,POLMD6,,283,171,9,(20),13,5,9,8,(46) RET,19,18,(26),(20),17,1,13,11,11,9,8,20,-
IQFOiL Women,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,16,ITA,Italy,Marta Maggetti,ITAMM249,,263,172,5,(16),6,8,(18),9,8,4,14,14,7,9,9,23,25,7,(29),24,(28),-
IQFOiL Women,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,17,NOR,Norway,Helle Oppedal,NORHO8,,272,177,2,(11),4,(16),5,5,4,2,5,20,(30),20,27,11,15,5,(38),30,22,-
IQFOiL Women,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,18,ISR,Israel,Maya Morris,ISRMM3,,295,196,12,6,(14),9,10,(35),5,7,19,(24),11,23,11,21,13,21,19,9,(26),-
IQFOiL Women,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,19,ESP,Spain,Nicole van der Velden,ARUNV1,,339,218,8,4,(12),7,1,3,(26),7,20,15,16,(42),21,(41),21,25,24,7,39,-
IQFOiL Women,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,20,GBR,Great Britain,Saskia Sills,GBRSS63,,357,233,16,7,(28),(24),13,14,15,15,16,16,22,10,(43),19,(29),11,27,26,6,-
IQFOiL Women,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,21,PER,Peru,Maria Belen Bazo German,PERMB2,,414,234,(46) DNC,17,8,(46) BFD,4,10,12,15,13,(46) DSQ,17,22,31,15,31,19,(42),15,5,-
IQFOiL Women,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,22,GER,Germany,Theresa Marie Steinlein,GERTS78,,347,237,13,(25),(23),15,8,16,20,12,28,(29),13,7,15,(33),11,15,18,29,17,-
IQFOiL Women,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,23,ISR,Israel,Daniela Peleg,ISRDP1,,409.7,253.7,(46) DNC,23,26,(28),20,13,9,9,24,30,12,(35),3,(47) DSQ,3,17.7 RDG,5,35,24,-
IQFOiL Women,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,24,GER,Germany,Lena Erdil,GERLE10,,391,254,10,14,10,7,(21),(27),7,9,30,12,(46) DSQ,(43),33,15,37,15,14,20,21,-
IQFOiL Women,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,25,NZL,New Zealand,Veerle Ten Have,NZLVT2,,367,255,8,2,7,4,(11),6,7,(17),26,17,32,18,(37),37 RDG,27,(47) BFD,25,10,29,-
IQFOiL Women,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,26,CHN,"China, PR",Xialing Tan,CHNXT2,,419,263,4,4,(25),10,14,8,(46) BFD,8,(46) DSQ,18,18,25,23,21,15,35,(39),25,35,-
IQFOiL Women,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,27,FRA,France,Marion Couturier,FRAMC81,,448,264,9,12,16,9,6 RDG,(46) BFD,(46) BFD,3,32,13,26,(45),15,27,(47) DNC,25,26,18,27,-
IQFOiL Women,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,28,ISR,Israel,Shahar Reshef,ISRSR8,,435,283,16,5,11,(46) BFD,17,7,6,(18),17,19,23,12,39,11,(45),27,36,37,(43),-
IQFOiL Women,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,29,CHN,"China, PR",Xianting Huang,CHNXH4,,439,300,(28),18,(31),12,17 RDG,22 RDG,11 RDG,19 RDG,22,28,24,(40),13,39,23,21,13,(40),18,-
IQFOiL Women,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,30,MEX,Mexico,Mariana Aguilar Chavez Peon,MEXMA3,,460,302,(22),14,19,10,10,11,(46) BFD,14,(43),27,29,32,19,31,19,(47) BFD,31,23,13,-
