event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points,1(SL),2(SL),3(SL),4(SL),5(SL),6(SL),7(SL),8(SL),9(CR),10(CR),11(CR),12(CR),13(CR),QF,SF,F
IQFOiL Women,iQFOiL European Championships,ITA202410QKL,2024-10-04,2024-10-11,"Cagliari Poetto Beach, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410QKL,1,ISR,Israel,Daniela Peleg,ISRDP1,,90,63,5,3,9,11,3,9,1,3,4,(12),4,11,(15),-,1,1
IQFOiL Women,iQFOiL European Championships,ITA202410QKL,2024-10-04,2024-10-11,"Cagliari Poetto Beach, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410QKL,2,NOR,Norway,Maya Gysler,NORMG7,,128,50,(47) BFD,(31),13,9,1,1,1,1,8,4,3,5,4,-,-,2
IQFOiL Women,iQFOiL European Championships,ITA202410QKL,2024-10-04,2024-10-11,"Cagliari Poetto Beach, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410QKL,3,POL,Poland,Anastasiya Valkevich,POLAV1,,164,76,1,1,1,(41),1,(47) BFD,27,21,5,2,14,2,1,2,2,3
IQFOiL Women,iQFOiL European Championships,ITA202410QKL,2024-10-04,2024-10-11,"Cagliari Poetto Beach, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410QKL,4,ISR,Israel,Shahar Tibi,ISRST5,,140,66,11,11,5,3,(27),(47) BFD,13,3,2,1,2,8,7,1,3,-
IQFOiL Women,iQFOiL European Championships,ITA202410QKL,2024-10-04,2024-10-11,"Cagliari Poetto Beach, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410QKL,5,ISR,Israel,Tamar Steinberg,ISRTS5,,116,58,7,7,3,3,7,(47) BFD,9,(11),6,8,5,1,2,-,4,-
IQFOiL Women,iQFOiL European Championships,ITA202410QKL,2024-10-04,2024-10-11,"Cagliari Poetto Beach, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410QKL,6,ISR,Israel,Maya Morris,ISRMM3,,149,102,3,9,11,15,5,1,(23),7,(24),13,10,17,11,3,-,-
IQFOiL Women,iQFOiL European Championships,ITA202410QKL,2024-10-04,2024-10-11,"Cagliari Poetto Beach, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410QKL,7,NED,Netherlands,Sara Wennekes,NEDSW5,,167,73,7,1,5,7,3,(47) BFD,3,(47) BFD,1,11,18,9,8,4,-,-
IQFOiL Women,iQFOiL European Championships,ITA202410QKL,2024-10-04,2024-10-11,"Cagliari Poetto Beach, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410QKL,8,NOR,Norway,Mina Mobekk,NORMM23,,138,92,(21),11,11,11,9,9,7,(25),7,7,1,14,5,5,-,-
IQFOiL Women,iQFOiL European Championships,ITA202410QKL,2024-10-04,2024-10-11,"Cagliari Poetto Beach, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410QKL,9,FRA,France,Lola Sorin,FRALS26,,106,64,9,3,(25),5,(17),3,13,1,3,9,9,6,3,6,-,-
IQFOiL Women,iQFOiL European Championships,ITA202410QKL,2024-10-04,2024-10-11,"Cagliari Poetto Beach, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410QKL,10,GBR,Great Britain,Islay Watson,GBRIW27,,143,70,3,5,3,1,5,21,3,(47) DNC,10,3,(26),10,6,7,-,-
