event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points,1(CR),2(CR),3(CR),4(CR),5(CR),6(CR),7(SL),8(SL),9(SL),10(SL),11(SL),MR (pos)
IQFOiL Women,iQFOiL European Championships,ITA2024104BI,2025-11-22,2025-11-29,"Sferracavallo, Palermo, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA2024104BI,1,ISR,Israel,Daniela Peleg,ISRDP1,,61,31,1,7,(18),6,(12),8,1,3,1,3,1,1
IQFOiL Women,iQFOiL European Championships,ITA2024104BI,2025-11-22,2025-11-29,"Sferracavallo, Palermo, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA2024104BI,2,GBR,Great Britain,Emma Wilson,GBREW20,,44,24,(9),1,1,8,1,(11),7,1,3,1,1,2
IQFOiL Women,iQFOiL European Championships,ITA2024104BI,2025-11-22,2025-11-29,"Sferracavallo, Palermo, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA2024104BI,3,NOR,Norway,Maya Gysler,NORMG7,,130,81,(28),15,(21),7,6,2,7,3,7,17,17,3
IQFOiL Women,iQFOiL European Championships,ITA2024104BI,2025-11-22,2025-11-29,"Sferracavallo, Palermo, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA2024104BI,4,ITA,Italy,Marta Maggetti,ITAMM249,,73,44,(17),(12),8,11,2,4,1,1,11,5,1,4
IQFOiL Women,iQFOiL European Championships,ITA2024104BI,2025-11-22,2025-11-29,"Sferracavallo, Palermo, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA2024104BI,5,ISR,Israel,Tamar Steinberg,ISRTS5,,115,48,4,8,(28),1,3,16,5,1,9,1,(39) BFD,5
IQFOiL Women,iQFOiL European Championships,ITA2024104BI,2025-11-22,2025-11-29,"Sferracavallo, Palermo, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA2024104BI,6,CRO,Croatia,Palma Cargo,CROPC4,,76,48,(14),(14),2,3,8,14,1,5,1,11,3,6
IQFOiL Women,iQFOiL European Championships,ITA2024104BI,2025-11-22,2025-11-29,"Sferracavallo, Palermo, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA2024104BI,7,ITA,Italy,Medea Marisa Falcioni,ITAMF147,,163,108,10,(28),17,21,10,10,11,11,(27),3,15,7
IQFOiL Women,iQFOiL European Championships,ITA2024104BI,2025-11-22,2025-11-29,"Sferracavallo, Palermo, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA2024104BI,8,NED,Netherlands,Sara Wennekes,NEDSW5,,156,92,3,24,11,5,9,3,9,(31),15,(33),13,8
IQFOiL Women,iQFOiL European Championships,ITA2024104BI,2025-11-22,2025-11-29,"Sferracavallo, Palermo, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA2024104BI,9,CZE,Czechia,Kristyna Pinosova,CZEKP2,,176,107,(29),22,10,(40),15,5,11,7,25,5,7,9
IQFOiL Women,iQFOiL European Championships,ITA2024104BI,2025-11-22,2025-11-29,"Sferracavallo, Palermo, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA2024104BI,10,POL,Poland,Anastasiya Valkevich,POLAV1,,114.8,67,(22.8) SCP,2,6,18,7,9,(25),9,3,10 RDG,3,10
IQFOiL Women,iQFOiL European Championships,ITA2024104BI,2025-11-22,2025-11-29,"Sferracavallo, Palermo, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA2024104BI,11,GER,Germany,Theresa Marie Steinlein,GERTS78,,160,110,2,56 DNE,9,10,(25),7,3,5,(25),7,11,-
IQFOiL Women,iQFOiL European Championships,ITA2024104BI,2025-11-22,2025-11-29,"Sferracavallo, Palermo, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA2024104BI,12,GBR,Great Britain,Islay Watson,GBRIW27,,176,112,19,6,7,15,(35),13,7,21,23,1,(29),-
IQFOiL Women,iQFOiL European Championships,ITA2024104BI,2025-11-22,2025-11-29,"Sferracavallo, Palermo, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA2024104BI,13,ESP,Spain,Pilar Lamadrid Trueba,ESPPL14,,169,121,12,5,(25),12,17,17,(23),21,17,7,13,-
IQFOiL Women,iQFOiL European Championships,ITA2024104BI,2025-11-22,2025-11-29,"Sferracavallo, Palermo, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA2024104BI,14,FRA,France,Helene Noesmoen,FRAHN2,,190,122,16,3,3,(29),19,21,(39) DNF,5,9,21,25,-
IQFOiL Women,iQFOiL European Championships,ITA2024104BI,2025-11-22,2025-11-29,"Sferracavallo, Palermo, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA2024104BI,15,FRA,France,Lucie Belbeoch,FRALB33,,208,125,15,11,(56) UFD,16,(27),26,19,11,3,7,17,-
IQFOiL Women,iQFOiL European Championships,ITA2024104BI,2025-11-22,2025-11-29,"Sferracavallo, Palermo, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA2024104BI,16,FRA,France,Manon Pianazza,FRAMP64,,180,125,18,17,12,22,(32),18,13,9,5,11,(23),-
IQFOiL Women,iQFOiL European Championships,ITA2024104BI,2025-11-22,2025-11-29,"Sferracavallo, Palermo, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA2024104BI,17,ISR,Israel,Maya Morris,ISRMM3,,209,132,31,(38),26,(39),28,6,5,3,5,13,15,-
IQFOiL Women,iQFOiL European Championships,ITA2024104BI,2025-11-22,2025-11-29,"Sferracavallo, Palermo, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA2024104BI,18,ITA,Italy,Sofia Renna,ITASR40,,248,140,11,26,(56) UFD,(52),26,34,3,17,9,11,3,-
IQFOiL Women,iQFOiL European Championships,ITA2024104BI,2025-11-22,2025-11-29,"Sferracavallo, Palermo, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA2024104BI,19,NZL,New Zealand,Stella Bilger,NZLSB27,,206,146,24,4,14,9,14,20,17,(27),(33),21,23,-
IQFOiL Women,iQFOiL European Championships,ITA2024104BI,2025-11-22,2025-11-29,"Sferracavallo, Palermo, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA2024104BI,20,NOR,Norway,Mina Mobekk,NORMM23,,216,147,22,(32),15,(37),11,30,21,23,7,13,5,-
IQFOiL Women,iQFOiL European Championships,ITA2024104BI,2025-11-22,2025-11-29,"Sferracavallo, Palermo, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA2024104BI,21,CYP,Cyprus,Natasa Lappa,CYPNL2,,241,153,(47),9,(41),27,29,25,3,39 BFD,13,3,5,-
IQFOiL Women,iQFOiL European Championships,ITA2024104BI,2025-11-22,2025-11-29,"Sferracavallo, Palermo, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA2024104BI,22,NOR,Norway,Tuva Oppedal,NORTO12,,241,155,25,(47),4,14,(39),19,11,23,13,13,33,-
