event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points,1Q(CR),2Q(CR),3Q(CR),4Q(CR),5Q(US),6Q(US),7Q(US),8Q(US),9F(CR),10F(CR),11F(CR),12F(SL),13F(SL),14F(SL),15F(SL),16F(SL),QF,SF,F1,F()
IQFOiL Women,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,1,ISR,Israel,Tamar Steinberg,ISRTS5,,95,40,1,4,1,(5),(19),1,1,1,6,(16),(15),5,1,5,7,7,-,-,1,1
IQFOiL Women,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,2,NZL,New Zealand,Aimee Bright,NZLAB9,,143,52,4,3,(6),1,1,(27),3,5,7,8,(19),9,7,(39) RET,1,3,-,-,4,2
IQFOiL Women,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,3,ISR,Israel,Shahar Tibi,ISRST5,,186,74,8,(9),2,1,1,(39) BFD,5,5,21,1,3,9,7,(33),(31),11,1,1,2,3
IQFOiL Women,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,4,ESP,Spain,Pilar Lamadrid Trueba,ESPPL14,,195,77,5,6,2,(8),(39) DNC,3,1,3,(33),2,(38),19,15,7,9,5,2,2,3,4
IQFOiL Women,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,5,CHN,"China, PR",Li Wenqi,CHNLW17,,130,53,6,1,3,2,5,5,(23),(7),1,(14),6,5,5,1,13,(33),-,3,-,-
IQFOiL Women,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,6,ISR,Israel,Daniela Peleg,ISRDP1,,156,62,2,7,(9),4,5,9,(15),5,17,7,(31),1,(39) BFD,1,3,1,-,4,-,-
IQFOiL Women,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,7,CHN,"China, PR",Zheng Yan,CHNZY5,,125,55,(7),(12),5,3,3,1,3,1,2,(32),9,3,(19),15,7,3,-,5,-,-
IQFOiL Women,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,8,FRA,France,Helene Noesmoen,FRAHN2,,160,64,1,(18),5,3,11,1,9,(15),3,(28),1,15,3,9,3,(35),3,-,-,-
IQFOiL Women,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,9,ITA,Italy,Marta Maggetti,ITAMM249,,149,83,(11),5,1,(9),9,7,3,5,14,(17),13,1,1,(29),15,9,4,-,-,-
IQFOiL Women,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,10,NOR,Norway,Maya Gysler,NORMG7,,152,75,3,2,(4),(13),1,3,1,1,9,4,8,7,11,(35),(25),25,6 DNC,-,-,-
IQFOiL Women,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,11,FRA,France,Manon Pianazza,FRAMP64,,160,87,3,2,8,(15),1,11,(27),11,(16),3,12,(15),13,7,9,7,-,-,-,-
IQFOiL Women,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,12,GBR,Great Britain,Emma Wilson,GBREW20,,205,93,7,1,(15),2,15,(23),5,1,11,12,4,11,3,21,(37),(37),-,-,-,-
IQFOiL Women,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,13,NOR,Norway,Tuva Oppedal,NORTO12,,166,95,8,(12),(13),7,7,7,3,3,5,(25),5,(21),17,5,17,11,-,-,-,-
IQFOiL Women,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,14,NZL,New Zealand,Stella Bilger,NZLSB27,,214,97,5,5,(9),4,7,(33),7,3,4,10,(36),13,(39) BFD,11,19,9,-,-,-,-
IQFOiL Women,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,15,NZL,New Zealand,Veerle Ten Have,NZLVT2,,172,109,4,3,7,(8),5 RDG,5,1,(9),(24),(22),21,11,11,21,1,19,-,-,-,-
IQFOiL Women,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,16,GBR,Great Britain,Islay Watson,GBRIW27,,245,116,10,10,10,(22),11,(39) BFD,13,13,8,11,11,(39) DNC,13,(29),5,1,-,-,-,-
IQFOiL Women,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,17,ITA,Italy,Medea Marisa Falcioni,ITAMF147,,200,125,13,16,15,(19),3,17,17,(19),(20),5,7,7,5,3,(17),17,-,-,-,-
IQFOiL Women,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,18,NED,Netherlands,Sara Wennekes,NEDSW5,,211.67,128.67,(14),8,(19),11,9.67 RDG,7,11,11,(23),15,2,13,9,15,(27),17,-,-,-,-
IQFOiL Women,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,19,POL,Poland,Anastasiya Valkevich,POLAV1,,244,131,(20),11,3,5,(31),1,7,9,(27),9,16,27,17,3,23,(35),-,-,-,-
IQFOiL Women,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,20,CHN,"China, PR",Yongqi Li,CHNYL37,,275,155,11,(22),19,12,(39) DSQ,9,11,15,13,(31),(28),3,9,27,11,15,-,-,-,-
IQFOiL Women,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,21,EST,Estonia,Emma Viktoria Millend,ESTEM4,,287,155,(29),(30),18,6,9,25,5,9,(38),(35),10,35,19,9,5,5,-,-,-,-
IQFOiL Women,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,22,NOR,Norway,Mina Mobekk,NORMM23,,259,167,15,16,(22),(19),5,3,9,7,19,(26),(25),25,23,17,15,13,-,-,-,-
IQFOiL Women,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,23,MEX,Mexico,Mariana Aguilar Chavez Peon,MEXMA3,,299,178,2,21,(24),9,5,(27),5,9,(31),13,26,17,(39) BFD,23,25,23,-,-,-,-
IQFOiL Women,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,24,CZE,Czechia,Katerina Svikova,CZEKS5,,287,178,14,10,18,7,11,(25),15,(25),18,(24),17,19,15,13,(35),21,-,-,-,-
IQFOiL Women,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,25,FRA,France,Marion Couturier,FRAMC81,,329,191,20,20,13,6,(25),11,(39) UFD,15,12,18,(35),21,(39) BFD,19,21,15,-,-,-,-
IQFOiL Women,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,26,ITA,Italy,CAROLA COLASANTO,ITACC169,,324,204,(39) UFD,13,12,12,13,3,(23),21,26,19,22,(31),25,25,(27),13,-,-,-,-
IQFOiL Women,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,27,CHN,"China, PR",Xialing Tan,CHNXT2,,325,209,12,19,(25),(29),7,15,7,11,10,21,24,(29),(33),25,29,29,-,-,-,-
IQFOiL Women,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,28,FRA,France,Lola Sorin,FRALS26,,326,210,6,26,(27),25,3,9,13,(27),(32),23,(30),17,29,17,13,29,-,-,-,-
