event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points
Nacra 17 Mixed,"49er, 49erFX and Nacra 17 European Championships",GRE202105GUT,2021-09-14,2021-09-19,"Thessaloniki, Greece",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202105GUT,1,GBR,Great Britain,John Gimson / Anna Burnet,GBRAB123 / GBRJG12,,0,100
Nacra 17 Mixed,"49er, 49erFX and Nacra 17 European Championships",GRE202105GUT,2021-09-14,2021-09-19,"Thessaloniki, Greece",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202105GUT,2,ITA,Italy,Gianluigi Ugolini / Alice Cialfi,ITAAC295 / ITAGU1,,0,93
Nacra 17 Mixed,"49er, 49erFX and Nacra 17 European Championships",GRE202105GUT,2021-09-14,2021-09-19,"Thessaloniki, Greece",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202105GUT,3,FRA,France,Titouan Petard / Lou Berthomieu,FRATP37 / FRALB71,,0,86
Nacra 17 Mixed,"49er, 49erFX and Nacra 17 European Championships",GRE202105GUT,2021-09-14,2021-09-19,"Thessaloniki, Greece",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202105GUT,4,GBR,Great Britain,Rupert White / Kirstie Urwin,GBRRW72 / GBRKU1,,0,80
Nacra 17 Mixed,"49er, 49erFX and Nacra 17 European Championships",GRE202105GUT,2021-09-14,2021-09-19,"Thessaloniki, Greece",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202105GUT,5,FRA,France,Margaux Billy / Léo Maurin,FRAMB101 / FRALM49,,0,73
Nacra 17 Mixed,"49er, 49erFX and Nacra 17 European Championships",GRE202105GUT,2021-09-14,2021-09-19,"Thessaloniki, Greece",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202105GUT,6,SWE,Sweden,Ida Svensson / Marcus Dackhammar,SWEMD2 / SWEIS4,,0,66
Nacra 17 Mixed,"49er, 49erFX and Nacra 17 European Championships",GRE202105GUT,2021-09-14,2021-09-19,"Thessaloniki, Greece",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202105GUT,7,NED,Netherlands,Laila van der Meer / Bjarne Bouwer,NEDBB21 / NEDLV30,,0,60
Nacra 17 Mixed,"49er, 49erFX and Nacra 17 European Championships",GRE202105GUT,2021-09-14,2021-09-19,"Thessaloniki, Greece",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202105GUT,8,DEN,Denmark,Natacha Violet Saouma-Pedersen / Mathias Bruun Borreskov,DENNS11 / DENMB19,,0,53
Nacra 17 Mixed,"49er, 49erFX and Nacra 17 European Championships",GRE202105GUT,2021-09-14,2021-09-19,"Thessaloniki, Greece",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202105GUT,9,AUT,Austria,Laura Farese / Matthaus Zoechling,AUTMZ5 / AUTLF3,,0,46
Nacra 17 Mixed,"49er, 49erFX and Nacra 17 European Championships",GRE202105GUT,2021-09-14,2021-09-19,"Thessaloniki, Greece",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202105GUT,10,NOR,Norway,Nicholas Fadler Martinsen / Martine Steller Mortensen,NORMS2 / NORNF1,,0,40
Nacra 17 Mixed,"49er, 49erFX and Nacra 17 European Championships",GRE202105GUT,2021-09-14,2021-09-19,"Thessaloniki, Greece",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202105GUT,11,GRE,Greece,Iordanis Paschalidis / Myrto Papadopoulou,GREIP4 / GREMP29,,0,33
Nacra 17 Mixed,"49er, 49erFX and Nacra 17 European Championships",GRE202105GUT,2021-09-14,2021-09-19,"Thessaloniki, Greece",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202105GUT,12,GER,Germany,Estela Luna Jentsch Steimer,GEREJ6,,0,26
Nacra 17 Mixed,"49er, 49erFX and Nacra 17 European Championships",GRE202105GUT,2021-09-14,2021-09-19,"Thessaloniki, Greece",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202105GUT,13,FRA,France,Enzo Balanger / Roxane DUBOIS,FRAEB35 / FRARD27,,0,20
Nacra 17 Mixed,"49er, 49erFX and Nacra 17 European Championships",GRE202105GUT,2021-09-14,2021-09-19,"Thessaloniki, Greece",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202105GUT,14,USA,United States of America,Carson Crain / Caroline Atwood,USACA43 / USACC106,,0,13
Nacra 17 Mixed,"49er, 49erFX and Nacra 17 European Championships",GRE202105GUT,2021-09-14,2021-09-19,"Thessaloniki, Greece",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202105GUT,15,FIN,Finland,Alessandro Stocco / Kirsikka Räisänen,ITAAS191 / FINKR8,,0,6
