event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points,Q1 Red,Q2 ,Q3 Red,Q4 ,Q5 ,Q6 ,Q7 ,Q8 ,Q9 ,F1 Bronze,F2 Silver,F3 Bronze,F4 Silver,F5 Silver,F6 Gold,F7 Bronze,Medal Medal
Nacra 17 Mixed,"49er, 49erFX and Nacra 17 European Championships",DEN202207MUC,2022-07-05,2022-07-10,"Aarhus, Denmark",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207MUC,1,ITA,Italy,Ruggero Tita / Caterina Banti,ITACB71 / ITART8,ITA 26,29,21,2,1,1,1,1,(8),2,1,2,2,1,1,1,1,4,-,-
Nacra 17 Mixed,"49er, 49erFX and Nacra 17 European Championships",DEN202207MUC,2022-07-05,2022-07-10,"Aarhus, Denmark",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207MUC,2,NZL,New Zealand,Micah Wilkinson / Erica Dawson,NZLED1 / NZLMW12,NZL 96,103,86,1,3,(17),2,2,12,6,9,4,4,6,8,11,10,8,-,-
Nacra 17 Mixed,"49er, 49erFX and Nacra 17 European Championships",DEN202207MUC,2022-07-05,2022-07-10,"Aarhus, Denmark",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207MUC,3,FIN,Finland,Sinem Kurtbay / Akseli Keskinen,FINAK14 / TURSK15,FIN 13,110,93,11,(17),6,4,5,17,12,3,8,3,3,5,4,6,6,-,-
Nacra 17 Mixed,"49er, 49erFX and Nacra 17 European Championships",DEN202207MUC,2022-07-05,2022-07-10,"Aarhus, Denmark",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207MUC,4,ITA,Italy,Gianluigi Ugolini / Maria Giubilei,ITAMG142 / ITAGU1,ITA 98,108,96,10,6,5,8,10,5,11,2,9,1,4,4,(12),11,10,-,-
Nacra 17 Mixed,"49er, 49erFX and Nacra 17 European Championships",DEN202207MUC,2022-07-05,2022-07-10,"Aarhus, Denmark",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207MUC,5,ITA,Italy,Vittorio Bissaro / Maellle Frascari,ITAVB9 / ITAMF53,ITA 71,116,100,9,11,12,12,13,1,8,15,3,5,5,2,2,(16),2,-,-
Nacra 17 Mixed,"49er, 49erFX and Nacra 17 European Championships",DEN202207MUC,2022-07-05,2022-07-10,"Aarhus, Denmark",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207MUC,6,GBR,Great Britain,John Gimson / Anna Burnet,GBRAB123 / GBRJG12,GBR 21,118,101,5,9,4,10,3,10,3,5,(17),7,9,16,5,3,12,-,-
Nacra 17 Mixed,"49er, 49erFX and Nacra 17 European Championships",DEN202207MUC,2022-07-05,2022-07-10,"Aarhus, Denmark",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207MUC,7,GER,Germany,Paul Kohlhoff / Alica Stuhlemmer,GERPK15 / GERAS76,GER 3,119,101,7,10,9,5,9,2,1,6,7,6,2,6,13,(18),18,-,-
Nacra 17 Mixed,"49er, 49erFX and Nacra 17 European Championships",DEN202207MUC,2022-07-05,2022-07-10,"Aarhus, Denmark",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207MUC,8,SWE,Sweden,Emil Jarudd / Hanna Jonsson,SWEHJ11 / SWEEJ5,SWE 14,134,113,(21),7,16,6,6,3,5,4,1,9,10,10,18,2,16,-,-
Nacra 17 Mixed,"49er, 49erFX and Nacra 17 European Championships",DEN202207MUC,2022-07-05,2022-07-10,"Aarhus, Denmark",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207MUC,9,NED,Netherlands,Laila van der Meer / Bjarne Bouwer,NEDBB21 / NEDLV30,NED 505,151,135,4,2,2,(16),15,11,9,7,11,13,15,14,7,5,20,-,-
Nacra 17 Mixed,"49er, 49erFX and Nacra 17 European Championships",DEN202207MUC,2022-07-05,2022-07-10,"Aarhus, Denmark",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207MUC,10,AUS,Australia,Jason Waterhouse / Lisa Darmanin,AUSJW14 / AUSLD4,AUS 5,158,138,15,13,10,14,7,4,4,8,13,12,7,11,6,(20),14,-,-
Nacra 17 Mixed,"49er, 49erFX and Nacra 17 European Championships",DEN202207MUC,2022-07-05,2022-07-10,"Aarhus, Denmark",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207MUC,11,ARG,Argentina,Mateo Majdalani / Eugenia Bosco,ARGEB11 / ARGMM7,ARG 29,165,131,6,5,20,9,4,13,(34) DSQ,11,14,17,16,3,9,4,-,-,-
Nacra 17 Mixed,"49er, 49erFX and Nacra 17 European Championships",DEN202207MUC,2022-07-05,2022-07-10,"Aarhus, Denmark",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207MUC,12,SWE,Sweden,Ida Svensson / Marcus Dackhammar,SWEMD2 / SWEIS4,SWE 61,166,132,19,12,14,(34) UFD,8,6,10,13,12,11,8,9,3,7,-,-,-
Nacra 17 Mixed,"49er, 49erFX and Nacra 17 European Championships",DEN202207MUC,2022-07-05,2022-07-10,"Aarhus, Denmark",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207MUC,13,ARG,Argentina,Santiago Raul Lange / Victoria Travascio,ARGVT4 / ARGSL2,ARG 93,199,165,8,4,7,11,14,9,17,14,20,(34) UFD,12,15,15,19,-,-,-
Nacra 17 Mixed,"49er, 49erFX and Nacra 17 European Championships",DEN202207MUC,2022-07-05,2022-07-10,"Aarhus, Denmark",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207MUC,14,DEN,Denmark,Natacha Violet Saouma-Pedersen / Mathias Bruun Borreskov,DENMB19 / DENNS11,DEN 31,198,178,17,14,18,3,16,7,13,18,19,19,(20),17,8,9,-,-,-
Nacra 17 Mixed,"49er, 49erFX and Nacra 17 European Championships",DEN202207MUC,2022-07-05,2022-07-10,"Aarhus, Denmark",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207MUC,15,AUS,Australia,Jake Liddell / Lucy Copeland,AUSJL33 / AUSLC18,AUS 464,212,189,14,(23),23,13,12,18,15,17,6,8,13,19,17,14,-,-,-
Nacra 17 Mixed,"49er, 49erFX and Nacra 17 European Championships",DEN202207MUC,2022-07-05,2022-07-10,"Aarhus, Denmark",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207MUC,16,USA,United States of America,Sarah Newberry Moore / David Liebenberg,USADL74 / USASN15,USA 50,225,191,12,19,3,19,18,14,16,12,(34) UFD,14,24,13,19,8,-,-,-
Nacra 17 Mixed,"49er, 49erFX and Nacra 17 European Championships",DEN202207MUC,2022-07-05,2022-07-10,"Aarhus, Denmark",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207MUC,17,FRA,France,Billy Besson / Noa Ancian,FRANA9 / FRABB4,FRA 571,237,206,(31),18,8,7,17,20,24,26,5,10,22,7,14,28,-,-,-
Nacra 17 Mixed,"49er, 49erFX and Nacra 17 European Championships",DEN202207MUC,2022-07-05,2022-07-10,"Aarhus, Denmark",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207MUC,18,GRE,Greece,Konstantinos Trigonis / Myrto Papadopoulou,GREKT4 / GREMP29,GRE 515,274,240,18,20,15,(34) UFD,11,26,20,10,22,22,18,23,23,12,-,-,-
Nacra 17 Mixed,"49er, 49erFX and Nacra 17 European Championships",DEN202207MUC,2022-07-05,2022-07-10,"Aarhus, Denmark",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207MUC,19,AUT,Austria,Laura Farese / Matthaus Zoechling,AUTLF3 / AUTMZ5,AUT 97,278,244,16,27,25,21,19,16,7,22,(34) UFD,18,11,12,25,25,-,-,-
Nacra 17 Mixed,"49er, 49erFX and Nacra 17 European Championships",DEN202207MUC,2022-07-05,2022-07-10,"Aarhus, Denmark",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207MUC,20,AUS,Australia,Brin Liddell / Rhiannan Brown,AUSRB50 / AUSBL14,AUS 430,284,256,26,16,19,25,26,22,14,19,10,21,21,(28),16,21,-,-,-
Nacra 17 Mixed,"49er, 49erFX and Nacra 17 European Championships",DEN202207MUC,2022-07-05,2022-07-10,"Aarhus, Denmark",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207MUC,21,ITA,Italy,Margherita Porro / Stefano Dezulian,ITAMP190 / ITASD54,ITA 429,305,275,22,(30),11,26,20,21,22,24,15,26,26,20,27,15,-,-,-
Nacra 17 Mixed,"49er, 49erFX and Nacra 17 European Championships",DEN202207MUC,2022-07-05,2022-07-10,"Aarhus, Denmark",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207MUC,22,AUS,Australia,Archie Gargett / Sarah Hoffman,AUSSH56 / AUSAG43,AUS 379,309,278,20,28,(31),20,27,27,25,16,18,24,19,18,10,26,-,-,-
Nacra 17 Mixed,"49er, 49erFX and Nacra 17 European Championships",DEN202207MUC,2022-07-05,2022-07-10,"Aarhus, Denmark",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207MUC,23,FRA,France,Margaux Billy / Thibault Julien,FRAJT18 / FRAMB101,FRA 529,317,288,(29),25,28,18,21,29,23,27,23,20,14,27,20,13,-,-,-
Nacra 17 Mixed,"49er, 49erFX and Nacra 17 European Championships",DEN202207MUC,2022-07-05,2022-07-10,"Aarhus, Denmark",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207MUC,24,JPN,Japan,Shibuki Iitsuka / Capiglia Oura Nishida,JPNSI7 / JPNON1,JPN 347,325,291,23,15,22,15,25,15,18,21,(34) UFD,34 DNC,34 DNC,30,22,17,-,-,-
Nacra 17 Mixed,"49er, 49erFX and Nacra 17 European Championships",DEN202207MUC,2022-07-05,2022-07-10,"Aarhus, Denmark",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207MUC,25,FRA,France,Titouan Petard / Chloé SALOU,FRATP37 / FRACS33,FRA 358,330,296,25,22,26,23,22,19,19,29,16,15,17,29,(34) DNC,34 DNC,-,-,-
Nacra 17 Mixed,"49er, 49erFX and Nacra 17 European Championships",DEN202207MUC,2022-07-05,2022-07-10,"Aarhus, Denmark",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207MUC,26,AUS,Australia,Ruben Booth / Rita Booth Ferrando,AUSRB55 / AUSRB54,AUS 461,329,300,13,(29),29,17,29,28,27,25,27,16,23,22,21,23,-,-,-
Nacra 17 Mixed,"49er, 49erFX and Nacra 17 European Championships",DEN202207MUC,2022-07-05,2022-07-10,"Aarhus, Denmark",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207MUC,27,USA,United States of America,Carson Crain / Caroline Atwood,USACA43 / USACC106,USA 34,352,320,(32),24,21,22,23,23,26,20,28,28,25,24,29,27,-,-,-
Nacra 17 Mixed,"49er, 49erFX and Nacra 17 European Championships",DEN202207MUC,2022-07-05,2022-07-10,"Aarhus, Denmark",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207MUC,28,SGP,Singapore,Justin Liu / Denise Lim,SINJL1 / SINDL3,SGP 52,351,322,24,26,27,24,24,25,21,28,21,23,(29),26,24,29,-,-,-
Nacra 17 Mixed,"49er, 49erFX and Nacra 17 European Championships",DEN202207MUC,2022-07-05,2022-07-10,"Aarhus, Denmark",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207MUC,29,TUR,Türkiye,Alican Kaynar / Beste Kaynakci,TURAK2 / TURBK13,TUR 451,368,337,28,21,30,28,28,30,(31),23,24,25,27,21,28,24,-,-,-
