event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14 Medal
Nacra 17 Mixed,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,1,GBR,Great Britain,John Gimson / Anna Burnet,GBRAB123 / GBRJG12,GBR 21,55,41,1,13,2,1,9,8,1,(14),1,1,2,1,1,-
Nacra 17 Mixed,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,2,ITA,Italy,Ruggero Tita / Caterina Banti,ITART8 / ITACB71,ITA 26,58,49,6,(9),3,6,1,1,6,1,4,8,3,2,8,-
Nacra 17 Mixed,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,3,ITA,Italy,Gianluigi Ugolini / Maria Giubilei,ITAGU1 / ITAMG142,ITA 98,66,52,2,4,1,7,3,2,2,6,2,(14),6,4,13,-
Nacra 17 Mixed,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,4,AUT,Austria,Lukas Haberl / Tanja Frank,AUTLH5 / AUTTF2,AUT 33,109,91,4,11,10,10,7,3,(18),17,5,2,10,3,9,-
Nacra 17 Mixed,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,5,NZL,New Zealand,Micah Wilkinson / Erica Dawson,NZLMW12 / NZLED1,NZL 96,146,118,10,8,5,5,15,12,10,10,19,15,4,5,(28),-
Nacra 17 Mixed,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,6,GER,Germany,Paul Kohlhoff / Alica Stuhlemmer,GERPK15 / GERAS76,GER 77,150,122,14,2,6,3,2,18,15,3,6,11,(28),15,27,-
Nacra 17 Mixed,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,7,FIN,Finland,Sinem Kurtbay / Akseli Keskinen,FINAK14 / TURSK15,FIN 13,157,126,17,5,4,8,11,13,11,16,3,6,26,(31),6,-
Nacra 17 Mixed,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,8,FRA,France,Tim Mourniac / Aloise Retornaz,FRATM30 / FRARA10,FRA 51,172,141,21,6,11,4,6,22,(31),2,8,26,1,17,17,-
Nacra 17 Mixed,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,9,FRA,France,Billy Besson / Noa Ancian,FRANA9 / FRABB4,FRA 571,173,147,15,16,14,22,19,14,3,8,(26),3,23,6,4,-
Nacra 17 Mixed,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,10,NED,Netherlands,Laila van der Meer / Bjarne Bouwer,NEDLV30 / NEDBB21,NED 505,189,150,12,1,8,2,21,27,(39) BFD,5,12,25,13,14,10,-
