event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points
Nacra 17 Mixed,Nacra 17 European Championships,POR202311MM6,2024-11-05,2024-11-10,"Palermo, Italy",https://sailing.org/regatta/nacra-17-european-championships?ref=POR202311MM6,1,NED,Netherlands,Willemijn Offerman / Scipio Houtman,NEDSH8 / NEDWO1,,,
Nacra 17 Mixed,Nacra 17 European Championships,POR202311MM6,2024-11-05,2024-11-10,"Palermo, Italy",https://sailing.org/regatta/nacra-17-european-championships?ref=POR202311MM6,2,ITA,Italy,Gianluigi Ugolini / Maria Giubilei,ITAGU1 / ITAMG142,,,
Nacra 17 Mixed,Nacra 17 European Championships,POR202311MM6,2024-11-05,2024-11-10,"Palermo, Italy",https://sailing.org/regatta/nacra-17-european-championships?ref=POR202311MM6,3,BEL,Belgium,Kwinten Borghijs / Lieselotte Borghijs,BELLB10 / BELKB1,,,
Nacra 17 Mixed,Nacra 17 European Championships,POR202311MM6,2024-11-05,2024-11-10,"Palermo, Italy",https://sailing.org/regatta/nacra-17-european-championships?ref=POR202311MM6,4,AUT,Austria,Laura Farese / Matthaus Zoechling,AUTLF3 / AUTMZ5,,,
Nacra 17 Mixed,Nacra 17 European Championships,POR202311MM6,2024-11-05,2024-11-10,"Palermo, Italy",https://sailing.org/regatta/nacra-17-european-championships?ref=POR202311MM6,5,AUS,Australia,Ruben Booth / Rita Booth Ferrando,AUSRB54 / AUSRB55,,,
Nacra 17 Mixed,Nacra 17 European Championships,POR202311MM6,2024-11-05,2024-11-10,"Palermo, Italy",https://sailing.org/regatta/nacra-17-european-championships?ref=POR202311MM6,6,BEL,Belgium,Lucas Claeyssens / Eline Verstraelen,BELLC2 / BELEV11,,,
Nacra 17 Mixed,Nacra 17 European Championships,POR202311MM6,2024-11-05,2024-11-10,"Palermo, Italy",https://sailing.org/regatta/nacra-17-european-championships?ref=POR202311MM6,7,FRA,France,Margaux Billy / Noah Chauvin,FRAMB101 / FRANC26,,,
Nacra 17 Mixed,Nacra 17 European Championships,POR202311MM6,2024-11-05,2024-11-10,"Palermo, Italy",https://sailing.org/regatta/nacra-17-european-championships?ref=POR202311MM6,8,AUS,Australia,Brin Liddell / Rhiannan Brown,AUSBL14 / AUSRB50,,,
Nacra 17 Mixed,Nacra 17 European Championships,POR202311MM6,2024-11-05,2024-11-10,"Palermo, Italy",https://sailing.org/regatta/nacra-17-european-championships?ref=POR202311MM6,9,SUI,Switzerland,Marie Mazuay / Clément Guignard,SUIMM26 / SUICG9,,,
Nacra 17 Mixed,Nacra 17 European Championships,POR202311MM6,2024-11-05,2024-11-10,"Palermo, Italy",https://sailing.org/regatta/nacra-17-european-championships?ref=POR202311MM6,10,FRA,France,THOMAS PROUST / Eloïse Clabon,FRAEC47 / FRATP39,,,
Nacra 17 Mixed,Nacra 17 European Championships,POR202311MM6,2024-11-05,2024-11-10,"Palermo, Italy",https://sailing.org/regatta/nacra-17-european-championships?ref=POR202311MM6,11,CAN,Canada,Galen Richardson / Madeline Gillis,CANMG39 / CANGR4,,,
Nacra 17 Mixed,Nacra 17 European Championships,POR202311MM6,2024-11-05,2024-11-10,"Palermo, Italy",https://sailing.org/regatta/nacra-17-european-championships?ref=POR202311MM6,12,ESP,Spain,Daniel De la Casa / Nora Garcia,ESPNG6 / ESPDD14,,,
Nacra 17 Mixed,Nacra 17 European Championships,POR202311MM6,2024-11-05,2024-11-10,"Palermo, Italy",https://sailing.org/regatta/nacra-17-european-championships?ref=POR202311MM6,13,GRE,Greece,Iordanis Paschalidis / Maria Tsaousidou,GREMT4 / GREIP4,,,
Nacra 17 Mixed,Nacra 17 European Championships,POR202311MM6,2024-11-05,2024-11-10,"Palermo, Italy",https://sailing.org/regatta/nacra-17-european-championships?ref=POR202311MM6,14,FIN,Finland,Akseli Keskinen / Katariina Roihu,FINKR10 / FINAK14,,,
Nacra 17 Mixed,Nacra 17 European Championships,POR202311MM6,2024-11-05,2024-11-10,"Palermo, Italy",https://sailing.org/regatta/nacra-17-european-championships?ref=POR202311MM6,15,USA,United States of America,Nicolas Martin / Carolina Zager,USANM49 / USACZ19,,,
Nacra 17 Mixed,Nacra 17 European Championships,POR202311MM6,2024-11-05,2024-11-10,"Palermo, Italy",https://sailing.org/regatta/nacra-17-european-championships?ref=POR202311MM6,16,CAN,Canada,Caspar Lenz Anderson / Coralie Vittecoq,CANCL37 / CANCV7,,,
Nacra 17 Mixed,Nacra 17 European Championships,POR202311MM6,2024-11-05,2024-11-10,"Palermo, Italy",https://sailing.org/regatta/nacra-17-european-championships?ref=POR202311MM6,17,SUI,Switzerland,Andrea Aschieri / Tine  Rossel,SUIAA8 / SUITR9,,,
Nacra 17 Mixed,Nacra 17 European Championships,POR202311MM6,2024-11-05,2024-11-10,"Palermo, Italy",https://sailing.org/regatta/nacra-17-european-championships?ref=POR202311MM6,18,POL,Poland,Aleksander Michalski / Karolina Żurek,POLAM6 / POLKZ14,,,
