event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,MR Medal
Nacra 17 Mixed,"Nacra 17, 49er and 49erFX European Championships",FRA202405EHS,2025-06-03,2025-06-08,"Thessaloniki, Greece",https://sailing.org/regatta/nacra-17-49er-and-49erfx-european-championships?ref=FRA202405EHS,1,GBR,Great Britain,John Gimson / Anna Burnet,GBRAB123 / GBRJG12,GBR 21,37,31,3,(6),2,1,2,1,2,1,1,1,4,3,5
Nacra 17 Mixed,"Nacra 17, 49er and 49erFX European Championships",FRA202405EHS,2025-06-03,2025-06-08,"Thessaloniki, Greece",https://sailing.org/regatta/nacra-17-49er-and-49erfx-european-championships?ref=FRA202405EHS,2,ITA,Italy,Gianluigi Ugolini / Maria Giubilei,ITAGU1 / ITAMG142,ITA 98,80,67,1,1,8,9,9,(13),6,7,6,2,1,1,8
Nacra 17 Mixed,"Nacra 17, 49er and 49erFX European Championships",FRA202405EHS,2025-06-03,2025-06-08,"Thessaloniki, Greece",https://sailing.org/regatta/nacra-17-49er-and-49erfx-european-championships?ref=FRA202405EHS,3,FRA,France,Tim Mourniac / Aloise Retornaz,FRATM30 / FRARA10,FRA 51,93,79,8,(14),9,3,13,8,3,2,3,4,12,12,1
Nacra 17 Mixed,"Nacra 17, 49er and 49erFX European Championships",FRA202405EHS,2025-06-03,2025-06-08,"Thessaloniki, Greece",https://sailing.org/regatta/nacra-17-49er-and-49erfx-european-championships?ref=FRA202405EHS,4,ARG,Argentina,Mateo Majdalani / Eugenia Bosco,ARGMM7 / ARGEB11,ARG 29,93,79,9,10,6,(14),4,2,4,8,2,3,3,8,10
Nacra 17 Mixed,"Nacra 17, 49er and 49erFX European Championships",FRA202405EHS,2025-06-03,2025-06-08,"Thessaloniki, Greece",https://sailing.org/regatta/nacra-17-49er-and-49erfx-european-championships?ref=FRA202405EHS,5,NED,Netherlands,Willemijn Offerman / Scipio Houtman,NEDSH8 / NEDWO1,NED 22,116,97,7,18,10,(19),1,5,7,9,7,6,5,16,3
Nacra 17 Mixed,"Nacra 17, 49er and 49erFX European Championships",FRA202405EHS,2025-06-03,2025-06-08,"Thessaloniki, Greece",https://sailing.org/regatta/nacra-17-49er-and-49erfx-european-championships?ref=FRA202405EHS,6,AUT,Austria,Laura Farese / Matthaus Zoechling,AUTMZ5 / AUTLF3,AUT 97,139,114,5,4,(25) STP,13 STP,3,6,14,3,10,5,22,21,4
Nacra 17 Mixed,"Nacra 17, 49er and 49erFX European Championships",FRA202405EHS,2025-06-03,2025-06-08,"Thessaloniki, Greece",https://sailing.org/regatta/nacra-17-49er-and-49erfx-european-championships?ref=FRA202405EHS,7,CHN,"China, PR",Huicong Mai / Linlin Chen,CHNHM2 / CHNCL10,CHN 661,140,120,13,12,1,12,8,3,13,6,19,19,(20),10,2
Nacra 17 Mixed,"Nacra 17, 49er and 49erFX European Championships",FRA202405EHS,2025-06-03,2025-06-08,"Thessaloniki, Greece",https://sailing.org/regatta/nacra-17-49er-and-49erfx-european-championships?ref=FRA202405EHS,8,AUS,Australia,Brin Liddell / Rhiannan Brown,AUSBL14 / AUSRB50,AUS 5,138,122,10,8,12,(16),5,11,9,14,8,16,9,2,9
Nacra 17 Mixed,"Nacra 17, 49er and 49erFX European Championships",FRA202405EHS,2025-06-03,2025-06-08,"Thessaloniki, Greece",https://sailing.org/regatta/nacra-17-49er-and-49erfx-european-championships?ref=FRA202405EHS,9,ITA,Italy,Federico Figlia di Granara / Caterina Sedmak,ITACS70 / ITAFF128,ITA 46,148,127,20,15,4,17,7,7,1,17,18,(21),2,7,6
Nacra 17 Mixed,"Nacra 17, 49er and 49erFX European Championships",FRA202405EHS,2025-06-03,2025-06-08,"Thessaloniki, Greece",https://sailing.org/regatta/nacra-17-49er-and-49erfx-european-championships?ref=FRA202405EHS,10,CHN,"China, PR",Changhang Fan / Huamei Xu,CHNCF1 / CHNHX6,CHN 611,146,127,4,16,(19),7,6,14,5,5,14,8,15,19,7
Nacra 17 Mixed,"Nacra 17, 49er and 49erFX European Championships",FRA202405EHS,2025-06-03,2025-06-08,"Thessaloniki, Greece",https://sailing.org/regatta/nacra-17-49er-and-49erfx-european-championships?ref=FRA202405EHS,11,TUR,Türkiye,Sinem Kurtbay / Alican Kaynar,TURAK2 / TURSK15,TUR 07,139,120,(19),11,18,10,14,15,12,4,5,11,6,14,-
Nacra 17 Mixed,"Nacra 17, 49er and 49erFX European Championships",FRA202405EHS,2025-06-03,2025-06-08,"Thessaloniki, Greece",https://sailing.org/regatta/nacra-17-49er-and-49erfx-european-championships?ref=FRA202405EHS,12,GRE,Greece,Konstantinos Trigonis / Maria Tsaousidou,GREMT4 / GREKT4,GRE 515,168,143,22,13,7,13,12,4,10,21,21,13,7,(25),-
Nacra 17 Mixed,"Nacra 17, 49er and 49erFX European Championships",FRA202405EHS,2025-06-03,2025-06-08,"Thessaloniki, Greece",https://sailing.org/regatta/nacra-17-49er-and-49erfx-european-championships?ref=FRA202405EHS,13,AUS,Australia,Ruben Booth / Rita Booth Ferrando,AUSRB55 / AUSRB54,AUS 30,163,145,6,17,15,4,15,17,17,13,11,(18),17,13,-
