event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,C/F Gold
Nacra 17 Mixed,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,1,SWE,Sweden,Emil Jarudd / Hanna Jonsson,SWEHJ11 / SWEEJ5,SWE 14,62,62,4,5,2,8,3,3,5,4,6,4,2,11,2,3,(13),62
Nacra 17 Mixed,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,2,GBR,Great Britain,John Gimson / Anna Burnet,GBRAB123 / GBRJG12,GBR 21,66,66,5,6,9,3,4,7,1,1,8,5,(19),1,3,12,1,66
Nacra 17 Mixed,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,3,NED,Netherlands,Willemijn Offerman / Scipio Houtman,NEDSH8 / NEDWO1,NED 22,68,68,2,1,1,1,2,4,2,3,7,14,1,(19),11,9,10,68
Nacra 17 Mixed,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,4,AUS,Australia,Brin Liddell / Rhiannan Brown,AUSRB50 / AUSBL14,AUS 5,77,77,1,10,3,2,1,9,12,5,1,13,10,4,9,(18),12,77
Nacra 17 Mixed,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,5,NZL,New Zealand,Micah Wilkinson / Kate Stewart,NZLKS3 / NZLMW12,NZL 96,86,86,8,20,6,(36) DNF,9,12,9,8,13,6,4,2,1,6,9,86
Nacra 17 Mixed,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,6,ITA,Italy,Federico Figlia di Granara / Caterina Sedmak,ITACS70 / ITAFF128,ITA 46,86,86,16,9,8,4,11,10,3,6,2,2,16,6,4,16,(36) DSQ,86
Nacra 17 Mixed,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,7,FRA,France,Tim Mourniac / Aloise Retornaz,FRATM30 / FRARA10,FRA 51,89,89,7,2,5,6,10,2,6,2,17,7,(27),5,10,15,22,89
Nacra 17 Mixed,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,8,AUS,Australia,Archie Gargett / Sarah Hoffman,AUSSH56 / AUSAG43,AUS 77,98,98,3,3,7,5,5,5,7,28,11,19,8,17,(34),7,24,98
Nacra 17 Mixed,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,9,TUR,Türkiye,Sinem Kurtbay / Alican Kaynar,TURAK2 / TURSK15,TUR 7,99,99,11,11,4,7,6,1,4,15,3,(32),30,8,5,26,19,99
Nacra 17 Mixed,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,10,BEL,Belgium,Lucas Claeyssens / Eline Verstraelen,BELLC2 / BELEV11,BEL 99,100,100,12,7,13,10,8,11,14,16,9,17,7,16,7,(20),4,100
Nacra 17 Mixed,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,11,AUT,Austria,Laura Farese / Matthaus Zoechling,AUTLF3 / AUTMZ5,AUT 97,178,155,15,14,15,12,13,8,8,13,14,(23),6,12,20,2,3,-
Nacra 17 Mixed,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,12,FRA,France,Clement Martineau / Eloïse Clabon,FRAEC47 / FRACM50,FRA 44,222,197,(25),19,12,19,15,13,13,10,12,15,25,9,12,21,2,-
Nacra 17 Mixed,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,13,FIN,Finland,Akseli Keskinen / Kristo Randmäe,ESTKR11 / FINAK14,FIN 13,236,202,6,15,32,13,17,15,10,19,23,(34),15,23,6,1,7,-
Nacra 17 Mixed,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,14,AUS,Australia,Ruben Booth / Rita Booth Ferrando,AUSRB54 / AUSRB55,AUS 30,261,228,18,16,19,17,18,18,26,22,5,1,(33),20,24,13,11,-
Nacra 17 Mixed,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,15,SUI,Switzerland,Andrea Aschieri / Tine  Rossel,SUIAA8 / SUITR9,SUI 370,259,234,19,17,14,14,16,16,20,20,22,20,17,7,(25),17,15,-
Nacra 17 Mixed,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,16,CHN,"China, PR",JINGCHENG LAN / Ting YU,CHNJL7 / CHNYY10,CHN 317,271,240,17,18,18,16,7,14,23,26,20,(31),21,10,14,28,8,-
