series_label,series_slug,event_label,regatta_name,world_sailing_id,start_date,end_date,year,venue,source_url,event_api_url,regatta_query_url,event_id,csv,raw_json,classified_crews
Kieler Woche,Kieler-Woche,49er Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,2026,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,https://datafeed.sailing.org/stats/api/event/f8516435-0301-4c3a-802a-186622734949?include=crews.country%2Ccrews.sailors.crewRole%2Craces.raceResults.crew.country%2Craces.raceResults.crew.sailors%2Craces.raceResults.crewCompetingStatus%2Craces.status,https://datafeed.sailing.org/stats/api/regatta?filter%5Bname%5D=Kieler+Woche&filterOptions%5Bname%5D=subString&include=venue.country%2Clevel%2Cseason%2Cevents%2Cevents.boatClass%2Cevents.grade&sort%5BstartDate%5D=desc&paginate=50,f8516435-0301-4c3a-802a-186622734949,Kieler-Woche__49er__2026__Kieler-Woche.csv,Kieler-Woche__49er__2026__Kieler-Woche.json,90
Kieler Woche,Kieler-Woche,Nacra 17 Mixed,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,2026,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,https://datafeed.sailing.org/stats/api/event/5b2d90b3-cdc5-43cf-bc46-c4064b0b84af?include=crews.country%2Ccrews.sailors.crewRole%2Craces.raceResults.crew.country%2Craces.raceResults.crew.sailors%2Craces.raceResults.crewCompetingStatus%2Craces.status,https://datafeed.sailing.org/stats/api/regatta?filter%5Bname%5D=Kieler+Woche&filterOptions%5Bname%5D=subString&include=venue.country%2Clevel%2Cseason%2Cevents%2Cevents.boatClass%2Cevents.grade&sort%5BstartDate%5D=desc&paginate=50,5b2d90b3-cdc5-43cf-bc46-c4064b0b84af,Kieler-Woche__Nacra-17__2026__Kieler-Woche.csv,Kieler-Woche__Nacra-17__2026__Kieler-Woche.json,21
Kieler Woche,Kieler-Woche,470 Mixed,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,2026,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,https://datafeed.sailing.org/stats/api/event/80892d5c-b9c0-4ca9-a940-99a271b8432c?include=crews.country%2Ccrews.sailors.crewRole%2Craces.raceResults.crew.country%2Craces.raceResults.crew.sailors%2Craces.raceResults.crewCompetingStatus%2Craces.status,https://datafeed.sailing.org/stats/api/regatta?filter%5Bname%5D=Kieler+Woche&filterOptions%5Bname%5D=subString&include=venue.country%2Clevel%2Cseason%2Cevents%2Cevents.boatClass%2Cevents.grade&sort%5BstartDate%5D=desc&paginate=50,80892d5c-b9c0-4ca9-a940-99a271b8432c,Kieler-Woche__470__2026__Kieler-Woche.csv,Kieler-Woche__470__2026__Kieler-Woche.json,29
Kieler Woche,Kieler-Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,2026,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,https://datafeed.sailing.org/stats/api/event/9f73918a-e9c7-4be4-8eb9-2361e451c187?include=crews.country%2Ccrews.sailors.crewRole%2Craces.raceResults.crew.country%2Craces.raceResults.crew.sailors%2Craces.raceResults.crewCompetingStatus%2Craces.status,https://datafeed.sailing.org/stats/api/regatta?filter%5Bname%5D=Kieler+Woche&filterOptions%5Bname%5D=subString&include=venue.country%2Clevel%2Cseason%2Cevents%2Cevents.boatClass%2Cevents.grade&sort%5BstartDate%5D=desc&paginate=50,9f73918a-e9c7-4be4-8eb9-2361e451c187,Kieler-Woche__ILCA-7__2026__Kieler-Woche.csv,Kieler-Woche__ILCA-7__2026__Kieler-Woche.json,119
Kieler Woche,Kieler-Woche,ILCA 6 Women,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,2026,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,https://datafeed.sailing.org/stats/api/event/afe5a4b9-72df-4631-a510-96156d7fcd3c?include=crews.country%2Ccrews.sailors.crewRole%2Craces.raceResults.crew.country%2Craces.raceResults.crew.sailors%2Craces.raceResults.crewCompetingStatus%2Craces.status,https://datafeed.sailing.org/stats/api/regatta?filter%5Bname%5D=Kieler+Woche&filterOptions%5Bname%5D=subString&include=venue.country%2Clevel%2Cseason%2Cevents%2Cevents.boatClass%2Cevents.grade&sort%5BstartDate%5D=desc&paginate=50,afe5a4b9-72df-4631-a510-96156d7fcd3c,Kieler-Woche__ILCA-6__2026__Kieler-Woche.csv,Kieler-Woche__ILCA-6__2026__Kieler-Woche.json,55
Long Beach Olympic Classes Regatta,Long-Beach-OCR,IQFOiL Men,Long Beach Olympic Classes Regatta,USA202507QP4,2026-07-13,2026-07-16,2026,"Alamitos Bay YC, Long Beach, CA, United States of America",https://sailing.org/regatta/long-beach-olympic-classes-regatta?ref=USA202507QP4,https://datafeed.sailing.org/stats/api/event/eea0e038-ce87-4b72-ad80-634fc9dd612c?include=crews.country%2Ccrews.sailors.crewRole%2Craces.raceResults.crew.country%2Craces.raceResults.crew.sailors%2Craces.raceResults.crewCompetingStatus%2Craces.status,https://datafeed.sailing.org/stats/api/regatta?filter%5Bname%5D=Long+Beach+Olympic+Classes+Regatta&filterOptions%5Bname%5D=subString&include=venue.country%2Clevel%2Cseason%2Cevents%2Cevents.boatClass%2Cevents.grade&sort%5BstartDate%5D=desc&paginate=50,eea0e038-ce87-4b72-ad80-634fc9dd612c,Long-Beach-OCR__IQFOiL-Men__2026__Long-Beach-Olympic-Classes-Regatta.csv,Long-Beach-OCR__IQFOiL-Men__2026__Long-Beach-Olympic-Classes-Regatta.json,35
Long Beach Olympic Classes Regatta,Long-Beach-OCR,IQFOiL Women,Long Beach Olympic Classes Regatta,USA202507QP4,2026-07-13,2026-07-16,2026,"Alamitos Bay YC, Long Beach, CA, United States of America",https://sailing.org/regatta/long-beach-olympic-classes-regatta?ref=USA202507QP4,https://datafeed.sailing.org/stats/api/event/138c5f60-2ea0-410c-9eaa-4e4b779f73dc?include=crews.country%2Ccrews.sailors.crewRole%2Craces.raceResults.crew.country%2Craces.raceResults.crew.sailors%2Craces.raceResults.crewCompetingStatus%2Craces.status,https://datafeed.sailing.org/stats/api/regatta?filter%5Bname%5D=Long+Beach+Olympic+Classes+Regatta&filterOptions%5Bname%5D=subString&include=venue.country%2Clevel%2Cseason%2Cevents%2Cevents.boatClass%2Cevents.grade&sort%5BstartDate%5D=desc&paginate=50,138c5f60-2ea0-410c-9eaa-4e4b779f73dc,Long-Beach-OCR__IQFOiL-Women__2026__Long-Beach-Olympic-Classes-Regatta.csv,Long-Beach-OCR__IQFOiL-Women__2026__Long-Beach-Olympic-Classes-Regatta.json,27
Long Beach Olympic Classes Regatta,Long-Beach-OCR,Formula Kite Men,Long Beach Olympic Classes Regatta,USA202507QP4,2026-07-13,2026-07-16,2026,"Alamitos Bay YC, Long Beach, CA, United States of America",https://sailing.org/regatta/long-beach-olympic-classes-regatta?ref=USA202507QP4,https://datafeed.sailing.org/stats/api/event/035cc590-7441-4cde-92c5-da1d64f0979d?include=crews.country%2Ccrews.sailors.crewRole%2Craces.raceResults.crew.country%2Craces.raceResults.crew.sailors%2Craces.raceResults.crewCompetingStatus%2Craces.status,https://datafeed.sailing.org/stats/api/regatta?filter%5Bname%5D=Long+Beach+Olympic+Classes+Regatta&filterOptions%5Bname%5D=subString&include=venue.country%2Clevel%2Cseason%2Cevents%2Cevents.boatClass%2Cevents.grade&sort%5BstartDate%5D=desc&paginate=50,035cc590-7441-4cde-92c5-da1d64f0979d,Long-Beach-OCR__Formula-Kite-Men__2026__Long-Beach-Olympic-Classes-Regatta.csv,Long-Beach-OCR__Formula-Kite-Men__2026__Long-Beach-Olympic-Classes-Regatta.json,33
Long Beach Olympic Classes Regatta,Long-Beach-OCR,Formula Kite Women,Long Beach Olympic Classes Regatta,USA202507QP4,2026-07-13,2026-07-16,2026,"Alamitos Bay YC, Long Beach, CA, United States of America",https://sailing.org/regatta/long-beach-olympic-classes-regatta?ref=USA202507QP4,https://datafeed.sailing.org/stats/api/event/ab4416cd-4a47-4b19-8b4a-52c2b5dfd1fc?include=crews.country%2Ccrews.sailors.crewRole%2Craces.raceResults.crew.country%2Craces.raceResults.crew.sailors%2Craces.raceResults.crewCompetingStatus%2Craces.status,https://datafeed.sailing.org/stats/api/regatta?filter%5Bname%5D=Long+Beach+Olympic+Classes+Regatta&filterOptions%5Bname%5D=subString&include=venue.country%2Clevel%2Cseason%2Cevents%2Cevents.boatClass%2Cevents.grade&sort%5BstartDate%5D=desc&paginate=50,ab4416cd-4a47-4b19-8b4a-52c2b5dfd1fc,Long-Beach-OCR__Formula-Kite-Women__2026__Long-Beach-Olympic-Classes-Regatta.csv,Long-Beach-OCR__Formula-Kite-Women__2026__Long-Beach-Olympic-Classes-Regatta.json,24
San Pedro Olympic Classes Regatta,San-Pedro-OCR,49er Men,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,2026,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,https://datafeed.sailing.org/stats/api/event/16996a20-490a-4eeb-b8e4-b2bd8d992dc7?include=crews.country%2Ccrews.sailors.crewRole%2Craces.raceResults.crew.country%2Craces.raceResults.crew.sailors%2Craces.raceResults.crewCompetingStatus%2Craces.status,https://datafeed.sailing.org/stats/api/regatta?filter%5Bname%5D=San+Pedro+Olympic+Classes+Regatta&filterOptions%5Bname%5D=subString&include=venue.country%2Clevel%2Cseason%2Cevents%2Cevents.boatClass%2Cevents.grade&sort%5BstartDate%5D=desc&paginate=50,16996a20-490a-4eeb-b8e4-b2bd8d992dc7,San-Pedro-OCR__49er__2026__San-Pedro-Olympic-Classes-Regatta.csv,San-Pedro-OCR__49er__2026__San-Pedro-Olympic-Classes-Regatta.json,31
