series_label,event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points,1P,2P,3P,4P,5P,6P,7P,8P,9P
Kieler Woche,470 Mixed,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,1,GER,Germany,Simon Diesch / Anna Markfort,GERSD8 / GERAM23,GER 11,40,27,2,1,3,5,1,(13),1,6,8
Kieler Woche,470 Mixed,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,2,GER,Germany,Malte Winkel / Bente Batzing,GERBB34 / GERMW22,GER 13,37,29,1,4,(8),8,4,2,5,1,4
Kieler Woche,470 Mixed,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,3,GER,Germany,Theresa Loffler / Christopher Hoerr,GERTL23 / GERCH41,GER 50,61,31,(30) UFD,6,4,1,3,6,6,2,3
Kieler Woche,470 Mixed,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,4,SWE,Sweden,Hedvig Liljegren / Hugo Liljegren,SWEHL27 / SWEHL26,SWE 4,42,34,4,2,6,2,7,(8),4,8,1
Kieler Woche,470 Mixed,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,5,GBR,Great Britain,Haydn Sewell / Daniela Fusco-House,GBRHS51 / GBRDF44,GBR 8,58,44,8,8,7,3,13,1,2,(14),2
Kieler Woche,470 Mixed,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,6,GER,Germany,Theres Dahnke / Paco Melzer,GERTD14 / GERPM24,GER 20,65,51,7,9,1,11,6,4,10,3,(14)
Kieler Woche,470 Mixed,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,7,GER,Germany,Amelie Wehrle / Riccardo Honold,GERAW43 / GERRH29,GER 49,88,58,5,5,2,16,5,10,(30) UFD,5,10
Kieler Woche,470 Mixed,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,8,FRA,France,Sarah  JANNIN / Iban CORNIC,FRASJ18 / FRAIC6,FRA 8,83,63,9,(20),5,4,8,5,13,7,12
Kieler Woche,470 Mixed,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,9,GER,Germany,Reamonn Theiner / Paula Schütze,GERPS64 / GERRT11,GER 79,96,76,11,14,12,9,2,9,12,(20),7
Kieler Woche,470 Mixed,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,10,GBR,Great Britain,Alice Davis / Oscar Cawthorne,GBRAD107 / GBROC13,GBR 42,98,80,6,11,(18),12,11,3,14,17,6
