series_label,event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points,1P ,2P ,3P ,4P ,5P ,6P ,C/F Gold,7E Gold,8E Gold,9E Gold,CF,F1 Final,F2 Final
Kieler Woche,49er Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,1,SUI,Switzerland,Joshua Richner / Nilo Scharer,SUINS10 / SUIJR14,SUI 133,17,17,2,3,4,3,(10),6,4,4,2,(15),10,3,4
Kieler Woche,49er Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,2,ISR,Israel,Illy Wureit / Yuval Barnoon,ISRIW2 / ISRYB11,ISR 125,20,20,5,4,3,9,(16),12,(11),2,4,2,8,6,6
Kieler Woche,49er Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,3,USA,United States of America,Nevin Snow / Ian Macdiarmid,USANS20 / USAIM9,USA 31,23,23,4,1,3,(9),1,1,1,1,10,(12),12,2,9
Kieler Woche,49er Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,4,NZL,New Zealand,Mattias Coutts / Oscar Gunn,NZLMC20 / NZLOG2,NZL 45,26,26,6,5,2,2,(7),1,3,(15),3,9,15,10,1
Kieler Woche,49er Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,5,FRA,France,Lucas Rual,FRALR14,FRA 95,27,27,16,(31) UFD,1,2,11,2,(10),7,5,3,15,4,8
Kieler Woche,49er Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,6,POL,Poland,Tytus Butowski / Adam Glogowski,POLAG20 / POLTB5,POL 73,27,27,14,1,4,10,5,(16),13,3,1,(17),17,5,5
Kieler Woche,49er Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,7,URU,Uruguay,Hernan Umpierre / Fernando Diz,URUFD1 / URUHU1,URU 14,29,29,2,2,(7),4,1,3,2,(10),9,10,21,1,7
Kieler Woche,49er Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,8,GER,Germany,Richard Schultheis / Fabian Graf,GERRS42 / GERFG11,GER 11,29,29,12,10,1,13,3,(15),(19),5,6,8,19,7,3
Kieler Woche,49er Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,9,AUS,Australia,Daniel Links / Keizo  Tomishima,AUSKT10 / AUSDL20,AUS 525,30,30,8,2,4,4,7,(12),6,13,(16),1,20,8,2
Kieler Woche,49er Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,10,GBR,Great Britain,James Grummett / Rhos Hawes,GBRRH84 / GBRJG101,GBR 4,38,38,6,6,(13),4,3,11,8,6,(11),5,19,9,10
Kieler Woche,49er Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,11,ITA,Italy,Lorenzo Pezzilli / Tobia Torroni,ITATT17 / ITALP103,ITA 755,41,26,1,4,5,6,(27),8,5,14,(15),7,-,-,-
Kieler Woche,49er Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,12,AUS,Australia,Kurt Hansen / Charles Zeeman,AUSZZ1 / AUSKH10,AUS 105,40,27,10,7,7,(19) STP,6,3,12,9,(13),6,-,-,-
Kieler Woche,49er Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,13,NOR,Norway,Mathias Berthet / Markus Berthet,NORMB7 / NORMB12,NOR 71,49,29,1,7,10,(18),18,2,18,(20),7,4,-,-,-
Kieler Woche,49er Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,14,IRL,Ireland,Robert Dickson / Sorcha Whyte,IRLRD19 / IRLSW19,IRL 99,47,30,1,2,(14),7,10,11,9,8,(17),13,-,-,-
Kieler Woche,49er Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,15,DEN,Denmark,Jonas Warrer,DENJW1,DEN 3,47,31,12,9,6,7,2,(29),(16),12,8,11,-,-,-
Kieler Woche,49er Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,16,USA,United States of America,Andrew Mollerus / Trevor Bornarth,USAAM84 / USATB148,USA 43,46,32,4,(15),11,8,3,4,7,11,(14),14,-,-,-
Kieler Woche,49er Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,17,AUS,Australia,Luke Rogers / Kristian Bilston,AUSKB29 / AUSLR19,AUS 550,62,43,2,1,20,11,2,(23),15,16,12,(19),-,-,-
Kieler Woche,49er Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,18,NED,Netherlands,Thomas Schouten / Mart Kegel,NEDMK32 / NEDTS19,NED 772,67,48,14,4,(22),10,4,3,14,(19),18,16,-,-,-
Kieler Woche,49er Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,19,FRA,France,Erwan Fischer / Clement Pequin,FRAEF14 / FRACP31,FRA 16,75,55,(20),8,10,6,1,14,(20),18,19,18,-,-,-
Kieler Woche,49er Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,20,FRA,France,Théo Revil / Gaultier Tallieu,FRAGT18 / FRATR32,FRA 441,75,55,3,3,6,7,17,(23),17,17,21 DNE,(20),-,-,-
Kieler Woche,49er Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,21,GER,Germany,Moritz Dorau / Riko Rockenbauch,GERMD28 / GERRR26,GER 875,6,6,7,11,9,(31) DNF,12,1,2,4,-,-,-,-,-
Kieler Woche,49er Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,22,SWE,Sweden,Marius Westerlind / Olle Aronsson,SWEMW24 / SWEOA5,SWE 44,7,7,(18),8,5,16,6,8,6,1,-,-,-,-,-
Kieler Woche,49er Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,23,HUN,Hungary,Attila Tóth / Levente Borda,HUNAT8 / HUNLB10,HUN 375,7,7,(14),3,13,6,13,6,4,3,-,-,-,-,-
Kieler Woche,49er Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,24,DEN,Denmark,Frederik Rask / Jakob Precht Jensen,DENJP11 / DENFR5,DEN 66,13,13,9,10,1,(15),8,11,1,12,-,-,-,-,-
Kieler Woche,49er Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,25,GER,Germany,Jakob Meggendorfer / Andreas Spranger,GERJM44 / GERAS58,GER 22,17,17,8,17,15,1,5,(20),9,8,-,-,-,-,-
