series_label,event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points,1P,2P,3P,4P,5P,6P,7P
Kieler Woche,ILCA 6 Women,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,1,DEN,Denmark,Helena Wolff,DENHW4,DEN 228771,45,20,1,6,9,2,1,(25),1
Kieler Woche,ILCA 6 Women,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,2,DEN,Denmark,Anna Munch,DENAM6,DEN 220066,94,38,3,3,7,6,2,17,(56) RET
Kieler Woche,ILCA 6 Women,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,3,ITA,Italy,Chiara Benini Floriani,ITACB88,ITA 211961,95,39,(56) BFD,5,15,3,4,4,8
Kieler Woche,ILCA 6 Women,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,4,POL,Poland,Hanna Rogowska,POLHR4,POL 228316,103,47,5,12,21,5,(56) RET,2,2
Kieler Woche,ILCA 6 Women,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,5,SUI,Switzerland,Rosine Baudet,SUIRB8,SUI 221952,114,58,(56) BFD,2,12,4,27,10,3
Kieler Woche,ILCA 6 Women,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,6,SLO,Slovenia,Lin Pletikos,SLOLP2,SLO 220711,131,75,(56) BFD,4,8,24,9,21,9
Kieler Woche,ILCA 6 Women,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,7,AUT,Austria,Elisa Hartenberger,AUTEH6,AUT 224876,132,76,(56) BFD,16,5,26,13,3,13
Kieler Woche,ILCA 6 Women,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,8,ITA,Italy,Matilda Talluri,ITAMT51,ITA 213019,139,83,(56) BFD,13,14,13,10,14,19
Kieler Woche,ILCA 6 Women,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,9,GER,Germany,Clara Bonhagen,GERCB67,GER 223433,121,84,17,20,(37),11,15,9,12
Kieler Woche,ILCA 6 Women,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,10,FRA,France,Louise Rahn,FRALR31,FRA 225394,160,104,9,23,26,14,(56) RET,1,31
