series_label,event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points,1P ,2P ,3P ,4P ,5P 
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,1,ITA,Italy,Attilio Borio,ITAAB230,ITA 213031,31,16,(15),3,1,10,2
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,2,FRA,France,Lorenzo MAYER,FRALM63,FRA 218833,31,20,4,6,2,8,(11)
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,3,DEN,Denmark,John Wolff,DENJW7,DEN 226431,58,20,5,7,3,(38),5
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,4,GER,Germany,Ole Schweckendiek,GEROS26,GER 211416,32,21,8,1,1,(11),11
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,5,GER,Germany,Philipp Buhl,GERPB8,GER 191131,34,25,8,(9),6,7,4
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,6,IND,India,Vishnu Saravanan,INDVS4,IND 191191,57,28,3,9,2,(29),14
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,7,USA,United States of America,Daniel Escudero,GERDE12,USA 221611,92,32,7,8,7,(60) DNC,10
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,8,DEN,Denmark,Marius Hedegaard,DENMH42,DEN 225110,50,33,3,(17),12,17,1
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,9,GER,Germany,Philip Walkenbach,GERPW19,GER 191899,60,34,1,20,8,5,(26)
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,10,ITA,Italy,Kenje Werpers,ITAKW1,ITA 224710,53,34,18,10,(19),1,5
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,11,NOR,Norway,Christoffer Sørlie,NORCS8,NOR 223393,57,35,11,6,5,(22),13
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,12,GER,Germany,Nik Aaron Willim,GERNW5,GER 211241,56,37,6,12,4,(19),15
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,13,ITA,Italy,Cesare Barabino,ITACB84,ITA 221701,63,37,9,5,(26),9,14
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,14,ARG,Argentina,Francisco Guaragna Rigonat,ARGFG13,ARG 222111,70,39,10,2,14,(31),13
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,15,UKR,Ukraine,Oskar Madonich,UKROM11,UKR 222721,61,39,7,16,13,3,(22) STP
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,16,POL,Poland,Tadeusz Kubiak,POLTK5,POL 228441,61,39,(22),5,6,10,18
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,17,FRA,France,Theo Peyre,FRATP34,FRA 218241,66,39,9,8,10,(27),12
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,18,ITA,Italy,Paolo Freddi,ITAPF49,ITA 197471,63,40,19,(23),8,12,1
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,19,FRA,France,Alexandre Kowalski,FRAAK11,FRA 222930,74,42,5 STP,2,15,20,(32)
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,20,GBR,Great Britain,James Foster,GBRJF96,GBR 212907,76,45,(31),7,16,14,8
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,21,ITA,Italy,Matteo Bertacchi,ITAMB255,ITA 216995,73,46,23 STP,13,4,(27),6
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,22,UKR,Ukraine,Andriy Verdysh,UKRAV3,UKR 217723,85,48,5,(37),19,4,20
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,23,HKG,"Hong Kong, China",Nicholas Halliday,HKGNH5,HKG 171979,112,51,13,14,18,6,(61) RET
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,24,ESP,Spain,Marc O'Connor,ESPMO16,ESP 210172,112,52,18,(60) BFD,9,1,24
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,25,NOR,Norway,Theodor Middelthon,NORTM11,NOR 224254,81,52,22,(29),20,3,7
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,26,ITA,Italy,ALESSANDRO CIRINEI,ITAAC349,ITA 226312,81,52,(29),15,14,15,8
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,27,POL,Poland,Jan Rohde,POLJR21,POL 221482,89,56,13,19,(33),21,3
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,28,DEN,Denmark,Mark Hestbæk,DENMH41,DEN 212566,118,57,(61) UFD,1,3,26,27
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,29,SWE,Sweden,Erik Norlén,SWEEN8,SWE 221474,91,57,17,11,(34),9,20
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,30,FRA,France,Ethan Chauvry,FRAEC48,FRA 222594,100,59,14,12,(41),12,21
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,31,ITA,Italy,Dimitri Peroni,ITADP40,ITA 221118,120,60,2,(60) BFD,12,33,13 STP
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,32,ISR,Israel,Rem Pulci magen,ISRRP3,ISR 220251,122,61,2,31,25,(61) RET,3
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,33,ITA,Italy,Antonio Barabino,ITAAB267,ITA 211712,92,61,30,4,(31),2,25
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,34,GBR,Great Britain,Arthur Farley,GBRAF70,GBR 223073,89,63,16,(26),7,16,24 STP
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,35,DEN,Denmark,Mads Larsen,DENML33,DEN 227215,125,65,1,19,5,(60) DNC,40
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,36,DEN,Denmark,Carl Brinck,DENCB20,DEN 227845,112,65,26,14,(47),18,7
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,37,ITA,Italy,PIETRO GIACOMONI,ITAPG38,ITA 218461,92,66,19,(26),24,2,21
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,38,MON,Monaco,Jeremy Moutout,MONJM1,MON 227755,107,68,12,17,10,29,(39)
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,39,BRA,Brazil,Frederico Siebert Francavilla,BRAFS45,BRA 219912,112,71,6,(41),11,35,19
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,40,SWE,Sweden,Wilhelm Kark,SWEWK1,SWE 211567,106,76,24,11,11,(30),30
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,41,FRA,France,Raphaël OLSTHOORN,FRARO10,FRA 218837,111,77,29,4,21,23,(34)
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,42,UKR,Ukraine,Nazar Artiukh,UKRNA3,UKR 217519,126,77,21,(49),9,7,40
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,43,FIN,Finland,Nooa Henrik Laukkanen,FINNL2,FIN 227852,116,78,11,21,32,14,(38)
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,44,CYP,Cyprus,Emilios Max BOEROS,CYPEB1,CYP 217660,139,79,10,(60) BFD,35,6 STP,28
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,45,ITA,Italy,Mattia Santostefano,ITAMS170,ITA 204251,124,79,35,18,17,(45),9
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,46,GBR,Great Britain,Ralph musto,GBRRM159,GBR 219833,115,81,33,(34),15,4,29
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,47,GER,Germany,Max Stiff,GERMS157,GER 217200,137,82,12,13,35,(55),22
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,48,POL,Poland,Filip Olszewski,POLFO3,POL 226455,142,82,(60) BFD,28,21,15,18
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,49,POL,Poland,Filip Ciszkiewicz,POLFC1,POL 210788,118,84,(34),24,30,21,9
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,50,GER,Germany,Franz Lasch,GERFL22,GER 223435,112,84,21,22,(28),24,17
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,51,GER,Germany,Maximilian Reger,GERMR74,GER 191711,131,86,25,(45),39,20,2
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,52,FRA,France,thomas flachon,FRATF10,FRA 211191,151,91,27,15,(60) DSQ,33,16
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,53,FIN,Finland,Aaro Rantanen,FINAR8,FIN 225057,123,92,23,30 STP,(31),29 STP,10
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,54,GBR,Great Britain,Alastair Brown,GBRAB199,GBR 223070,153,93,24,(60) BFD,25,19,25
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,55,ITA,Italy,Antonio Pascali,ITAAP210,ITA 219260,143,97,(46),27,23,31,16
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,56,GBR,Great Britain,Hugh  Andrews,GBRHA19,GBR 201872,151,100,16,40,(51),38 STP,6
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,57,DEN,Denmark,Andreas Pedersen,DENAP4,DEN 219839,143,100,23,18,16,(43),43 STP
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,58,MNE,Montenegro,Ilija Markovic,MNEIM1,MNE 224085,145,100,(45),38,17,18,27
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,59,GBR,Great Britain,Robin Phipps,GBRRP112,GBR 226480,147,100,(47),20,27,17,36
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,60,GBR,Great Britain,Samuel Grayton,GBRSG74,GBR 227539,145,101,(44),24,38,16,23
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,61,GBR,Great Britain,Kai Wolgram,GBRKW39,GBR 224700,162,102,(60) BFD,10,22,37,33
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,62,GBR,Great Britain,Archibald Munro-Price,GBRAM139,GBR 226628,154,104,17,(50),23,40,24
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,63,ITA,Italy,Leonardo Locci,ITALL63,ITA 224302,140,105,25,27,28,25,(35)
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,64,GER,Germany,Fritz Bohlke,GERFB53,GER 222984,140,106,(34),30,13,32,31
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,65,FRA,France,Nathan WEHRLE,FRANW3,FRA 228330,166,106,(60) BFD,21,24,23,38
