series_label,event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points,1P,2P,3P,4P,5P,6P,7P,8P,9P
Kieler Woche,Nacra 17 Mixed,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,1,GBR,Great Britain,John Gimson / Anna Burnet,GBRJG12 / GBRAB123,GBR 21,37,23,1,1,1,9,1,(14),1,5,4
Kieler Woche,Nacra 17 Mixed,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,2,SWE,Sweden,Emil Jarudd / Hanna Jonsson,SWEEJ5 / SWEHJ11,SWE 14,53,39,7,5,2,4,3,1,(14),7,10
Kieler Woche,Nacra 17 Mixed,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,3,AUS,Australia,Ruben Booth / Rita Booth Ferrando,AUSRB54 / AUSRB55,AUS 30,58,39,2,7,8,3,5,5,6,3,(19)
Kieler Woche,Nacra 17 Mixed,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,4,AUS,Australia,Brin Liddell / Rhiannan Brown,AUSBL14 / AUSRB50,AUS 5,55,40,10,2,6,1,11,3,(15),6,1
Kieler Woche,Nacra 17 Mixed,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,5,BEL,Belgium,Lucas Claeyssens / Eline Verstraelen,BELLC2 / BELEV11,BEL 99,75,55,9,3,9,6,2,13,3,10,(20)
Kieler Woche,Nacra 17 Mixed,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,6,AUT,Austria,Laura Farese / Matthaus Zoechling,AUTMZ5 / AUTLF3,AUT 97,76,58,12,6,3,2,9,7,4,15,(18)
Kieler Woche,Nacra 17 Mixed,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,7,AUT,Austria,Lukas Haberl / Clara-Sofia Stamminger--Almeida Machado de Moura,AUTCS25 / AUTLH5,AUT 33,84,62,(22) UFD,4,16,12,8,12,2,2,6
Kieler Woche,Nacra 17 Mixed,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,8,TUR,Türkiye,Sinem Kurtbay / Alican Kaynar,TURSK15 / TURAK2,TUR 7,92,70,(22) UFD,11,4,8,4,22 UFD,7,12,2
Kieler Woche,Nacra 17 Mixed,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,9,ESP,Spain,Daniel De la Casa / Nora de la Casa,ESPDD14 / ESPND11,ESP 591,94,72,4,(22) UFD,12,13,14,2,9,13,5
Kieler Woche,Nacra 17 Mixed,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,10,USA,United States of America,Stephan Baker / Sophia Fisher,USASB176 / USASF90,USA 23,89,72,5,8,5,10,10,(17),16,4,14
