series_label,event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points
Long Beach Olympic Classes Regatta,Formula Kite Men,Long Beach Olympic Classes Regatta,USA202507QP4,2026-07-13,2026-07-16,"Alamitos Bay YC, Long Beach, CA, United States of America",https://sailing.org/regatta/long-beach-olympic-classes-regatta?ref=USA202507QP4,1,SGP,Singapore,Maximilian Maeder,SGPMM1,,79,25
Long Beach Olympic Classes Regatta,Formula Kite Men,Long Beach Olympic Classes Regatta,USA202507QP4,2026-07-13,2026-07-16,"Alamitos Bay YC, Long Beach, CA, United States of America",https://sailing.org/regatta/long-beach-olympic-classes-regatta?ref=USA202507QP4,2,ITA,Italy,Riccardo Pianosi,ITARP80,,104,44
Long Beach Olympic Classes Regatta,Formula Kite Men,Long Beach Olympic Classes Regatta,USA202507QP4,2026-07-13,2026-07-16,"Alamitos Bay YC, Long Beach, CA, United States of America",https://sailing.org/regatta/long-beach-olympic-classes-regatta?ref=USA202507QP4,3,CHN,"China, PR",Qibin Huang,CHNQH1,,136,79
Long Beach Olympic Classes Regatta,Formula Kite Men,Long Beach Olympic Classes Regatta,USA202507QP4,2026-07-13,2026-07-16,"Alamitos Bay YC, Long Beach, CA, United States of America",https://sailing.org/regatta/long-beach-olympic-classes-regatta?ref=USA202507QP4,4,USA,United States of America,Noah Runciman,USANR23,,186,103
Long Beach Olympic Classes Regatta,Formula Kite Men,Long Beach Olympic Classes Regatta,USA202507QP4,2026-07-13,2026-07-16,"Alamitos Bay YC, Long Beach, CA, United States of America",https://sailing.org/regatta/long-beach-olympic-classes-regatta?ref=USA202507QP4,5,FRA,France,Benoit Gomez,FRABG40,,127,78
Long Beach Olympic Classes Regatta,Formula Kite Men,Long Beach Olympic Classes Regatta,USA202507QP4,2026-07-13,2026-07-16,"Alamitos Bay YC, Long Beach, CA, United States of America",https://sailing.org/regatta/long-beach-olympic-classes-regatta?ref=USA202507QP4,6,SLO,Slovenia,Toni Vodisek,SLOTV3,,130,48
Long Beach Olympic Classes Regatta,Formula Kite Men,Long Beach Olympic Classes Regatta,USA202507QP4,2026-07-13,2026-07-16,"Alamitos Bay YC, Long Beach, CA, United States of America",https://sailing.org/regatta/long-beach-olympic-classes-regatta?ref=USA202507QP4,7,CZE,Czechia,Vojta Koska,CZEVK3,,227,125
Long Beach Olympic Classes Regatta,Formula Kite Men,Long Beach Olympic Classes Regatta,USA202507QP4,2026-07-13,2026-07-16,"Alamitos Bay YC, Long Beach, CA, United States of America",https://sailing.org/regatta/long-beach-olympic-classes-regatta?ref=USA202507QP4,8,GRE,Greece,Kameron Alexandros Maramenidis,GRECM13,,166,107
Long Beach Olympic Classes Regatta,Formula Kite Men,Long Beach Olympic Classes Regatta,USA202507QP4,2026-07-13,2026-07-16,"Alamitos Bay YC, Long Beach, CA, United States of America",https://sailing.org/regatta/long-beach-olympic-classes-regatta?ref=USA202507QP4,9,SUI,Switzerland,Gian Andrea Stragiotti,SUIGS6,,148,78
Long Beach Olympic Classes Regatta,Formula Kite Men,Long Beach Olympic Classes Regatta,USA202507QP4,2026-07-13,2026-07-16,"Alamitos Bay YC, Long Beach, CA, United States of America",https://sailing.org/regatta/long-beach-olympic-classes-regatta?ref=USA202507QP4,10,AUT,Austria,Valentin Bontus,AUTVB7,,201,108
Long Beach Olympic Classes Regatta,Formula Kite Men,Long Beach Olympic Classes Regatta,USA202507QP4,2026-07-13,2026-07-16,"Alamitos Bay YC, Long Beach, CA, United States of America",https://sailing.org/regatta/long-beach-olympic-classes-regatta?ref=USA202507QP4,11,GBR,Great Britain,Sam Dickinson,GBRSD77,,215,125
Long Beach Olympic Classes Regatta,Formula Kite Men,Long Beach Olympic Classes Regatta,USA202507QP4,2026-07-13,2026-07-16,"Alamitos Bay YC, Long Beach, CA, United States of America",https://sailing.org/regatta/long-beach-olympic-classes-regatta?ref=USA202507QP4,12,CHN,"China, PR",Haoran Zhang,CHNHZ7,,205,131
Long Beach Olympic Classes Regatta,Formula Kite Men,Long Beach Olympic Classes Regatta,USA202507QP4,2026-07-13,2026-07-16,"Alamitos Bay YC, Long Beach, CA, United States of America",https://sailing.org/regatta/long-beach-olympic-classes-regatta?ref=USA202507QP4,13,CRO,Croatia,Martin Dolenc,CROMD5,,221,133
Long Beach Olympic Classes Regatta,Formula Kite Men,Long Beach Olympic Classes Regatta,USA202507QP4,2026-07-13,2026-07-16,"Alamitos Bay YC, Long Beach, CA, United States of America",https://sailing.org/regatta/long-beach-olympic-classes-regatta?ref=USA202507QP4,14,POL,Poland,Jan Marciniak,POLJM20,,254,161
Long Beach Olympic Classes Regatta,Formula Kite Men,Long Beach Olympic Classes Regatta,USA202507QP4,2026-07-13,2026-07-16,"Alamitos Bay YC, Long Beach, CA, United States of America",https://sailing.org/regatta/long-beach-olympic-classes-regatta?ref=USA202507QP4,15,NZL,New Zealand,Lukas Walton- Keim,NZLLW3,,251,164
Long Beach Olympic Classes Regatta,Formula Kite Men,Long Beach Olympic Classes Regatta,USA202507QP4,2026-07-13,2026-07-16,"Alamitos Bay YC, Long Beach, CA, United States of America",https://sailing.org/regatta/long-beach-olympic-classes-regatta?ref=USA202507QP4,16,BRA,Brazil,Lucas Pes Fonseca,BRALP27,,250,166
Long Beach Olympic Classes Regatta,Formula Kite Men,Long Beach Olympic Classes Regatta,USA202507QP4,2026-07-13,2026-07-16,"Alamitos Bay YC, Long Beach, CA, United States of America",https://sailing.org/regatta/long-beach-olympic-classes-regatta?ref=USA202507QP4,17,NED,Netherlands,Duuk van Hees,NEDDV33,,240,166
Long Beach Olympic Classes Regatta,Formula Kite Men,Long Beach Olympic Classes Regatta,USA202507QP4,2026-07-13,2026-07-16,"Alamitos Bay YC, Long Beach, CA, United States of America",https://sailing.org/regatta/long-beach-olympic-classes-regatta?ref=USA202507QP4,18,GER,Germany,Jannis Maus,GERJM49,,248,169
Long Beach Olympic Classes Regatta,Formula Kite Men,Long Beach Olympic Classes Regatta,USA202507QP4,2026-07-13,2026-07-16,"Alamitos Bay YC, Long Beach, CA, United States of America",https://sailing.org/regatta/long-beach-olympic-classes-regatta?ref=USA202507QP4,19,GER,Germany,Jan Voster,GERJV21,,304,213
Long Beach Olympic Classes Regatta,Formula Kite Men,Long Beach Olympic Classes Regatta,USA202507QP4,2026-07-13,2026-07-16,"Alamitos Bay YC, Long Beach, CA, United States of America",https://sailing.org/regatta/long-beach-olympic-classes-regatta?ref=USA202507QP4,20,SUI,Switzerland,Karl Maeder,SUIKM1,,317,215
Long Beach Olympic Classes Regatta,Formula Kite Men,Long Beach Olympic Classes Regatta,USA202507QP4,2026-07-13,2026-07-16,"Alamitos Bay YC, Long Beach, CA, United States of America",https://sailing.org/regatta/long-beach-olympic-classes-regatta?ref=USA202507QP4,21,CAN,Canada,Nathan Pearce,CANNP7,,305,227
Long Beach Olympic Classes Regatta,Formula Kite Men,Long Beach Olympic Classes Regatta,USA202507QP4,2026-07-13,2026-07-16,"Alamitos Bay YC, Long Beach, CA, United States of America",https://sailing.org/regatta/long-beach-olympic-classes-regatta?ref=USA202507QP4,22,AUS,Australia,Oscar Timm,AUSOT2,,316,248
Long Beach Olympic Classes Regatta,Formula Kite Men,Long Beach Olympic Classes Regatta,USA202507QP4,2026-07-13,2026-07-16,"Alamitos Bay YC, Long Beach, CA, United States of America",https://sailing.org/regatta/long-beach-olympic-classes-regatta?ref=USA202507QP4,23,USA,United States of America,Adam Keaton,USAAK133,,346,252
Long Beach Olympic Classes Regatta,Formula Kite Men,Long Beach Olympic Classes Regatta,USA202507QP4,2026-07-13,2026-07-16,"Alamitos Bay YC, Long Beach, CA, United States of America",https://sailing.org/regatta/long-beach-olympic-classes-regatta?ref=USA202507QP4,24,NED,Netherlands,Sam Aben,NEDSA4,,366,264
Long Beach Olympic Classes Regatta,Formula Kite Men,Long Beach Olympic Classes Regatta,USA202507QP4,2026-07-13,2026-07-16,"Alamitos Bay YC, Long Beach, CA, United States of America",https://sailing.org/regatta/long-beach-olympic-classes-regatta?ref=USA202507QP4,25,NZL,New Zealand,Toby Wigglesworth,NZLTW4,,352,268
Long Beach Olympic Classes Regatta,Formula Kite Men,Long Beach Olympic Classes Regatta,USA202507QP4,2026-07-13,2026-07-16,"Alamitos Bay YC, Long Beach, CA, United States of America",https://sailing.org/regatta/long-beach-olympic-classes-regatta?ref=USA202507QP4,26,MEX,Mexico,Alec Vazquez Guerrero,MEXAV6,,372,285
Long Beach Olympic Classes Regatta,Formula Kite Men,Long Beach Olympic Classes Regatta,USA202507QP4,2026-07-13,2026-07-16,"Alamitos Bay YC, Long Beach, CA, United States of America",https://sailing.org/regatta/long-beach-olympic-classes-regatta?ref=USA202507QP4,27,USA,United States of America,Robert Rice,USARR188,,381,297
