series_label,event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points
Long Beach Olympic Classes Regatta,Formula Kite Women,Long Beach Olympic Classes Regatta,USA202507QP4,2026-07-13,2026-07-16,"Alamitos Bay YC, Long Beach, CA, United States of America",https://sailing.org/regatta/long-beach-olympic-classes-regatta?ref=USA202507QP4,1,FRA,France,Lauriane Nolot,FRALN10,,62,40
Long Beach Olympic Classes Regatta,Formula Kite Women,Long Beach Olympic Classes Regatta,USA202507QP4,2026-07-13,2026-07-16,"Alamitos Bay YC, Long Beach, CA, United States of America",https://sailing.org/regatta/long-beach-olympic-classes-regatta?ref=USA202507QP4,2,NED,Netherlands,Jessie Kampman,NEDJK53,,61,19
Long Beach Olympic Classes Regatta,Formula Kite Women,Long Beach Olympic Classes Regatta,USA202507QP4,2026-07-13,2026-07-16,"Alamitos Bay YC, Long Beach, CA, United States of America",https://sailing.org/regatta/long-beach-olympic-classes-regatta?ref=USA202507QP4,3,SUI,Switzerland,Elena Lengwiler,SUIEB4,,70,27
Long Beach Olympic Classes Regatta,Formula Kite Women,Long Beach Olympic Classes Regatta,USA202507QP4,2026-07-13,2026-07-16,"Alamitos Bay YC, Long Beach, CA, United States of America",https://sailing.org/regatta/long-beach-olympic-classes-regatta?ref=USA202507QP4,4,CHN,"China, PR",Wan Li,CHNWL13,,84,43
Long Beach Olympic Classes Regatta,Formula Kite Women,Long Beach Olympic Classes Regatta,USA202507QP4,2026-07-13,2026-07-16,"Alamitos Bay YC, Long Beach, CA, United States of America",https://sailing.org/regatta/long-beach-olympic-classes-regatta?ref=USA202507QP4,5,CHN,"China, PR",liu chenxue,CHNLC8,,143,101
Long Beach Olympic Classes Regatta,Formula Kite Women,Long Beach Olympic Classes Regatta,USA202507QP4,2026-07-13,2026-07-16,"Alamitos Bay YC, Long Beach, CA, United States of America",https://sailing.org/regatta/long-beach-olympic-classes-regatta?ref=USA202507QP4,6,GBR,Great Britain,Lily Young,GBRLY6,,128,84
Long Beach Olympic Classes Regatta,Formula Kite Women,Long Beach Olympic Classes Regatta,USA202507QP4,2026-07-13,2026-07-16,"Alamitos Bay YC, Long Beach, CA, United States of America",https://sailing.org/regatta/long-beach-olympic-classes-regatta?ref=USA202507QP4,7,AUS,Australia,Breiana Whitehead,AUSBW24,,120,81
Long Beach Olympic Classes Regatta,Formula Kite Women,Long Beach Olympic Classes Regatta,USA202507QP4,2026-07-13,2026-07-16,"Alamitos Bay YC, Long Beach, CA, United States of America",https://sailing.org/regatta/long-beach-olympic-classes-regatta?ref=USA202507QP4,8,POL,Poland,Izabela Satrjan,POLIS5,,175,125
Long Beach Olympic Classes Regatta,Formula Kite Women,Long Beach Olympic Classes Regatta,USA202507QP4,2026-07-13,2026-07-16,"Alamitos Bay YC, Long Beach, CA, United States of America",https://sailing.org/regatta/long-beach-olympic-classes-regatta?ref=USA202507QP4,9,CHN,"China, PR",Si Wang,CHNSW9,,169,120
Long Beach Olympic Classes Regatta,Formula Kite Women,Long Beach Olympic Classes Regatta,USA202507QP4,2026-07-13,2026-07-16,"Alamitos Bay YC, Long Beach, CA, United States of America",https://sailing.org/regatta/long-beach-olympic-classes-regatta?ref=USA202507QP4,10,USA,United States of America,Daniela Moroz,USADM246,,83,56
