series_label,event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points
Long Beach Olympic Classes Regatta,IQFOiL Men,Long Beach Olympic Classes Regatta,USA202507QP4,2026-07-13,2026-07-16,"Alamitos Bay YC, Long Beach, CA, United States of America",https://sailing.org/regatta/long-beach-olympic-classes-regatta?ref=USA202507QP4,1,CHN,"China, PR",Kun Bi,CHNKB1,,113,77
Long Beach Olympic Classes Regatta,IQFOiL Men,Long Beach Olympic Classes Regatta,USA202507QP4,2026-07-13,2026-07-16,"Alamitos Bay YC, Long Beach, CA, United States of America",https://sailing.org/regatta/long-beach-olympic-classes-regatta?ref=USA202507QP4,2,AUS,Australia,Grae Morris,AUSGM33,,56,34
Long Beach Olympic Classes Regatta,IQFOiL Men,Long Beach Olympic Classes Regatta,USA202507QP4,2026-07-13,2026-07-16,"Alamitos Bay YC, Long Beach, CA, United States of America",https://sailing.org/regatta/long-beach-olympic-classes-regatta?ref=USA202507QP4,3,GBR,Great Britain,Andy Brown,GBRAB164,,167,115
Long Beach Olympic Classes Regatta,IQFOiL Men,Long Beach Olympic Classes Regatta,USA202507QP4,2026-07-13,2026-07-16,"Alamitos Bay YC, Long Beach, CA, United States of America",https://sailing.org/regatta/long-beach-olympic-classes-regatta?ref=USA202507QP4,4,USA,United States of America,Noah Lyons,USANL20,,161,88
Long Beach Olympic Classes Regatta,IQFOiL Men,Long Beach Olympic Classes Regatta,USA202507QP4,2026-07-13,2026-07-16,"Alamitos Bay YC, Long Beach, CA, United States of America",https://sailing.org/regatta/long-beach-olympic-classes-regatta?ref=USA202507QP4,5,POL,Poland,Pawel Tarnowski,POLPT4,,172,126
Long Beach Olympic Classes Regatta,IQFOiL Men,Long Beach Olympic Classes Regatta,USA202507QP4,2026-07-13,2026-07-16,"Alamitos Bay YC, Long Beach, CA, United States of America",https://sailing.org/regatta/long-beach-olympic-classes-regatta?ref=USA202507QP4,5,DEN,Denmark,Johan Soe,DENJS34,,151,85
Long Beach Olympic Classes Regatta,IQFOiL Men,Long Beach Olympic Classes Regatta,USA202507QP4,2026-07-13,2026-07-16,"Alamitos Bay YC, Long Beach, CA, United States of America",https://sailing.org/regatta/long-beach-olympic-classes-regatta?ref=USA202507QP4,7,AUS,Australia,Rory Meehan,AUSRM67,,126,92
Long Beach Olympic Classes Regatta,IQFOiL Men,Long Beach Olympic Classes Regatta,USA202507QP4,2026-07-13,2026-07-16,"Alamitos Bay YC, Long Beach, CA, United States of America",https://sailing.org/regatta/long-beach-olympic-classes-regatta?ref=USA202507QP4,8,NZL,New Zealand,Elijah Liefting,NZLEL2,,152,120
Long Beach Olympic Classes Regatta,IQFOiL Men,Long Beach Olympic Classes Regatta,USA202507QP4,2026-07-13,2026-07-16,"Alamitos Bay YC, Long Beach, CA, United States of America",https://sailing.org/regatta/long-beach-olympic-classes-regatta?ref=USA202507QP4,9,FRA,France,Nicolas Goyard,FRANG10,,179,113
Long Beach Olympic Classes Regatta,IQFOiL Men,Long Beach Olympic Classes Regatta,USA202507QP4,2026-07-13,2026-07-16,"Alamitos Bay YC, Long Beach, CA, United States of America",https://sailing.org/regatta/long-beach-olympic-classes-regatta?ref=USA202507QP4,10,FRA,France,Tom Arnoux,FRATA22,,143,107
