series_label,event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points
San Pedro Olympic Classes Regatta,470 Mixed,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,1,GBR,Great Britain,Martin Wrigley / Bettine Harris,GBRMW97 / GBRBH46,,59,39
San Pedro Olympic Classes Regatta,470 Mixed,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,2,GER,Germany,Simon Diesch / Anna Markfort,GERSD8 / GERAM23,,62,52
San Pedro Olympic Classes Regatta,470 Mixed,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,3,SWE,Sweden,Anton Dahlberg / Lovisa Karlsson,SWELK8 / SWEAD5,,63,53
San Pedro Olympic Classes Regatta,470 Mixed,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,4,FRA,France,Matisse Pacaud / Lucie de Gennes,FRALD32 / FRAMP48,,64,55
San Pedro Olympic Classes Regatta,470 Mixed,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,5,GER,Germany,Theres Dahnke / Paco Melzer,GERTD14 / GERPM24,,73,65
San Pedro Olympic Classes Regatta,470 Mixed,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,6,GER,Germany,Theresa Loffler / Christopher Hoerr,GERCH41 / GERTL23,,78,66
San Pedro Olympic Classes Regatta,470 Mixed,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,7,GBR,Great Britain,Hannah Bristow / James Taylor,GBRHB45 / GBRJT83,,77,68
San Pedro Olympic Classes Regatta,470 Mixed,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,8,USA,United States of America,Justin Callahan / Lara Dallman-Weiss,USALD21 / USAJC313,,129,74
San Pedro Olympic Classes Regatta,470 Mixed,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,9,ISR,Israel,Nitai Hasson / Noga Tiano,ISRNT4 / ISRNH3,,113,81
San Pedro Olympic Classes Regatta,470 Mixed,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,10,ESP,Spain,Jordi Xammar Hernandez / Marta Cardona Alcántara,ESPMC81 / ESPJX1,,111,81
San Pedro Olympic Classes Regatta,470 Mixed,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,11,USA,United States of America,Micky Munns / Cadance Oswald,USACO71 / USAMM350,,135,122
San Pedro Olympic Classes Regatta,470 Mixed,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,12,POR,Portugal,Diogo Costa / Carolina Joao,PORDC11 / PORCJ1,,155,135
San Pedro Olympic Classes Regatta,470 Mixed,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,13,CAN,Canada,Rory Walsh / Tara Golonka,CANRW26 / CANTG5,,156,139
San Pedro Olympic Classes Regatta,470 Mixed,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,14,USA,United States of America,Neil Marcellini / Sydney Register,USASR97 / USANM43,,161,145
San Pedro Olympic Classes Regatta,470 Mixed,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,15,USA,United States of America,Christopher Kayda / Clare Holehouse,USACH270 / USACK145,,165,147
San Pedro Olympic Classes Regatta,470 Mixed,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,16,CAN,Canada,Nicole Torrie / Dylan Scott,CANNT8 / CANDS46,,181,164
San Pedro Olympic Classes Regatta,470 Mixed,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,17,PUR,Puerto Rico,Ines  Mendez-Larminaux / Diego Sepulveda,PURIM2 / PURDS2,,199,181
San Pedro Olympic Classes Regatta,470 Mixed,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,18,CAN,Canada,James Fair / Alexandra  McDonald,CANJF28 / CANAM78,,209,189
San Pedro Olympic Classes Regatta,470 Mixed,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,19,USA,United States of America,Josh Powell / Joanna  Powell,USAJP336 / USAJP337,,240,220
