series_label,event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points
San Pedro Olympic Classes Regatta,49erFX Women,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,1,SWE,Sweden,Vilma Bobeck / Ebba Berntsson,SWEVB4 / SWEEB20,,67,55
San Pedro Olympic Classes Regatta,49erFX Women,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,2,ESP,Spain,Paula Barcelo Martin / Maria Cantero Izquierdo,ESPPB22 / ESPMC35,,83,72
San Pedro Olympic Classes Regatta,49erFX Women,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,3,GBR,Great Britain,Freya Black / Saskia Tidey,GBRFB12 / GBRST90,,90,78
San Pedro Olympic Classes Regatta,49erFX Women,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,4,NOR,Norway,Pia Dahl Andersen / Nora Edland,NORNE4 / NORPA5,,105,90
San Pedro Olympic Classes Regatta,49erFX Women,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,5,CAN,Canada,Georgia Lewin Lafrance / Antonia Lewin Lafrance,CANAL21 / CANGL13,,112,91
San Pedro Olympic Classes Regatta,49erFX Women,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,6,NED,Netherlands,Odile van Aanholt / Karlinde van Arendonk,NEDKV30 / NEDOV6,,122,95
San Pedro Olympic Classes Regatta,49erFX Women,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,7,USA,United States of America,Paris Henken / Helena Scutt,USAPH79 / USAHS38,,123,95
San Pedro Olympic Classes Regatta,49erFX Women,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,8,GER,Germany,Marla Bergmann / Hanna Wille,GERMB93 / GERHW17,,130,95
San Pedro Olympic Classes Regatta,49erFX Women,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,9,BEL,Belgium,Isaura Maenhaut / Anouk Geurts,BELIM1 / BELAG7,,131,102
San Pedro Olympic Classes Regatta,49erFX Women,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,10,AUS,Australia,Natasha Bryant / Annie Wilmot,AUSAW33 / AUSNB23,,134,105
San Pedro Olympic Classes Regatta,49erFX Women,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,11,GER,Germany,Sophie Steinlein / Catherine Bartelheimer,GERCB54 / GERSS70,,123,109
San Pedro Olympic Classes Regatta,49erFX Women,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,12,FRA,France,Manon Peyre / Amelie Riou,FRAAR8 / FRAMP58,,146,131
San Pedro Olympic Classes Regatta,49erFX Women,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,13,USA,United States of America,Madeline Hawkins / Lillian Myers,USALM84 / USAMH193,,173,158
San Pedro Olympic Classes Regatta,49erFX Women,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,14,CHN,"China, PR",Xiaoyu Hu / Yuyue Sun,CHNXH9 / CHNYS12,,191,172
San Pedro Olympic Classes Regatta,49erFX Women,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,15,AUS,Australia,Brooke Wilson / Evie Haseldine,AUSEH11 / AUSBW27,,197,180
San Pedro Olympic Classes Regatta,49erFX Women,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,16,ARG,Argentina,Julia Pantin / Anastasia  Bok,ARGAB30 / ARGJP19,,239,220
San Pedro Olympic Classes Regatta,49erFX Women,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,17,PUR,Puerto Rico,Isabella Calzadilla Allora / Mercedes Delgado,PURMD4 / PURIC1,,259,240
San Pedro Olympic Classes Regatta,49erFX Women,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,18,CAN,Canada,Georgia Phillips / Anika Lange-Sorensen,CANGP18 / CANAL56,,274,255
