series_label,event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points
San Pedro Olympic Classes Regatta,49er Men,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,1,GER,Germany,Richard Schultheis / Fabian Graf,GERFG11 / GERRS42,,96,77
San Pedro Olympic Classes Regatta,49er Men,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,2,GBR,Great Britain,James Grummett / Rhos Hawes,GBRJG101 / GBRRH84,,139,92
San Pedro Olympic Classes Regatta,49er Men,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,3,URU,Uruguay,Hernan Umpierre / Fernando Diz,URUFD1 / URUHU1,,142,99
San Pedro Olympic Classes Regatta,49er Men,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,4,FRA,France,Erwan Fischer / Clement Pequin,FRAEF14 / FRACP31,,155,108
San Pedro Olympic Classes Regatta,49er Men,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,5,USA,United States of America,Nevin Snow / Ian Macdiarmid,USAIM9 / USANS20,,153,108
San Pedro Olympic Classes Regatta,49er Men,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,6,NED,Netherlands,Bart Lambriex / Floris van de Werken,NEDFV23 / NEDBL3,,153,110
San Pedro Olympic Classes Regatta,49er Men,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,7,AUT,Austria,Keanu Prettner / Jakob Flachberger,AUTJF8 / AUTKP5,,171,112
San Pedro Olympic Classes Regatta,49er Men,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,8,GER,Germany,Jakob Meggendorfer / Andreas Spranger,GERAS58 / GERJM44,,165,112
San Pedro Olympic Classes Regatta,49er Men,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,9,NZL,New Zealand,Mattias Coutts / Oscar Gunn,NZLOG2 / NZLMC20,,163,114
San Pedro Olympic Classes Regatta,49er Men,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,10,SUI,Switzerland,Sebastien Schneiter / Arno de Planta,SUISS6 / SUIAD10,,163,115
