series_label,event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points
San Pedro Olympic Classes Regatta,ILCA 7 Men,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,1,AUS,Australia,Matt Wearn,AUSMW34,,43,43
San Pedro Olympic Classes Regatta,ILCA 7 Men,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,2,CYP,Cyprus,Pavlos Kontides,CYPPK1,,51,51
San Pedro Olympic Classes Regatta,ILCA 7 Men,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,3,GBR,Great Britain,Michael Beckett,GBRMB112,,52,52
San Pedro Olympic Classes Regatta,ILCA 7 Men,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,4,HUN,Hungary,Jonatan Vadnai,HUNJV4,,54,54
San Pedro Olympic Classes Regatta,ILCA 7 Men,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,5,ITA,Italy,Lorenzo Brando Chiavarini,ITALC153,,55,55
San Pedro Olympic Classes Regatta,ILCA 7 Men,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,6,GBR,Great Britain,Elliot Hanson,GBREH20,,58,58
San Pedro Olympic Classes Regatta,ILCA 7 Men,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,7,IRL,Ireland,Finn Lynch,IRLFL10,,63,63
San Pedro Olympic Classes Regatta,ILCA 7 Men,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,8,NED,Netherlands,Duko Bos,NEDDB9,,69,69
San Pedro Olympic Classes Regatta,ILCA 7 Men,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,9,TUR,Türkiye,Yigit Yalcin Citak,TURYC3,,76,76
San Pedro Olympic Classes Regatta,ILCA 7 Men,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,10,AUS,Australia,Ethan McAullay,AUSEM14,,77,77
San Pedro Olympic Classes Regatta,ILCA 7 Men,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,11,NZL,New Zealand,Thomas Saunders,NZLTS5,,110,78
San Pedro Olympic Classes Regatta,ILCA 7 Men,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,12,AUS,Australia,Zac Littlewood,AUSZL1,,108,80
San Pedro Olympic Classes Regatta,ILCA 7 Men,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,13,ITA,Italy,Dimitri Peroni,ITADP40,,144,98
San Pedro Olympic Classes Regatta,ILCA 7 Men,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,14,BER,Bermuda,Sebastian Kempe,BERSK6,,124,99
San Pedro Olympic Classes Regatta,ILCA 7 Men,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,15,CRO,Croatia,Filip Jurisic,CROFJ1,,132,104
San Pedro Olympic Classes Regatta,ILCA 7 Men,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,16,CHI,Chile,Clemente Seguel Lacamara,CHICS3,,129,105
San Pedro Olympic Classes Regatta,ILCA 7 Men,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,17,IRL,Ireland,Ewan McMahon,IRLEM38,,133,106
San Pedro Olympic Classes Regatta,ILCA 7 Men,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,18,KOR,Republic of Korea,Jeemin Ha,KORJH2,,149,117
San Pedro Olympic Classes Regatta,ILCA 7 Men,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,19,GBR,Great Britain,finley dickinson,GBRFD18,,166,123
San Pedro Olympic Classes Regatta,ILCA 7 Men,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,20,SWE,Sweden,Erik Norlén,SWEEN8,,158,127
San Pedro Olympic Classes Regatta,ILCA 7 Men,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,21,SUI,Switzerland,Gauthier Verhulst,SUIGV8,,177,131
San Pedro Olympic Classes Regatta,ILCA 7 Men,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,22,BEL,Belgium,William de Smet,BELWD5,,182,148
San Pedro Olympic Classes Regatta,ILCA 7 Men,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,23,USA,United States of America,Leo Boucher,USALB71,,194,155
San Pedro Olympic Classes Regatta,ILCA 7 Men,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,24,AUS,Australia,Michael Compton,AUSMC55,,194,156
San Pedro Olympic Classes Regatta,ILCA 7 Men,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,25,AUS,Australia,Isaac Schotte,AUSIS9,,201,164
San Pedro Olympic Classes Regatta,ILCA 7 Men,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,26,NED,Netherlands,Willem Wiersema,NEDWW5,,205,168
San Pedro Olympic Classes Regatta,ILCA 7 Men,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,27,NZL,New Zealand,Caleb Armit,NZLCA4,,216,172
San Pedro Olympic Classes Regatta,ILCA 7 Men,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,28,USA,United States of America,Chapman Petersen,USACP127,,221,181
San Pedro Olympic Classes Regatta,ILCA 7 Men,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,29,USA,United States of America,Daniel Escudero,GERDE12,,227,181
San Pedro Olympic Classes Regatta,ILCA 7 Men,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,30,ARG,Argentina,Francisco Guaragna Rigonat,ARGFG13,,228,182
San Pedro Olympic Classes Regatta,ILCA 7 Men,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,31,CAN,Canada,Liam Bruce,CANLB20,,217,183
San Pedro Olympic Classes Regatta,ILCA 7 Men,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,32,AUS,Australia,Lawson McAullay,AUSLM18,,226,189
San Pedro Olympic Classes Regatta,ILCA 7 Men,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,33,CAN,Canada,Ryan Anderson,CANRA6,,230,191
San Pedro Olympic Classes Regatta,ILCA 7 Men,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,34,JPN,Japan,Haruto Kuroda,JPNHK27,,237,201
San Pedro Olympic Classes Regatta,ILCA 7 Men,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,35,NZL,New Zealand,George Pilkington,NZLGP6,,243,201
San Pedro Olympic Classes Regatta,ILCA 7 Men,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,36,BER,Bermuda,Campbell Patton,BERCP4,,254,211
San Pedro Olympic Classes Regatta,ILCA 7 Men,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,37,SWE,Sweden,Rasmus Granzin,SWERG5,,254,213
San Pedro Olympic Classes Regatta,ILCA 7 Men,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,38,USA,United States of America,Charles Barclay,USACB281,,258,216
San Pedro Olympic Classes Regatta,ILCA 7 Men,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,39,PER,Peru,Renzo Sanguineti,PERRS3,,284,241
San Pedro Olympic Classes Regatta,ILCA 7 Men,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,40,USA,United States of America,Robert Meek IV,USARM234,,299,256
San Pedro Olympic Classes Regatta,ILCA 7 Men,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,41,USA,United States of America,Jake Homberger,USAJH396,,317,271
San Pedro Olympic Classes Regatta,ILCA 7 Men,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,42,ARG,Argentina,Joaquin Galvan,ARGJG19,,322,278
San Pedro Olympic Classes Regatta,ILCA 7 Men,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,43,USA,United States of America,Thomas Kraak,USATK79,,329,284
