series_label,event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points
San Pedro Olympic Classes Regatta,Nacra 17 Mixed,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,1,SWE,Sweden,Emil Jarudd / Hanna Jonsson,SWEEJ5 / SWEHJ11,,70,59
San Pedro Olympic Classes Regatta,Nacra 17 Mixed,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,2,GBR,Great Britain,John Gimson / Anna Burnet,GBRJG12 / GBRAB123,,82,60
San Pedro Olympic Classes Regatta,Nacra 17 Mixed,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,3,NED,Netherlands,Willemijn Offerman / Scipio Houtman,NEDSH8 / NEDWO1,,78,69
San Pedro Olympic Classes Regatta,Nacra 17 Mixed,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,4,FRA,France,Tim Mourniac / Aloise Retornaz,FRATM30 / FRARA10,,85,70
San Pedro Olympic Classes Regatta,Nacra 17 Mixed,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,5,AUS,Australia,Brin Liddell / Rhiannan Brown,AUSRB50 / AUSBL14,,95,73
San Pedro Olympic Classes Regatta,Nacra 17 Mixed,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,6,FIN,Finland,Akseli Keskinen / Katariina Roihu,FINKR10 / FINAK14,,170,87
San Pedro Olympic Classes Regatta,Nacra 17 Mixed,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,7,ARG,Argentina,Mateo Majdalani / Eugenia Bosco,ARGEB11 / ARGMM7,,110,90
San Pedro Olympic Classes Regatta,Nacra 17 Mixed,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,8,AUT,Austria,Laura Farese / Matthaus Zoechling,AUTLF3 / AUTMZ5,,169,94
San Pedro Olympic Classes Regatta,Nacra 17 Mixed,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,9,AUS,Australia,Archie Gargett / Sarah Hoffman,AUSAG43 / AUSSH56,,164,95
San Pedro Olympic Classes Regatta,Nacra 17 Mixed,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,10,TUR,Türkiye,Sinem Kurtbay / Alican Kaynar,TURAK2 / TURSK15,,137,95
San Pedro Olympic Classes Regatta,Nacra 17 Mixed,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,11,NZL,New Zealand,Micah Wilkinson / Kate Stewart,NZLKS3 / NZLMW12,,165,143
