event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points,1F,2F,3F,4F,5F,6F,CF,F1,F2,CF FS
470 Mixed,470 World Championships,POL2025062WK,2026-08-10,2026-08-17,"Enoshima, Japan",https://sailing.org/regatta/470-world-championships?ref=POL2025062WK,1,GBR,Great Britain,Martin Wrigley / Bettine Harris,GBRBH46 / GBRMW97,,58,43,1,1,(15),1,12,8,35,7,1,12
470 Mixed,470 World Championships,POL2025062WK,2026-08-10,2026-08-17,"Enoshima, Japan",https://sailing.org/regatta/470-world-championships?ref=POL2025062WK,2,GER,Germany,Theresa Loffler / Christopher Hoerr,GERCH41 / GERTL23,,74,57,15,12,4,9,(17),1,51,4,2,10
470 Mixed,470 World Championships,POL2025062WK,2026-08-10,2026-08-17,"Enoshima, Japan",https://sailing.org/regatta/470-world-championships?ref=POL2025062WK,3,ESP,Spain,Jordi Xammar Hernandez / Marta Cardona Alcántara,ESPMC81 / ESPJX1,,73,57,6,9,11,10,(16),6,43,5,9,1
470 Mixed,470 World Championships,POL2025062WK,2026-08-10,2026-08-17,"Enoshima, Japan",https://sailing.org/regatta/470-world-championships?ref=POL2025062WK,4,JPN,Japan,Tetsuya Isozaki / Yurie Seki,JPNTI15 / JPNYS26,,98,60,8,7,3,(38) BFD,24,2,49,1,10,5
470 Mixed,470 World Championships,POL2025062WK,2026-08-10,2026-08-17,"Enoshima, Japan",https://sailing.org/regatta/470-world-championships?ref=POL2025062WK,5,GRE,Greece,Afrodite Zegers / George Kavvas,GREAZ12 / GREGK16,,72,61,2,(11),9,4,6,11,55,3,3,23
470 Mixed,470 World Championships,POL2025062WK,2026-08-10,2026-08-17,"Enoshima, Japan",https://sailing.org/regatta/470-world-championships?ref=POL2025062WK,6,GBR,Great Britain,Hannah Bristow / James Taylor,GBRHB45 / GBRJT83,,90,73,10,(17),13,3,2,13,57,10,6,16
470 Mixed,470 World Championships,POL2025062WK,2026-08-10,2026-08-17,"Enoshima, Japan",https://sailing.org/regatta/470-world-championships?ref=POL2025062WK,7,SUI,Switzerland,Yves Mermod / Maja Siegenthaler,SUISM14 / SUIYM02,,100,76,(24),14,5,7,19,9,63,6,7,9
470 Mixed,470 World Championships,POL2025062WK,2026-08-10,2026-08-17,"Enoshima, Japan",https://sailing.org/regatta/470-world-championships?ref=POL2025062WK,8,ITA,Italy,Elena Berta / Giulio Calabro,ITAEB35 / ITAGC160,,117,77,14,16,(38) DNF,6,4,16,67,2,8,13
470 Mixed,470 World Championships,POL2025062WK,2026-08-10,2026-08-17,"Enoshima, Japan",https://sailing.org/regatta/470-world-championships?ref=POL2025062WK,9,FRA,France,LOMANE VALADE / Julien Bunel,FRALV29 / FRAJB81,,122,79,21,25,1,20,(36),3,67,8,4,4
470 Mixed,470 World Championships,POL2025062WK,2026-08-10,2026-08-17,"Enoshima, Japan",https://sailing.org/regatta/470-world-championships?ref=POL2025062WK,10,POR,Portugal,Beatriz Gago / Rodolfo Pires,PORRP9 / PORBG3,,111,81,4,2,12,21,(27),14,67,9,5,17
470 Mixed,470 World Championships,POL2025062WK,2026-08-10,2026-08-17,"Enoshima, Japan",https://sailing.org/regatta/470-world-championships?ref=POL2025062WK,11,POR,Portugal,Diogo Costa / Carolina Joao,PORDC11 / PORCJ1,,108,76,3,8,2,22,22,(32),-,-,-,19
470 Mixed,470 World Championships,POL2025062WK,2026-08-10,2026-08-17,"Enoshima, Japan",https://sailing.org/regatta/470-world-championships?ref=POL2025062WK,12,SWE,Sweden,Anton Dahlberg / Lovisa Karlsson,SWEAD5 / SWELK8,,96,80,13,3,7,(16),5,15,-,-,-,37
470 Mixed,470 World Championships,POL2025062WK,2026-08-10,2026-08-17,"Enoshima, Japan",https://sailing.org/regatta/470-world-championships?ref=POL2025062WK,13,FRA,France,Matisse Pacaud / Lucie de Gennes,FRAMP48 / FRALD32,,122,84,17,10,(38) DNF,13,31,5,-,-,-,8
470 Mixed,470 World Championships,POL2025062WK,2026-08-10,2026-08-17,"Enoshima, Japan",https://sailing.org/regatta/470-world-championships?ref=POL2025062WK,14,ISR,Israel,Roi Levy / Ariel Gal,ISRRL4 / ISRAG8,,129,91,22,6,(38) DNF,34,1,21,-,-,-,7
470 Mixed,470 World Championships,POL2025062WK,2026-08-10,2026-08-17,"Enoshima, Japan",https://sailing.org/regatta/470-world-championships?ref=POL2025062WK,15,CHN,"China, PR",Wenju Dong / 海伦 肖,CHNWD5 / CHN海肖1,,117,94,11,20,6,(23),10,12,-,-,-,35
470 Mixed,470 World Championships,POL2025062WK,2026-08-10,2026-08-17,"Enoshima, Japan",https://sailing.org/regatta/470-world-championships?ref=POL2025062WK,16,ISR,Israel,Nitai Hasson / Noga Tiano,ISRNH3 / ISRNT4,,135,97,34,5,14,(38) BFD,9,20,-,-,-,15
470 Mixed,470 World Championships,POL2025062WK,2026-08-10,2026-08-17,"Enoshima, Japan",https://sailing.org/regatta/470-world-championships?ref=POL2025062WK,17,GER,Germany,Malte Winkel / Bente Batzing,GERMW22 / GERBB34,,137,99,27,13,(38) DNF,26,14,17,-,-,-,2
470 Mixed,470 World Championships,POL2025062WK,2026-08-10,2026-08-17,"Enoshima, Japan",https://sailing.org/regatta/470-world-championships?ref=POL2025062WK,18,FRA,France,Manon Pennaneac'H / Pierre Williot,FRAMP82 / FRAPW7,,140,102,7,(38) BFD,38 DNF,12,15,27,-,-,-,3
