group,level_label,class_label,event_label,regatta_name,world_sailing_id,start_date,end_date,year,venue,source_url,event_api_url,regatta_query_url,event_id,csv,raw_json,classified_crews
youth,Continental,IQFOiL,IQFOiL Men,iQFOiL North American Championship,USA202607WN0,2026-07-25,2026-07-27,2026,"Alamitos Bay Yacht Club, United States of America",https://sailing.org/regatta/iqfoil-north-american-championship?ref=USA202607WN0,https://datafeed.sailing.org/stats/api/event/6506fe05-99e7-4d5d-969b-4deff104a629?include=crews.country%2Ccrews.sailors.crewRole%2Craces.raceResults.crew.country%2Craces.raceResults.crew.sailors%2Craces.raceResults.crewCompetingStatus%2Craces.status,https://datafeed.sailing.org/stats/api/regatta?filter%5Blevel.id%5D=b5bca920-933a-4845-9063-5e9f0952020e&filter%5Bevents.boatClass.id%5D=97f58788-3109-408a-a3c3-9addf8a145a1&include=venue.country%2Clevel%2Cseason%2Cevents%2Cevents.boatClass%2Cevents.grade&sort%5BstartDate%5D=desc&paginate=50,6506fe05-99e7-4d5d-969b-4deff104a629,IQFOiL__Continental__2026__IQFOiL-Men__iQFOiL-North-American-Championship__6506fe05.csv,IQFOiL__Continental__2026__IQFOiL-Men__iQFOiL-North-American-Championship__6506fe05.json,13
youth,Continental,IQFOiL,IQFOiL Women,iQFOiL North American Championship,USA202607WN0,2026-07-25,2026-07-27,2026,"Alamitos Bay Yacht Club, United States of America",https://sailing.org/regatta/iqfoil-north-american-championship?ref=USA202607WN0,https://datafeed.sailing.org/stats/api/event/dc238c18-788a-4a8d-b989-944b04874742?include=crews.country%2Ccrews.sailors.crewRole%2Craces.raceResults.crew.country%2Craces.raceResults.crew.sailors%2Craces.raceResults.crewCompetingStatus%2Craces.status,https://datafeed.sailing.org/stats/api/regatta?filter%5Blevel.id%5D=b5bca920-933a-4845-9063-5e9f0952020e&filter%5Bevents.boatClass.id%5D=97f58788-3109-408a-a3c3-9addf8a145a1&include=venue.country%2Clevel%2Cseason%2Cevents%2Cevents.boatClass%2Cevents.grade&sort%5BstartDate%5D=desc&paginate=50,dc238c18-788a-4a8d-b989-944b04874742,IQFOiL__Continental__2026__IQFOiL-Women__iQFOiL-North-American-Championship__dc238c18.csv,IQFOiL__Continental__2026__IQFOiL-Women__iQFOiL-North-American-Championship__dc238c18.json,14
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Junior Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,2026,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,https://datafeed.sailing.org/stats/api/event/2969587e-4c52-456d-ae4b-f69a3a0fee6d?include=crews.country%2Ccrews.sailors.crewRole%2Craces.raceResults.crew.country%2Craces.raceResults.crew.sailors%2Craces.raceResults.crewCompetingStatus%2Craces.status,https://datafeed.sailing.org/stats/api/regatta?filter%5Blevel.id%5D=3f04830f-4b04-11ed-8d4b-0a5fae879f4b&filter%5Bevents.boatClass.id%5D=8f7556e7-83f2-4a7b-a22f-da804a6ea13d&include=venue.country%2Clevel%2Cseason%2Cevents%2Cevents.boatClass%2Cevents.grade&sort%5BstartDate%5D=desc&paginate=50,2969587e-4c52-456d-ae4b-f69a3a0fee6d,iQFOiL-Youth-Junior__Class-Youth-World-Championship__2026__iQFOiL-Youth-and-Junior-Junior-Male__iQFOiL-Youth-and-Junior-World-Championships__2969587e.csv,iQFOiL-Youth-Junior__Class-Youth-World-Championship__2026__iQFOiL-Youth-and-Junior-Junior-Male__iQFOiL-Youth-and-Junior-World-Championships__2969587e.json,111
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Junior Female,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,2026,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,https://datafeed.sailing.org/stats/api/event/4e2ac09c-dc8a-4163-8946-72da64f40a02?include=crews.country%2Ccrews.sailors.crewRole%2Craces.raceResults.crew.country%2Craces.raceResults.crew.sailors%2Craces.raceResults.crewCompetingStatus%2Craces.status,https://datafeed.sailing.org/stats/api/regatta?filter%5Blevel.id%5D=3f04830f-4b04-11ed-8d4b-0a5fae879f4b&filter%5Bevents.boatClass.id%5D=8f7556e7-83f2-4a7b-a22f-da804a6ea13d&include=venue.country%2Clevel%2Cseason%2Cevents%2Cevents.boatClass%2Cevents.grade&sort%5BstartDate%5D=desc&paginate=50,4e2ac09c-dc8a-4163-8946-72da64f40a02,iQFOiL-Youth-Junior__Class-Youth-World-Championship__2026__iQFOiL-Youth-and-Junior-Junior-Female__iQFOiL-Youth-and-Junior-World-Championships__4e2ac09c.csv,iQFOiL-Youth-Junior__Class-Youth-World-Championship__2026__iQFOiL-Youth-and-Junior-Junior-Female__iQFOiL-Youth-and-Junior-World-Championships__4e2ac09c.json,71
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,2026,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,https://datafeed.sailing.org/stats/api/event/ba15b853-903a-43a7-89d6-93134a078f74?include=crews.country%2Ccrews.sailors.crewRole%2Craces.raceResults.crew.country%2Craces.raceResults.crew.sailors%2Craces.raceResults.crewCompetingStatus%2Craces.status,https://datafeed.sailing.org/stats/api/regatta?filter%5Blevel.id%5D=3f04830f-4b04-11ed-8d4b-0a5fae879f4b&filter%5Bevents.boatClass.id%5D=8f7556e7-83f2-4a7b-a22f-da804a6ea13d&include=venue.country%2Clevel%2Cseason%2Cevents%2Cevents.boatClass%2Cevents.grade&sort%5BstartDate%5D=desc&paginate=50,ba15b853-903a-43a7-89d6-93134a078f74,iQFOiL-Youth-Junior__Class-Youth-World-Championship__2026__iQFOiL-Youth-and-Junior-Youth-Male__iQFOiL-Youth-and-Junior-World-Championships__ba15b853.csv,iQFOiL-Youth-Junior__Class-Youth-World-Championship__2026__iQFOiL-Youth-and-Junior-Youth-Male__iQFOiL-Youth-and-Junior-World-Championships__ba15b853.json,149
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Female,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,2026,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,https://datafeed.sailing.org/stats/api/event/e76135ba-0791-4ca6-ac31-376cd2f1c5a0?include=crews.country%2Ccrews.sailors.crewRole%2Craces.raceResults.crew.country%2Craces.raceResults.crew.sailors%2Craces.raceResults.crewCompetingStatus%2Craces.status,https://datafeed.sailing.org/stats/api/regatta?filter%5Blevel.id%5D=3f04830f-4b04-11ed-8d4b-0a5fae879f4b&filter%5Bevents.boatClass.id%5D=8f7556e7-83f2-4a7b-a22f-da804a6ea13d&include=venue.country%2Clevel%2Cseason%2Cevents%2Cevents.boatClass%2Cevents.grade&sort%5BstartDate%5D=desc&paginate=50,e76135ba-0791-4ca6-ac31-376cd2f1c5a0,iQFOiL-Youth-Junior__Class-Youth-World-Championship__2026__iQFOiL-Youth-and-Junior-Youth-Female__iQFOiL-Youth-and-Junior-World-Championships__e76135ba.csv,iQFOiL-Youth-Junior__Class-Youth-World-Championship__2026__iQFOiL-Youth-and-Junior-Youth-Female__iQFOiL-Youth-and-Junior-World-Championships__e76135ba.json,62
youth,Class Youth World Championship,ILCA 4,ILCA 4 Youth Female,ILCA 4 Youth World Championships,USA202507JTY,2026-08-01,2026-08-09,2026,"Aarhus, Denmark",https://sailing.org/regatta/ilca-4-youth-world-championships?ref=USA202507JTY,https://datafeed.sailing.org/stats/api/event/0b0f6391-c3fc-4704-a75f-1cbcf615f38e?include=crews.country%2Ccrews.sailors.crewRole%2Craces.raceResults.crew.country%2Craces.raceResults.crew.sailors%2Craces.raceResults.crewCompetingStatus%2Craces.status,https://datafeed.sailing.org/stats/api/regatta?filter%5Blevel.id%5D=3f04830f-4b04-11ed-8d4b-0a5fae879f4b&filter%5Bevents.boatClass.id%5D=e030abed-ca01-43fb-855c-17b3ac99489a&include=venue.country%2Clevel%2Cseason%2Cevents%2Cevents.boatClass%2Cevents.grade&sort%5BstartDate%5D=desc&paginate=50,0b0f6391-c3fc-4704-a75f-1cbcf615f38e,ILCA-4__Class-Youth-World-Championship__2026__ILCA-4-Youth-Female__ILCA-4-Youth-World-Championships__0b0f6391.csv,ILCA-4__Class-Youth-World-Championship__2026__ILCA-4-Youth-Female__ILCA-4-Youth-World-Championships__0b0f6391.json,150
youth,Class Youth World Championship,ILCA 4,ILCA 4 Youth Male,ILCA 4 Youth World Championships,USA202507JTY,2026-08-01,2026-08-09,2026,"Aarhus, Denmark",https://sailing.org/regatta/ilca-4-youth-world-championships?ref=USA202507JTY,https://datafeed.sailing.org/stats/api/event/e8565226-adee-4d00-ae9a-19b62c26e9f7?include=crews.country%2Ccrews.sailors.crewRole%2Craces.raceResults.crew.country%2Craces.raceResults.crew.sailors%2Craces.raceResults.crewCompetingStatus%2Craces.status,https://datafeed.sailing.org/stats/api/regatta?filter%5Blevel.id%5D=3f04830f-4b04-11ed-8d4b-0a5fae879f4b&filter%5Bevents.boatClass.id%5D=e030abed-ca01-43fb-855c-17b3ac99489a&include=venue.country%2Clevel%2Cseason%2Cevents%2Cevents.boatClass%2Cevents.grade&sort%5BstartDate%5D=desc&paginate=50,e8565226-adee-4d00-ae9a-19b62c26e9f7,ILCA-4__Class-Youth-World-Championship__2026__ILCA-4-Youth-Male__ILCA-4-Youth-World-Championships__e8565226.csv,ILCA-4__Class-Youth-World-Championship__2026__ILCA-4-Youth-Male__ILCA-4-Youth-World-Championships__e8565226.json,298
youth,Class Youth World Championship,ILCA 6,ILCA 6 Women,ILCA 6 Youth World Championships,USA202507AJ8,2026-08-11,2026-08-19,2026,"Aarhus, Denmark",https://sailing.org/regatta/ilca-6-youth-world-championships?ref=USA202507AJ8,https://datafeed.sailing.org/stats/api/event/774549de-ebfc-4f6a-99c6-c657c56faa58?include=crews.country%2Ccrews.sailors.crewRole%2Craces.raceResults.crew.country%2Craces.raceResults.crew.sailors%2Craces.raceResults.crewCompetingStatus%2Craces.status,https://datafeed.sailing.org/stats/api/regatta?filter%5Blevel.id%5D=3f04830f-4b04-11ed-8d4b-0a5fae879f4b&filter%5Bevents.boatClass.id%5D=bfa92fb9-2ef1-450a-b292-29cbf4f6d755&include=venue.country%2Clevel%2Cseason%2Cevents%2Cevents.boatClass%2Cevents.grade&sort%5BstartDate%5D=desc&paginate=50,774549de-ebfc-4f6a-99c6-c657c56faa58,ILCA-6-Youth__Class-Youth-World-Championship__2026__ILCA-6-Women__ILCA-6-Youth-World-Championships__774549de.csv,ILCA-6-Youth__Class-Youth-World-Championship__2026__ILCA-6-Women__ILCA-6-Youth-World-Championships__774549de.json,122
youth,Class Youth World Championship,ILCA 6,ILCA 6 Men,ILCA 6 Youth World Championships,USA202507AJ8,2026-08-11,2026-08-19,2026,"Aarhus, Denmark",https://sailing.org/regatta/ilca-6-youth-world-championships?ref=USA202507AJ8,https://datafeed.sailing.org/stats/api/event/f0001562-d9d2-46b7-87ff-6e8f5a0dd1a3?include=crews.country%2Ccrews.sailors.crewRole%2Craces.raceResults.crew.country%2Craces.raceResults.crew.sailors%2Craces.raceResults.crewCompetingStatus%2Craces.status,https://datafeed.sailing.org/stats/api/regatta?filter%5Blevel.id%5D=3f04830f-4b04-11ed-8d4b-0a5fae879f4b&filter%5Bevents.boatClass.id%5D=bfa92fb9-2ef1-450a-b292-29cbf4f6d755&include=venue.country%2Clevel%2Cseason%2Cevents%2Cevents.boatClass%2Cevents.grade&sort%5BstartDate%5D=desc&paginate=50,f0001562-d9d2-46b7-87ff-6e8f5a0dd1a3,ILCA-6-Youth__Class-Youth-World-Championship__2026__ILCA-6-Men__ILCA-6-Youth-World-Championships__f0001562.csv,ILCA-6-Youth__Class-Youth-World-Championship__2026__ILCA-6-Men__ILCA-6-Youth-World-Championships__f0001562.json,307
