group,level_label,class_label,event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points,R1,R3,R4,R5,R6
para,Para World Sailing Competition,2.4 Metre,Para Inclusive One Person Keelboat (2.4 Metre) - Inclusive,Sneekweek - Hansa Liberty / 2.4 Metre,NED202607RTS,2026-08-01,2026-08-06,"Koninklijke Watersportvereniging Sneek, Netherlands",https://sailing.org/regatta/sneekweek-hansa-liberty-2-4-metre?ref=NED202607RTS,1,GER,Germany,Jan Hoeve,NEDJH45,,19,5,1,1,1,2,(14) DNC
para,Para World Sailing Competition,2.4 Metre,Para Inclusive One Person Keelboat (2.4 Metre) - Inclusive,Sneekweek - Hansa Liberty / 2.4 Metre,NED202607RTS,2026-08-01,2026-08-06,"Koninklijke Watersportvereniging Sneek, Netherlands",https://sailing.org/regatta/sneekweek-hansa-liberty-2-4-metre?ref=NED202607RTS,2,NED,Netherlands,Frank Havik,NEDFH16,,21,7,(14) DNC,2,3,1,1
para,Para World Sailing Competition,2.4 Metre,Para Inclusive One Person Keelboat (2.4 Metre) - Inclusive,Sneekweek - Hansa Liberty / 2.4 Metre,NED202607RTS,2026-08-01,2026-08-06,"Koninklijke Watersportvereniging Sneek, Netherlands",https://sailing.org/regatta/sneekweek-hansa-liberty-2-4-metre?ref=NED202607RTS,3,GER,Germany,Michael Jakobs,GERMJ17,,27,13,2,3,(14) DSQ,3,5
para,Para World Sailing Competition,2.4 Metre,Para Inclusive One Person Keelboat (2.4 Metre) - Inclusive,Sneekweek - Hansa Liberty / 2.4 Metre,NED202607RTS,2026-08-01,2026-08-06,"Koninklijke Watersportvereniging Sneek, Netherlands",https://sailing.org/regatta/sneekweek-hansa-liberty-2-4-metre?ref=NED202607RTS,4,NED,Netherlands,,,,27,13,3,(14) DNC,2,4,4
para,Para World Sailing Competition,2.4 Metre,Para Inclusive One Person Keelboat (2.4 Metre) - Inclusive,Sneekweek - Hansa Liberty / 2.4 Metre,NED202607RTS,2026-08-01,2026-08-06,"Koninklijke Watersportvereniging Sneek, Netherlands",https://sailing.org/regatta/sneekweek-hansa-liberty-2-4-metre?ref=NED202607RTS,5,NED,Netherlands,,,,28,14,4,4,4,(14) DNC,2
para,Para World Sailing Competition,2.4 Metre,Para Inclusive One Person Keelboat (2.4 Metre) - Inclusive,Sneekweek - Hansa Liberty / 2.4 Metre,NED202607RTS,2026-08-01,2026-08-06,"Koninklijke Watersportvereniging Sneek, Netherlands",https://sailing.org/regatta/sneekweek-hansa-liberty-2-4-metre?ref=NED202607RTS,6,NED,Netherlands,,,,33,19,6,5,5,(14) DNC,3
para,Para World Sailing Competition,2.4 Metre,Para Inclusive One Person Keelboat (2.4 Metre) - Inclusive,Sneekweek - Hansa Liberty / 2.4 Metre,NED202607RTS,2026-08-01,2026-08-06,"Koninklijke Watersportvereniging Sneek, Netherlands",https://sailing.org/regatta/sneekweek-hansa-liberty-2-4-metre?ref=NED202607RTS,7,NED,Netherlands,,,,31,24,5,(7),7,5,7
para,Para World Sailing Competition,2.4 Metre,Para Inclusive One Person Keelboat (2.4 Metre) - Inclusive,Sneekweek - Hansa Liberty / 2.4 Metre,NED202607RTS,2026-08-01,2026-08-06,"Koninklijke Watersportvereniging Sneek, Netherlands",https://sailing.org/regatta/sneekweek-hansa-liberty-2-4-metre?ref=NED202607RTS,8,NED,Netherlands,,,,41,30,7,9,(11),6,8
para,Para World Sailing Competition,2.4 Metre,Para Inclusive One Person Keelboat (2.4 Metre) - Inclusive,Sneekweek - Hansa Liberty / 2.4 Metre,NED202607RTS,2026-08-01,2026-08-06,"Koninklijke Watersportvereniging Sneek, Netherlands",https://sailing.org/regatta/sneekweek-hansa-liberty-2-4-metre?ref=NED202607RTS,9,NED,Netherlands,,,,48,34,8,6,6,(14) DNC,14 DNC
para,Para World Sailing Competition,2.4 Metre,Para Inclusive One Person Keelboat (2.4 Metre) - Inclusive,Sneekweek - Hansa Liberty / 2.4 Metre,NED202607RTS,2026-08-01,2026-08-06,"Koninklijke Watersportvereniging Sneek, Netherlands",https://sailing.org/regatta/sneekweek-hansa-liberty-2-4-metre?ref=NED202607RTS,10,NED,Netherlands,Arend Pet,NEDAP2,,53,39,(14) DNC,11,8,14 DNC,6
para,Para World Sailing Competition,2.4 Metre,Para Inclusive One Person Keelboat (2.4 Metre) - Inclusive,Sneekweek - Hansa Liberty / 2.4 Metre,NED202607RTS,2026-08-01,2026-08-06,"Koninklijke Watersportvereniging Sneek, Netherlands",https://sailing.org/regatta/sneekweek-hansa-liberty-2-4-metre?ref=NED202607RTS,11,NED,Netherlands,,,,54,40,9,8,9,(14) DNC,14 DNC
para,Para World Sailing Competition,2.4 Metre,Para Inclusive One Person Keelboat (2.4 Metre) - Inclusive,Sneekweek - Hansa Liberty / 2.4 Metre,NED202607RTS,2026-08-01,2026-08-06,"Koninklijke Watersportvereniging Sneek, Netherlands",https://sailing.org/regatta/sneekweek-hansa-liberty-2-4-metre?ref=NED202607RTS,12,NED,Netherlands,,,,59,45,11,10,10,(14) DNC,14 DNC
para,Para World Sailing Competition,2.4 Metre,Para Inclusive One Person Keelboat (2.4 Metre) - Inclusive,Sneekweek - Hansa Liberty / 2.4 Metre,NED202607RTS,2026-08-01,2026-08-06,"Koninklijke Watersportvereniging Sneek, Netherlands",https://sailing.org/regatta/sneekweek-hansa-liberty-2-4-metre?ref=NED202607RTS,13,NED,Netherlands,,,,66,52,10,(14) DNC,14 DNC,14 DNC,14 DNC
