group,level_label,class_label,event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points
youth,Continental,IKA - Formula Kite,IKA - Formula Kite Men,Formula Kite European Championships,TUR202505CKO,2026-09-05,2026-09-12,"Akyaka, TUR, Türkiye",https://sailing.org/regatta/formula-kite-european-championships?ref=TUR202505CKO,1,SGP,Singapore,Maximilian Maeder,SGPMM1,,28,16
youth,Continental,IKA - Formula Kite,IKA - Formula Kite Men,Formula Kite European Championships,TUR202505CKO,2026-09-05,2026-09-12,"Akyaka, TUR, Türkiye",https://sailing.org/regatta/formula-kite-european-championships?ref=TUR202505CKO,2,SUI,Switzerland,Gian Andrea Stragiotti,SUIGS6,,74,27
youth,Continental,IKA - Formula Kite,IKA - Formula Kite Men,Formula Kite European Championships,TUR202505CKO,2026-09-05,2026-09-12,"Akyaka, TUR, Türkiye",https://sailing.org/regatta/formula-kite-european-championships?ref=TUR202505CKO,3,AUT,Austria,Valentin Bontus,AUTVB7,,104,62
youth,Continental,IKA - Formula Kite,IKA - Formula Kite Men,Formula Kite European Championships,TUR202505CKO,2026-09-05,2026-09-12,"Akyaka, TUR, Türkiye",https://sailing.org/regatta/formula-kite-european-championships?ref=TUR202505CKO,4,ITA,Italy,Riccardo Pianosi,ITARP80,,75,37
youth,Continental,IKA - Formula Kite,IKA - Formula Kite Men,Formula Kite European Championships,TUR202505CKO,2026-09-05,2026-09-12,"Akyaka, TUR, Türkiye",https://sailing.org/regatta/formula-kite-european-championships?ref=TUR202505CKO,5,GBR,Great Britain,Sam Dickinson,GBRSD77,,184,121
youth,Continental,IKA - Formula Kite,IKA - Formula Kite Men,Formula Kite European Championships,TUR202505CKO,2026-09-05,2026-09-12,"Akyaka, TUR, Türkiye",https://sailing.org/regatta/formula-kite-european-championships?ref=TUR202505CKO,6,CZE,Czechia,Vojta Koska,CZEVK3,,79,48
youth,Continental,IKA - Formula Kite,IKA - Formula Kite Men,Formula Kite European Championships,TUR202505CKO,2026-09-05,2026-09-12,"Akyaka, TUR, Türkiye",https://sailing.org/regatta/formula-kite-european-championships?ref=TUR202505CKO,7,ITA,Italy,Flavio Marx,ITAFM170,,155,114
youth,Continental,IKA - Formula Kite,IKA - Formula Kite Men,Formula Kite European Championships,TUR202505CKO,2026-09-05,2026-09-12,"Akyaka, TUR, Türkiye",https://sailing.org/regatta/formula-kite-european-championships?ref=TUR202505CKO,8,CHN,"China, PR",Qibin Huang,CHNQH1,,132,81
youth,Continental,IKA - Formula Kite,IKA - Formula Kite Men,Formula Kite European Championships,TUR202505CKO,2026-09-05,2026-09-12,"Akyaka, TUR, Türkiye",https://sailing.org/regatta/formula-kite-european-championships?ref=TUR202505CKO,9,SLO,Slovenia,Toni Vodisek,SLOTV3,,158,88
youth,Continental,IKA - Formula Kite,IKA - Formula Kite Men,Formula Kite European Championships,TUR202505CKO,2026-09-05,2026-09-12,"Akyaka, TUR, Türkiye",https://sailing.org/regatta/formula-kite-european-championships?ref=TUR202505CKO,10,SUI,Switzerland,Karl Maeder,SUIKM1,,135,92
