group,level_label,class_label,event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points
youth,Continental,IKA - Formula Kite,IKA - Formula Kite Men,Formula Kite North American Championships,USA2021017CM,2026-07-18,2026-07-19,"Alamitos Bay YC, Long Beach, CA, United States of America",https://sailing.org/regatta/formula-kite-north-american-championships?ref=USA2021017CM,1,SGP,Singapore,Maximilian Maeder,SGPMM1,9,57,13
youth,Continental,IKA - Formula Kite,IKA - Formula Kite Men,Formula Kite North American Championships,USA2021017CM,2026-07-18,2026-07-19,"Alamitos Bay YC, Long Beach, CA, United States of America",https://sailing.org/regatta/formula-kite-north-american-championships?ref=USA2021017CM,2,CHN,"China, PR",Qibin Huang,CHNQH1,15,36,19
youth,Continental,IKA - Formula Kite,IKA - Formula Kite Men,Formula Kite North American Championships,USA2021017CM,2026-07-18,2026-07-19,"Alamitos Bay YC, Long Beach, CA, United States of America",https://sailing.org/regatta/formula-kite-north-american-championships?ref=USA2021017CM,3,AUT,Austria,Valentin Bontus,AUTVB7,6,81,31
youth,Continental,IKA - Formula Kite,IKA - Formula Kite Men,Formula Kite North American Championships,USA2021017CM,2026-07-18,2026-07-19,"Alamitos Bay YC, Long Beach, CA, United States of America",https://sailing.org/regatta/formula-kite-north-american-championships?ref=USA2021017CM,4,SUI,Switzerland,Gian Andrea Stragiotti,SUIGS6,3,81,33
youth,Continental,IKA - Formula Kite,IKA - Formula Kite Men,Formula Kite North American Championships,USA2021017CM,2026-07-18,2026-07-19,"Alamitos Bay YC, Long Beach, CA, United States of America",https://sailing.org/regatta/formula-kite-north-american-championships?ref=USA2021017CM,5,GBR,Great Britain,Sam Dickinson,GBRSD77,17,110,55
youth,Continental,IKA - Formula Kite,IKA - Formula Kite Men,Formula Kite North American Championships,USA2021017CM,2026-07-18,2026-07-19,"Alamitos Bay YC, Long Beach, CA, United States of America",https://sailing.org/regatta/formula-kite-north-american-championships?ref=USA2021017CM,6,GRE,Greece,Kameron Alexandros Maramenidis,GRECM13,8,92,56
youth,Continental,IKA - Formula Kite,IKA - Formula Kite Men,Formula Kite North American Championships,USA2021017CM,2026-07-18,2026-07-19,"Alamitos Bay YC, Long Beach, CA, United States of America",https://sailing.org/regatta/formula-kite-north-american-championships?ref=USA2021017CM,7,CHN,"China, PR",Haoran Zhang,CHNHZ7,41,98,62
youth,Continental,IKA - Formula Kite,IKA - Formula Kite Men,Formula Kite North American Championships,USA2021017CM,2026-07-18,2026-07-19,"Alamitos Bay YC, Long Beach, CA, United States of America",https://sailing.org/regatta/formula-kite-north-american-championships?ref=USA2021017CM,8,FRA,France,Benoit Gomez,FRABG40,29,89,62
youth,Continental,IKA - Formula Kite,IKA - Formula Kite Men,Formula Kite North American Championships,USA2021017CM,2026-07-18,2026-07-19,"Alamitos Bay YC, Long Beach, CA, United States of America",https://sailing.org/regatta/formula-kite-north-american-championships?ref=USA2021017CM,9,CZE,Czechia,Vojta Koska,CZEVK3,37,135,65
youth,Continental,IKA - Formula Kite,IKA - Formula Kite Men,Formula Kite North American Championships,USA2021017CM,2026-07-18,2026-07-19,"Alamitos Bay YC, Long Beach, CA, United States of America",https://sailing.org/regatta/formula-kite-north-american-championships?ref=USA2021017CM,10,NZL,New Zealand,Lukas Walton- Keim,NZLLW3,23,123,74
youth,Continental,IKA - Formula Kite,IKA - Formula Kite Men,Formula Kite North American Championships,USA2021017CM,2026-07-18,2026-07-19,"Alamitos Bay YC, Long Beach, CA, United States of America",https://sailing.org/regatta/formula-kite-north-american-championships?ref=USA2021017CM,11,CRO,Croatia,Martin Dolenc,CROMD5,22,157,87
youth,Continental,IKA - Formula Kite,IKA - Formula Kite Men,Formula Kite North American Championships,USA2021017CM,2026-07-18,2026-07-19,"Alamitos Bay YC, Long Beach, CA, United States of America",https://sailing.org/regatta/formula-kite-north-american-championships?ref=USA2021017CM,12,NED,Netherlands,Duuk van Hees,NEDDV33,32,125,90
