group,level_label,class_label,event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points
youth,Continental,IKA - Formula Kite,IKA - Formula Kite Women,Formula Kite European Championships,TUR202505CKO,2026-09-05,2026-09-12,"Akyaka, TUR, Türkiye",https://sailing.org/regatta/formula-kite-european-championships?ref=TUR202505CKO,1,FRA,France,Lauriane Nolot,FRALN10,,85,39
youth,Continental,IKA - Formula Kite,IKA - Formula Kite Women,Formula Kite European Championships,TUR202505CKO,2026-09-05,2026-09-12,"Akyaka, TUR, Türkiye",https://sailing.org/regatta/formula-kite-european-championships?ref=TUR202505CKO,2,NED,Netherlands,Jessie Kampman,NEDJK53,,78,29
youth,Continental,IKA - Formula Kite,IKA - Formula Kite Women,Formula Kite European Championships,TUR202505CKO,2026-09-05,2026-09-12,"Akyaka, TUR, Türkiye",https://sailing.org/regatta/formula-kite-european-championships?ref=TUR202505CKO,3,SUI,Switzerland,Elena Lengwiler,SUIEB4,,92,42
youth,Continental,IKA - Formula Kite,IKA - Formula Kite Women,Formula Kite European Championships,TUR202505CKO,2026-09-05,2026-09-12,"Akyaka, TUR, Türkiye",https://sailing.org/regatta/formula-kite-european-championships?ref=TUR202505CKO,4,CHN,"China, PR",Wan Li,CHNWL13,,72,52
youth,Continental,IKA - Formula Kite,IKA - Formula Kite Women,Formula Kite European Championships,TUR202505CKO,2026-09-05,2026-09-12,"Akyaka, TUR, Türkiye",https://sailing.org/regatta/formula-kite-european-championships?ref=TUR202505CKO,5,AUS,Australia,Breiana Whitehead,AUSBW24,,116,81
youth,Continental,IKA - Formula Kite,IKA - Formula Kite Women,Formula Kite European Championships,TUR202505CKO,2026-09-05,2026-09-12,"Akyaka, TUR, Türkiye",https://sailing.org/regatta/formula-kite-european-championships?ref=TUR202505CKO,6,CHN,"China, PR",Meijing Xiao,CHNMX6,,232,156
youth,Continental,IKA - Formula Kite,IKA - Formula Kite Women,Formula Kite European Championships,TUR202505CKO,2026-09-05,2026-09-12,"Akyaka, TUR, Türkiye",https://sailing.org/regatta/formula-kite-european-championships?ref=TUR202505CKO,7,CHN,"China, PR",Si Wang,CHNSW9,,216,145
youth,Continental,IKA - Formula Kite,IKA - Formula Kite Women,Formula Kite European Championships,TUR202505CKO,2026-09-05,2026-09-12,"Akyaka, TUR, Türkiye",https://sailing.org/regatta/formula-kite-european-championships?ref=TUR202505CKO,8,GBR,Great Britain,Lily Young,GBRLY6,,213,127
youth,Continental,IKA - Formula Kite,IKA - Formula Kite Women,Formula Kite European Championships,TUR202505CKO,2026-09-05,2026-09-12,"Akyaka, TUR, Türkiye",https://sailing.org/regatta/formula-kite-european-championships?ref=TUR202505CKO,9,TUR,Türkiye,Derin Atakan,TURDA14,,165,116
youth,Continental,IKA - Formula Kite,IKA - Formula Kite Women,Formula Kite European Championships,TUR202505CKO,2026-09-05,2026-09-12,"Akyaka, TUR, Türkiye",https://sailing.org/regatta/formula-kite-european-championships?ref=TUR202505CKO,10,POL,Poland,Izabela Satrjan,POLIS5,,267,168
youth,Continental,IKA - Formula Kite,IKA - Formula Kite Women,Formula Kite European Championships,TUR202505CKO,2026-09-05,2026-09-12,"Akyaka, TUR, Türkiye",https://sailing.org/regatta/formula-kite-european-championships?ref=TUR202505CKO,11,FRA,France,Lysa Caval,FRALC65,,238,172
youth,Continental,IKA - Formula Kite,IKA - Formula Kite Women,Formula Kite European Championships,TUR202505CKO,2026-09-05,2026-09-12,"Akyaka, TUR, Türkiye",https://sailing.org/regatta/formula-kite-european-championships?ref=TUR202505CKO,12,CHN,"China, PR",liu chenxue,CHNLC8,,250,189
youth,Continental,IKA - Formula Kite,IKA - Formula Kite Women,Formula Kite European Championships,TUR202505CKO,2026-09-05,2026-09-12,"Akyaka, TUR, Türkiye",https://sailing.org/regatta/formula-kite-european-championships?ref=TUR202505CKO,13,AIN,Individual Neutral Athletes,Svetlana Trusova,AINXST1,,290,207
youth,Continental,IKA - Formula Kite,IKA - Formula Kite Women,Formula Kite European Championships,TUR202505CKO,2026-09-05,2026-09-12,"Akyaka, TUR, Türkiye",https://sailing.org/regatta/formula-kite-european-championships?ref=TUR202505CKO,14,POR,Portugal,Mafalda Pires de Lima,PORMP12,,320,219
youth,Continental,IKA - Formula Kite,IKA - Formula Kite Women,Formula Kite European Championships,TUR202505CKO,2026-09-05,2026-09-12,"Akyaka, TUR, Türkiye",https://sailing.org/regatta/formula-kite-european-championships?ref=TUR202505CKO,15,GBR,Great Britain,Katie Dabson,GBRKD19,,287,223
youth,Continental,IKA - Formula Kite,IKA - Formula Kite Women,Formula Kite European Championships,TUR202505CKO,2026-09-05,2026-09-12,"Akyaka, TUR, Türkiye",https://sailing.org/regatta/formula-kite-european-championships?ref=TUR202505CKO,16,ITA,Italy,TIANA LAPORTE,ITATL9,,348,250
youth,Continental,IKA - Formula Kite,IKA - Formula Kite Women,Formula Kite European Championships,TUR202505CKO,2026-09-05,2026-09-12,"Akyaka, TUR, Türkiye",https://sailing.org/regatta/formula-kite-european-championships?ref=TUR202505CKO,17,GBR,Great Britain,Ella Geiger,GBREG23,,359,260
youth,Continental,IKA - Formula Kite,IKA - Formula Kite Women,Formula Kite European Championships,TUR202505CKO,2026-09-05,2026-09-12,"Akyaka, TUR, Türkiye",https://sailing.org/regatta/formula-kite-european-championships?ref=TUR202505CKO,18,CHN,"China, PR",Jingyue Chen,CHNLC7,,360,273
youth,Continental,IKA - Formula Kite,IKA - Formula Kite Women,Formula Kite European Championships,TUR202505CKO,2026-09-05,2026-09-12,"Akyaka, TUR, Türkiye",https://sailing.org/regatta/formula-kite-european-championships?ref=TUR202505CKO,19,CHN,"China, PR",Suofeiya Li,CHNSL8,,359,284
youth,Continental,IKA - Formula Kite,IKA - Formula Kite Women,Formula Kite European Championships,TUR202505CKO,2026-09-05,2026-09-12,"Akyaka, TUR, Türkiye",https://sailing.org/regatta/formula-kite-european-championships?ref=TUR202505CKO,20,ITA,Italy,Giorgia Speciale,ITAGS131,,409,309
youth,Continental,IKA - Formula Kite,IKA - Formula Kite Women,Formula Kite European Championships,TUR202505CKO,2026-09-05,2026-09-12,"Akyaka, TUR, Türkiye",https://sailing.org/regatta/formula-kite-european-championships?ref=TUR202505CKO,21,GER,Germany,Jill Paland,GERJP36,,422,311
youth,Continental,IKA - Formula Kite,IKA - Formula Kite Women,Formula Kite European Championships,TUR202505CKO,2026-09-05,2026-09-12,"Akyaka, TUR, Türkiye",https://sailing.org/regatta/formula-kite-european-championships?ref=TUR202505CKO,22,NZL,New Zealand,Lucy Bilger,NZLLB5,,424,322
youth,Continental,IKA - Formula Kite,IKA - Formula Kite Women,Formula Kite European Championships,TUR202505CKO,2026-09-05,2026-09-12,"Akyaka, TUR, Türkiye",https://sailing.org/regatta/formula-kite-european-championships?ref=TUR202505CKO,23,ITA,Italy,maddalena spanu,ITAMS174,,424,340
youth,Continental,IKA - Formula Kite,IKA - Formula Kite Women,Formula Kite European Championships,TUR202505CKO,2026-09-05,2026-09-12,"Akyaka, TUR, Türkiye",https://sailing.org/regatta/formula-kite-european-championships?ref=TUR202505CKO,24,CHN,"China, PR",ZILIN MA,CHNZM3,,447,353
youth,Continental,IKA - Formula Kite,IKA - Formula Kite Women,Formula Kite European Championships,TUR202505CKO,2026-09-05,2026-09-12,"Akyaka, TUR, Türkiye",https://sailing.org/regatta/formula-kite-european-championships?ref=TUR202505CKO,25,AIN,Individual Neutral Athletes,Valeria Garashchenko,AINXVG1,,451,370
youth,Continental,IKA - Formula Kite,IKA - Formula Kite Women,Formula Kite European Championships,TUR202505CKO,2026-09-05,2026-09-12,"Akyaka, TUR, Türkiye",https://sailing.org/regatta/formula-kite-european-championships?ref=TUR202505CKO,26,TUR,Türkiye,Derin Deniz Sorguc,TURDS11,,491,385
youth,Continental,IKA - Formula Kite,IKA - Formula Kite Women,Formula Kite European Championships,TUR202505CKO,2026-09-05,2026-09-12,"Akyaka, TUR, Türkiye",https://sailing.org/regatta/formula-kite-european-championships?ref=TUR202505CKO,27,POL,Poland,Julia Damasiewicz,POLJD16,,493,392
youth,Continental,IKA - Formula Kite,IKA - Formula Kite Women,Formula Kite European Championships,TUR202505CKO,2026-09-05,2026-09-12,"Akyaka, TUR, Türkiye",https://sailing.org/regatta/formula-kite-european-championships?ref=TUR202505CKO,28,CZE,Czechia,Dominika Braunova,CZEDB5,,488,399
youth,Continental,IKA - Formula Kite,IKA - Formula Kite Women,Formula Kite European Championships,TUR202505CKO,2026-09-05,2026-09-12,"Akyaka, TUR, Türkiye",https://sailing.org/regatta/formula-kite-european-championships?ref=TUR202505CKO,29,POL,Poland,Karolina Jankowska,POLKJ19,,563,463
