group,level_label,class_label,event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points
youth,Continental,IKA - Formula Kite,IKA - Formula Kite Women,Formula Kite North American Championships,USA2021017CM,2026-07-18,2026-07-19,"Alamitos Bay YC, Long Beach, CA, United States of America",https://sailing.org/regatta/formula-kite-north-american-championships?ref=USA2021017CM,1,CHN,"China, PR",Wan Li,CHNWL13,72,37,17
youth,Continental,IKA - Formula Kite,IKA - Formula Kite Women,Formula Kite North American Championships,USA2021017CM,2026-07-18,2026-07-19,"Alamitos Bay YC, Long Beach, CA, United States of America",https://sailing.org/regatta/formula-kite-north-american-championships?ref=USA2021017CM,2,NED,Netherlands,Jessie Kampman,NEDJK53,68,63,19
youth,Continental,IKA - Formula Kite,IKA - Formula Kite Women,Formula Kite North American Championships,USA2021017CM,2026-07-18,2026-07-19,"Alamitos Bay YC, Long Beach, CA, United States of America",https://sailing.org/regatta/formula-kite-north-american-championships?ref=USA2021017CM,3,CHN,"China, PR",Si Wang,CHNSW9,58,51,32
youth,Continental,IKA - Formula Kite,IKA - Formula Kite Women,Formula Kite North American Championships,USA2021017CM,2026-07-18,2026-07-19,"Alamitos Bay YC, Long Beach, CA, United States of America",https://sailing.org/regatta/formula-kite-north-american-championships?ref=USA2021017CM,4,SUI,Switzerland,Elena Lengwiler,SUIEB4,67,61,36
youth,Continental,IKA - Formula Kite,IKA - Formula Kite Women,Formula Kite North American Championships,USA2021017CM,2026-07-18,2026-07-19,"Alamitos Bay YC, Long Beach, CA, United States of America",https://sailing.org/regatta/formula-kite-north-american-championships?ref=USA2021017CM,5,CHN,"China, PR",Meijing Xiao,CHNMX6,64,70,38
youth,Continental,IKA - Formula Kite,IKA - Formula Kite Women,Formula Kite North American Championships,USA2021017CM,2026-07-18,2026-07-19,"Alamitos Bay YC, Long Beach, CA, United States of America",https://sailing.org/regatta/formula-kite-north-american-championships?ref=USA2021017CM,6,FRA,France,Lauriane Nolot,FRALN10,87,83,39
youth,Continental,IKA - Formula Kite,IKA - Formula Kite Women,Formula Kite North American Championships,USA2021017CM,2026-07-18,2026-07-19,"Alamitos Bay YC, Long Beach, CA, United States of America",https://sailing.org/regatta/formula-kite-north-american-championships?ref=USA2021017CM,7,CHN,"China, PR",liu chenxue,CHNLC8,70,77,42
youth,Continental,IKA - Formula Kite,IKA - Formula Kite Women,Formula Kite North American Championships,USA2021017CM,2026-07-18,2026-07-19,"Alamitos Bay YC, Long Beach, CA, United States of America",https://sailing.org/regatta/formula-kite-north-american-championships?ref=USA2021017CM,8,AUS,Australia,Breiana Whitehead,AUSBW24,77,86,50
youth,Continental,IKA - Formula Kite,IKA - Formula Kite Women,Formula Kite North American Championships,USA2021017CM,2026-07-18,2026-07-19,"Alamitos Bay YC, Long Beach, CA, United States of America",https://sailing.org/regatta/formula-kite-north-american-championships?ref=USA2021017CM,9,USA,United States of America,Daniela Moroz,USADM246,65,82,51
youth,Continental,IKA - Formula Kite,IKA - Formula Kite Women,Formula Kite North American Championships,USA2021017CM,2026-07-18,2026-07-19,"Alamitos Bay YC, Long Beach, CA, United States of America",https://sailing.org/regatta/formula-kite-north-american-championships?ref=USA2021017CM,10,GBR,Great Britain,Lily Young,GBRLY6,50,76,52
youth,Continental,IKA - Formula Kite,IKA - Formula Kite Women,Formula Kite North American Championships,USA2021017CM,2026-07-18,2026-07-19,"Alamitos Bay YC, Long Beach, CA, United States of America",https://sailing.org/regatta/formula-kite-north-american-championships?ref=USA2021017CM,11,ISR,Israel,Maya Ashkenazi,ISRMA9,57,119,75
youth,Continental,IKA - Formula Kite,IKA - Formula Kite Women,Formula Kite North American Championships,USA2021017CM,2026-07-18,2026-07-19,"Alamitos Bay YC, Long Beach, CA, United States of America",https://sailing.org/regatta/formula-kite-north-american-championships?ref=USA2021017CM,12,NZL,New Zealand,Lucy Bilger,NZLLB5,75,128,84
youth,Continental,IKA - Formula Kite,IKA - Formula Kite Women,Formula Kite North American Championships,USA2021017CM,2026-07-18,2026-07-19,"Alamitos Bay YC, Long Beach, CA, United States of America",https://sailing.org/regatta/formula-kite-north-american-championships?ref=USA2021017CM,13,GBR,Great Britain,Ella Geiger,GBREG23,62,124,88
youth,Continental,IKA - Formula Kite,IKA - Formula Kite Women,Formula Kite North American Championships,USA2021017CM,2026-07-18,2026-07-19,"Alamitos Bay YC, Long Beach, CA, United States of America",https://sailing.org/regatta/formula-kite-north-american-championships?ref=USA2021017CM,14,GBR,Great Britain,Katie Dabson,GBRKD19,60,134,97
youth,Continental,IKA - Formula Kite,IKA - Formula Kite Women,Formula Kite North American Championships,USA2021017CM,2026-07-18,2026-07-19,"Alamitos Bay YC, Long Beach, CA, United States of America",https://sailing.org/regatta/formula-kite-north-american-championships?ref=USA2021017CM,15,CAN,Canada,Emily Bugeja,CANEB20,55,154,116
youth,Continental,IKA - Formula Kite,IKA - Formula Kite Women,Formula Kite North American Championships,USA2021017CM,2026-07-18,2026-07-19,"Alamitos Bay YC, Long Beach, CA, United States of America",https://sailing.org/regatta/formula-kite-north-american-championships?ref=USA2021017CM,16,USA,United States of America,Molly OBrien,USAMO61,81,154,117
youth,Continental,IKA - Formula Kite,IKA - Formula Kite Women,Formula Kite North American Championships,USA2021017CM,2026-07-18,2026-07-19,"Alamitos Bay YC, Long Beach, CA, United States of America",https://sailing.org/regatta/formula-kite-north-american-championships?ref=USA2021017CM,17,TUR,Türkiye,Derin Atakan,TURDA14,78,173,129
youth,Continental,IKA - Formula Kite,IKA - Formula Kite Women,Formula Kite North American Championships,USA2021017CM,2026-07-18,2026-07-19,"Alamitos Bay YC, Long Beach, CA, United States of America",https://sailing.org/regatta/formula-kite-north-american-championships?ref=USA2021017CM,18,CAN,Canada,Claire Ramsey,CANCR24,97,171,129
youth,Continental,IKA - Formula Kite,IKA - Formula Kite Women,Formula Kite North American Championships,USA2021017CM,2026-07-18,2026-07-19,"Alamitos Bay YC, Long Beach, CA, United States of America",https://sailing.org/regatta/formula-kite-north-american-championships?ref=USA2021017CM,19,USA,United States of America,Kirstyn OBrien,USAKO28,82,177,133
youth,Continental,IKA - Formula Kite,IKA - Formula Kite Women,Formula Kite North American Championships,USA2021017CM,2026-07-18,2026-07-19,"Alamitos Bay YC, Long Beach, CA, United States of America",https://sailing.org/regatta/formula-kite-north-american-championships?ref=USA2021017CM,20,ISR,Israel,Gal Zukerman,ISRGZ3,79,204,160
youth,Continental,IKA - Formula Kite,IKA - Formula Kite Women,Formula Kite North American Championships,USA2021017CM,2026-07-18,2026-07-19,"Alamitos Bay YC, Long Beach, CA, United States of America",https://sailing.org/regatta/formula-kite-north-american-championships?ref=USA2021017CM,21,CAN,Canada,Martyna Dakowicz,CANMD36,80,206,162
