group,level_label,class_label,event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points
youth,Class Youth World Championship,ILCA 4,ILCA 4 Youth Female,ILCA 4 Youth World Championships,USA202507JTY,2026-08-01,2026-08-09,"Aarhus, Denmark",https://sailing.org/regatta/ilca-4-youth-world-championships?ref=USA202507JTY,1,GRE,Greece,ELENI TRIANTOU,GREET18,,167,91
youth,Class Youth World Championship,ILCA 4,ILCA 4 Youth Female,ILCA 4 Youth World Championships,USA202507JTY,2026-08-01,2026-08-09,"Aarhus, Denmark",https://sailing.org/regatta/ilca-4-youth-world-championships?ref=USA202507JTY,2,ESP,Spain,BLANCA FERRANDO BABE,ESPBF11,,175,102
youth,Class Youth World Championship,ILCA 4,ILCA 4 Youth Female,ILCA 4 Youth World Championships,USA202507JTY,2026-08-01,2026-08-09,"Aarhus, Denmark",https://sailing.org/regatta/ilca-4-youth-world-championships?ref=USA202507JTY,3,GRE,Greece,DESPOINA  THEODORAKOPOULOU,GREDT24,,154,112
youth,Class Youth World Championship,ILCA 4,ILCA 4 Youth Female,ILCA 4 Youth World Championships,USA202507JTY,2026-08-01,2026-08-09,"Aarhus, Denmark",https://sailing.org/regatta/ilca-4-youth-world-championships?ref=USA202507JTY,4,GER,Germany,Cassandra Jansch,GERCJ16,,153,122
youth,Class Youth World Championship,ILCA 4,ILCA 4 Youth Female,ILCA 4 Youth World Championships,USA202507JTY,2026-08-01,2026-08-09,"Aarhus, Denmark",https://sailing.org/regatta/ilca-4-youth-world-championships?ref=USA202507JTY,5,FRA,France,Capucine Deltel,FRACD87,,192,130
youth,Class Youth World Championship,ILCA 4,ILCA 4 Youth Female,ILCA 4 Youth World Championships,USA202507JTY,2026-08-01,2026-08-09,"Aarhus, Denmark",https://sailing.org/regatta/ilca-4-youth-world-championships?ref=USA202507JTY,6,CRO,Croatia,Alexandra Ivanova,CROAI1,,184,131
youth,Class Youth World Championship,ILCA 4,ILCA 4 Youth Female,ILCA 4 Youth World Championships,USA202507JTY,2026-08-01,2026-08-09,"Aarhus, Denmark",https://sailing.org/regatta/ilca-4-youth-world-championships?ref=USA202507JTY,7,GBR,Great Britain,Chloe Grayton,GBRCG71,,177,134
youth,Class Youth World Championship,ILCA 4,ILCA 4 Youth Female,ILCA 4 Youth World Championships,USA202507JTY,2026-08-01,2026-08-09,"Aarhus, Denmark",https://sailing.org/regatta/ilca-4-youth-world-championships?ref=USA202507JTY,8,GRE,Greece,Eleni Alchanatis,GREEA13,,212,136
youth,Class Youth World Championship,ILCA 4,ILCA 4 Youth Female,ILCA 4 Youth World Championships,USA202507JTY,2026-08-01,2026-08-09,"Aarhus, Denmark",https://sailing.org/regatta/ilca-4-youth-world-championships?ref=USA202507JTY,9,ITA,Italy,Zala Sterni,ITAZS2,,199,146
youth,Class Youth World Championship,ILCA 4,ILCA 4 Youth Female,ILCA 4 Youth World Championships,USA202507JTY,2026-08-01,2026-08-09,"Aarhus, Denmark",https://sailing.org/regatta/ilca-4-youth-world-championships?ref=USA202507JTY,10,SWE,Sweden,Adele Ramm-Ericson,SWEAR21,,195,147
youth,Class Youth World Championship,ILCA 4,ILCA 4 Youth Female,ILCA 4 Youth World Championships,USA202507JTY,2026-08-01,2026-08-09,"Aarhus, Denmark",https://sailing.org/regatta/ilca-4-youth-world-championships?ref=USA202507JTY,11,TUR,Türkiye,Derin Degisen,TURDD20,,216,152
youth,Class Youth World Championship,ILCA 4,ILCA 4 Youth Female,ILCA 4 Youth World Championships,USA202507JTY,2026-08-01,2026-08-09,"Aarhus, Denmark",https://sailing.org/regatta/ilca-4-youth-world-championships?ref=USA202507JTY,12,ESP,Spain,Marina Garau,ESPMG103,,186,152
youth,Class Youth World Championship,ILCA 4,ILCA 4 Youth Female,ILCA 4 Youth World Championships,USA202507JTY,2026-08-01,2026-08-09,"Aarhus, Denmark",https://sailing.org/regatta/ilca-4-youth-world-championships?ref=USA202507JTY,13,CRO,Croatia,Tanja Ozretić,CROTO1,,272,196
