group,level_label,class_label,event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points
youth,Class Youth World Championship,ILCA 6,ILCA 6 Women,ILCA 6 Youth World Championships,USA202507AJ8,2026-08-11,2026-08-19,"Aarhus, Denmark",https://sailing.org/regatta/ilca-6-youth-world-championships?ref=USA202507AJ8,1,GRE,Greece,Hermionie Ghicas,GREHG3,,24,16
youth,Class Youth World Championship,ILCA 6,ILCA 6 Women,ILCA 6 Youth World Championships,USA202507AJ8,2026-08-11,2026-08-19,"Aarhus, Denmark",https://sailing.org/regatta/ilca-6-youth-world-championships?ref=USA202507AJ8,2,IRL,Ireland,Sienna Wright,IRLSW20,,51,40
youth,Class Youth World Championship,ILCA 6,ILCA 6 Women,ILCA 6 Youth World Championships,USA202507AJ8,2026-08-11,2026-08-19,"Aarhus, Denmark",https://sailing.org/regatta/ilca-6-youth-world-championships?ref=USA202507AJ8,3,NZL,New Zealand,Chloe Turner,NZLCT7,,92,59
youth,Class Youth World Championship,ILCA 6,ILCA 6 Women,ILCA 6 Youth World Championships,USA202507AJ8,2026-08-11,2026-08-19,"Aarhus, Denmark",https://sailing.org/regatta/ilca-6-youth-world-championships?ref=USA202507AJ8,4,CZE,Czechia,Beata  Dokoupilova,CZEBD1,,87,65
youth,Class Youth World Championship,ILCA 6,ILCA 6 Women,ILCA 6 Youth World Championships,USA202507AJ8,2026-08-11,2026-08-19,"Aarhus, Denmark",https://sailing.org/regatta/ilca-6-youth-world-championships?ref=USA202507AJ8,5,POL,Poland,Hanna Rogowska,POLHR4,,131,69
youth,Class Youth World Championship,ILCA 6,ILCA 6 Women,ILCA 6 Youth World Championships,USA202507AJ8,2026-08-11,2026-08-19,"Aarhus, Denmark",https://sailing.org/regatta/ilca-6-youth-world-championships?ref=USA202507AJ8,6,ISR,Israel,Gaya Datiashivli,ISRGD2,,154,92
youth,Class Youth World Championship,ILCA 6,ILCA 6 Women,ILCA 6 Youth World Championships,USA202507AJ8,2026-08-11,2026-08-19,"Aarhus, Denmark",https://sailing.org/regatta/ilca-6-youth-world-championships?ref=USA202507AJ8,7,ISR,Israel,Rebecca MANTEL,ISRRM7,,150,107
youth,Class Youth World Championship,ILCA 6,ILCA 6 Women,ILCA 6 Youth World Championships,USA202507AJ8,2026-08-11,2026-08-19,"Aarhus, Denmark",https://sailing.org/regatta/ilca-6-youth-world-championships?ref=USA202507AJ8,8,MLT,Malta,Katrina Micallef,MLTKM2,,137,110
youth,Class Youth World Championship,ILCA 6,ILCA 6 Women,ILCA 6 Youth World Championships,USA202507AJ8,2026-08-11,2026-08-19,"Aarhus, Denmark",https://sailing.org/regatta/ilca-6-youth-world-championships?ref=USA202507AJ8,9,PER,Peru,Isabella  Suazo,PERIS1,,132,112
youth,Class Youth World Championship,ILCA 6,ILCA 6 Women,ILCA 6 Youth World Championships,USA202507AJ8,2026-08-11,2026-08-19,"Aarhus, Denmark",https://sailing.org/regatta/ilca-6-youth-world-championships?ref=USA202507AJ8,10,TUR,Türkiye,Derin Bartan,TURDB13,,160,113
youth,Class Youth World Championship,ILCA 6,ILCA 6 Women,ILCA 6 Youth World Championships,USA202507AJ8,2026-08-11,2026-08-19,"Aarhus, Denmark",https://sailing.org/regatta/ilca-6-youth-world-championships?ref=USA202507AJ8,11,ESP,Spain,gabriela manresa,ESPGM37,,151,123
youth,Class Youth World Championship,ILCA 6,ILCA 6 Women,ILCA 6 Youth World Championships,USA202507AJ8,2026-08-11,2026-08-19,"Aarhus, Denmark",https://sailing.org/regatta/ilca-6-youth-world-championships?ref=USA202507AJ8,12,BAH,Bahamas,Eliza Denning,BAHED2,,163,125
youth,Class Youth World Championship,ILCA 6,ILCA 6 Women,ILCA 6 Youth World Championships,USA202507AJ8,2026-08-11,2026-08-19,"Aarhus, Denmark",https://sailing.org/regatta/ilca-6-youth-world-championships?ref=USA202507AJ8,13,SUI,Switzerland,Camille Vallotton,SUICV7,,160,125
youth,Class Youth World Championship,ILCA 6,ILCA 6 Women,ILCA 6 Youth World Championships,USA202507AJ8,2026-08-11,2026-08-19,"Aarhus, Denmark",https://sailing.org/regatta/ilca-6-youth-world-championships?ref=USA202507AJ8,14,CRO,Croatia,Antea Alujevic,CROAA4,,167,128
youth,Class Youth World Championship,ILCA 6,ILCA 6 Women,ILCA 6 Youth World Championships,USA202507AJ8,2026-08-11,2026-08-19,"Aarhus, Denmark",https://sailing.org/regatta/ilca-6-youth-world-championships?ref=USA202507AJ8,15,ESP,Spain,Paula Rosselló,ESPPR33,,183,132
youth,Class Youth World Championship,ILCA 6,ILCA 6 Women,ILCA 6 Youth World Championships,USA202507AJ8,2026-08-11,2026-08-19,"Aarhus, Denmark",https://sailing.org/regatta/ilca-6-youth-world-championships?ref=USA202507AJ8,16,AUS,Australia,Caterina Meyer,AUSCM55,,171,136
youth,Class Youth World Championship,ILCA 6,ILCA 6 Women,ILCA 6 Youth World Championships,USA202507AJ8,2026-08-11,2026-08-19,"Aarhus, Denmark",https://sailing.org/regatta/ilca-6-youth-world-championships?ref=USA202507AJ8,17,BRA,Brazil,Valentina  Victor de Araújo,BRAVV3,,203,141
youth,Class Youth World Championship,ILCA 6,ILCA 6 Women,ILCA 6 Youth World Championships,USA202507AJ8,2026-08-11,2026-08-19,"Aarhus, Denmark",https://sailing.org/regatta/ilca-6-youth-world-championships?ref=USA202507AJ8,18,FRA,France,Léa BOURHIS,FRALB87,,190,157
youth,Class Youth World Championship,ILCA 6,ILCA 6 Women,ILCA 6 Youth World Championships,USA202507AJ8,2026-08-11,2026-08-19,"Aarhus, Denmark",https://sailing.org/regatta/ilca-6-youth-world-championships?ref=USA202507AJ8,19,ITA,Italy,Giulia Marella,ITAGM234,,215,170
