group,level_label,class_label,event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points
youth,World Championships,ILCA 6,ILCA 6 Women,ILCA 6 Women's World Championship,IRL2026096VV,2026-09-05,2026-09-12,"Dun Laoghaire, Ireland",https://sailing.org/regatta/ilca-6-women-s-world-championship?ref=IRL2026096VV,1,USA,United States of America,Charlotte Rose,USACR200,222035,48,23
youth,World Championships,ILCA 6,ILCA 6 Women,ILCA 6 Women's World Championship,IRL2026096VV,2026-09-05,2026-09-12,"Dun Laoghaire, Ireland",https://sailing.org/regatta/ilca-6-women-s-world-championship?ref=IRL2026096VV,2,BEL,Belgium,Emma Plasschaert,BELPE1,211552,81,28
youth,World Championships,ILCA 6,ILCA 6 Women,ILCA 6 Women's World Championship,IRL2026096VV,2026-09-05,2026-09-12,"Dun Laoghaire, Ireland",https://sailing.org/regatta/ilca-6-women-s-world-championship?ref=IRL2026096VV,3,DEN,Denmark,Anna Munch,DENAM6,220066,71,34
youth,World Championships,ILCA 6,ILCA 6 Women,ILCA 6 Women's World Championship,IRL2026096VV,2026-09-05,2026-09-12,"Dun Laoghaire, Ireland",https://sailing.org/regatta/ilca-6-women-s-world-championship?ref=IRL2026096VV,4,HUN,Hungary,Maria Erdi,HUNME1,211551,71,38
youth,World Championships,ILCA 6,ILCA 6 Women,ILCA 6 Women's World Championship,IRL2026096VV,2026-09-05,2026-09-12,"Dun Laoghaire, Ireland",https://sailing.org/regatta/ilca-6-women-s-world-championship?ref=IRL2026096VV,5,GBR,Great Britain,Matilda Nicholls,GBRMN16,228016,84,39
youth,World Championships,ILCA 6,ILCA 6 Women,ILCA 6 Women's World Championship,IRL2026096VV,2026-09-05,2026-09-12,"Dun Laoghaire, Ireland",https://sailing.org/regatta/ilca-6-women-s-world-championship?ref=IRL2026096VV,6,NED,Netherlands,Maxime Jonker,NEDMJ5,211391,86,42
youth,World Championships,ILCA 6,ILCA 6 Women,ILCA 6 Women's World Championship,IRL2026096VV,2026-09-05,2026-09-12,"Dun Laoghaire, Ireland",https://sailing.org/regatta/ilca-6-women-s-world-championship?ref=IRL2026096VV,7,IRL,Ireland,Eve McMahon,IRLEM39,216116,124,51
youth,World Championships,ILCA 6,ILCA 6 Women,ILCA 6 Women's World Championship,IRL2026096VV,2026-09-05,2026-09-12,"Dun Laoghaire, Ireland",https://sailing.org/regatta/ilca-6-women-s-world-championship?ref=IRL2026096VV,8,GBR,Great Britain,Hannah Snellgrove,GBRHS12,226020,84,53
youth,World Championships,ILCA 6,ILCA 6 Women,ILCA 6 Women's World Championship,IRL2026096VV,2026-09-05,2026-09-12,"Dun Laoghaire, Ireland",https://sailing.org/regatta/ilca-6-women-s-world-championship?ref=IRL2026096VV,9,FRA,France,Louise Cervera,FRALC33,212121,142,56
youth,World Championships,ILCA 6,ILCA 6 Women,ILCA 6 Women's World Championship,IRL2026096VV,2026-09-05,2026-09-12,"Dun Laoghaire, Ireland",https://sailing.org/regatta/ilca-6-women-s-world-championship?ref=IRL2026096VV,10,POL,Poland,Agata Barwinska,POLAB11,217327,111,58
