group,level_label,class_label,event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points
youth,Continental,IQFOiL,IQFOiL Men,iQFOiL North American Championship,USA202607WN0,2026-07-25,2026-07-27,"Alamitos Bay Yacht Club, United States of America",https://sailing.org/regatta/iqfoil-north-american-championship?ref=USA202607WN0,1,CHN,"China, PR",Kun Bi,CHNKB1,1,32,22
youth,Continental,IQFOiL,IQFOiL Men,iQFOiL North American Championship,USA202607WN0,2026-07-25,2026-07-27,"Alamitos Bay Yacht Club, United States of America",https://sailing.org/regatta/iqfoil-north-american-championship?ref=USA202607WN0,2,NZL,New Zealand,Josh Armit,NZLJA7,59,35,24
youth,Continental,IQFOiL,IQFOiL Men,iQFOiL North American Championship,USA202607WN0,2026-07-25,2026-07-27,"Alamitos Bay Yacht Club, United States of America",https://sailing.org/regatta/iqfoil-north-american-championship?ref=USA202607WN0,3,AUS,Australia,Rory Meehan,AUSRM67,3,55,27
youth,Continental,IQFOiL,IQFOiL Men,iQFOiL North American Championship,USA202607WN0,2026-07-25,2026-07-27,"Alamitos Bay Yacht Club, United States of America",https://sailing.org/regatta/iqfoil-north-american-championship?ref=USA202607WN0,4,NZL,New Zealand,Elijah Liefting,NZLEL2,13,58,36
youth,Continental,IQFOiL,IQFOiL Men,iQFOiL North American Championship,USA202607WN0,2026-07-25,2026-07-27,"Alamitos Bay Yacht Club, United States of America",https://sailing.org/regatta/iqfoil-north-american-championship?ref=USA202607WN0,5,HKG,"Hong Kong, China",Ching Yin Cheng,HKGCC8,21,64.3,36.3
youth,Continental,IQFOiL,IQFOiL Men,iQFOiL North American Championship,USA202607WN0,2026-07-25,2026-07-27,"Alamitos Bay Yacht Club, United States of America",https://sailing.org/regatta/iqfoil-north-american-championship?ref=USA202607WN0,6,CHN,"China, PR",Jingye Huang,CHNJH4,18,63,40
youth,Continental,IQFOiL,IQFOiL Men,iQFOiL North American Championship,USA202607WN0,2026-07-25,2026-07-27,"Alamitos Bay Yacht Club, United States of America",https://sailing.org/regatta/iqfoil-north-american-championship?ref=USA202607WN0,7,NZL,New Zealand,Blake Hinsley,NZLBH11,58,81,58
youth,Continental,IQFOiL,IQFOiL Men,iQFOiL North American Championship,USA202607WN0,2026-07-25,2026-07-27,"Alamitos Bay Yacht Club, United States of America",https://sailing.org/regatta/iqfoil-north-american-championship?ref=USA202607WN0,8,SWE,Sweden,Vidar Nystrom,SWEVN1,28,86,63
youth,Continental,IQFOiL,IQFOiL Men,iQFOiL North American Championship,USA202607WN0,2026-07-25,2026-07-27,"Alamitos Bay Yacht Club, United States of America",https://sailing.org/regatta/iqfoil-north-american-championship?ref=USA202607WN0,9,USA,United States of America,Xavier Ferlet,GBRXF1,451,104,79
youth,Continental,IQFOiL,IQFOiL Men,iQFOiL North American Championship,USA202607WN0,2026-07-25,2026-07-27,"Alamitos Bay Yacht Club, United States of America",https://sailing.org/regatta/iqfoil-north-american-championship?ref=USA202607WN0,10,CAN,Canada,Arie Moffat,CANAM41,447,111,83
youth,Continental,IQFOiL,IQFOiL Men,iQFOiL North American Championship,USA202607WN0,2026-07-25,2026-07-27,"Alamitos Bay Yacht Club, United States of America",https://sailing.org/regatta/iqfoil-north-american-championship?ref=USA202607WN0,11,AUS,Australia,Grae Morris,AUSGM33,81,112,84
youth,Continental,IQFOiL,IQFOiL Men,iQFOiL North American Championship,USA202607WN0,2026-07-25,2026-07-27,"Alamitos Bay Yacht Club, United States of America",https://sailing.org/regatta/iqfoil-north-american-championship?ref=USA202607WN0,12,USA,United States of America,Rohan Desjardins,USARD176,932,116,88
youth,Continental,IQFOiL,IQFOiL Men,iQFOiL North American Championship,USA202607WN0,2026-07-25,2026-07-27,"Alamitos Bay Yacht Club, United States of America",https://sailing.org/regatta/iqfoil-north-american-championship?ref=USA202607WN0,13,EGY,Egypt,Mohamed Elsafty,EGYME2,9,139,111
