group,level_label,class_label,event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points
youth,Continental,IQFOiL,IQFOiL Women,iQFOiL North American Championship,USA202607WN0,2026-07-25,2026-07-27,"Alamitos Bay Yacht Club, United States of America",https://sailing.org/regatta/iqfoil-north-american-championship?ref=USA202607WN0,1,CHN,"China, PR",Zheng Yan,CHNZY5,37,45,19
youth,Continental,IQFOiL,IQFOiL Women,iQFOiL North American Championship,USA202607WN0,2026-07-25,2026-07-27,"Alamitos Bay Yacht Club, United States of America",https://sailing.org/regatta/iqfoil-north-american-championship?ref=USA202607WN0,2,NZL,New Zealand,Veerle Ten Have,NZLVT2,1,52,29
youth,Continental,IQFOiL,IQFOiL Women,iQFOiL North American Championship,USA202607WN0,2026-07-25,2026-07-27,"Alamitos Bay Yacht Club, United States of America",https://sailing.org/regatta/iqfoil-north-american-championship?ref=USA202607WN0,3,NZL,New Zealand,Aimee Bright,NZLAB9,15,55,30
youth,Continental,IQFOiL,IQFOiL Women,iQFOiL North American Championship,USA202607WN0,2026-07-25,2026-07-27,"Alamitos Bay Yacht Club, United States of America",https://sailing.org/regatta/iqfoil-north-american-championship?ref=USA202607WN0,4,CHN,"China, PR",Yongqi Li,CHNYL37,7,76,50
youth,Continental,IQFOiL,IQFOiL Women,iQFOiL North American Championship,USA202607WN0,2026-07-25,2026-07-27,"Alamitos Bay Yacht Club, United States of America",https://sailing.org/regatta/iqfoil-north-american-championship?ref=USA202607WN0,5,MEX,Mexico,Mariana Aguilar Chavez Peon,MEXMA3,28,74,52
youth,Continental,IQFOiL,IQFOiL Women,iQFOiL North American Championship,USA202607WN0,2026-07-25,2026-07-27,"Alamitos Bay Yacht Club, United States of America",https://sailing.org/regatta/iqfoil-north-american-championship?ref=USA202607WN0,6,USA,United States of America,Dominique Stater,USADS214,220,74,53
youth,Continental,IQFOiL,IQFOiL Women,iQFOiL North American Championship,USA202607WN0,2026-07-25,2026-07-27,"Alamitos Bay Yacht Club, United States of America",https://sailing.org/regatta/iqfoil-north-american-championship?ref=USA202607WN0,7,CHN,"China, PR",Li Wenqi,CHNLW17,17,78,54
youth,Continental,IQFOiL,IQFOiL Women,iQFOiL North American Championship,USA202607WN0,2026-07-25,2026-07-27,"Alamitos Bay Yacht Club, United States of America",https://sailing.org/regatta/iqfoil-north-american-championship?ref=USA202607WN0,8,POL,Poland,Anastasiya Valkevich,POLAV1,6,90,60
youth,Continental,IQFOiL,IQFOiL Women,iQFOiL North American Championship,USA202607WN0,2026-07-25,2026-07-27,"Alamitos Bay Yacht Club, United States of America",https://sailing.org/regatta/iqfoil-north-american-championship?ref=USA202607WN0,9,USA,United States of America,Bryn Muller,USABM187,178,88,61
youth,Continental,IQFOiL,IQFOiL Women,iQFOiL North American Championship,USA202607WN0,2026-07-25,2026-07-27,"Alamitos Bay Yacht Club, United States of America",https://sailing.org/regatta/iqfoil-north-american-championship?ref=USA202607WN0,10,NOR,Norway,Maya Gysler,NORMG7,21,94,64
youth,Continental,IQFOiL,IQFOiL Women,iQFOiL North American Championship,USA202607WN0,2026-07-25,2026-07-27,"Alamitos Bay Yacht Club, United States of America",https://sailing.org/regatta/iqfoil-north-american-championship?ref=USA202607WN0,11,NZL,New Zealand,Stella Bilger,NZLSB27,50,92,64
youth,Continental,IQFOiL,IQFOiL Women,iQFOiL North American Championship,USA202607WN0,2026-07-25,2026-07-27,"Alamitos Bay Yacht Club, United States of America",https://sailing.org/regatta/iqfoil-north-american-championship?ref=USA202607WN0,12,NOR,Norway,Mina Mobekk,NORMM23,332,104,74
youth,Continental,IQFOiL,IQFOiL Women,iQFOiL North American Championship,USA202607WN0,2026-07-25,2026-07-27,"Alamitos Bay Yacht Club, United States of America",https://sailing.org/regatta/iqfoil-north-american-championship?ref=USA202607WN0,13,USA,United States of America,Brianna Orams,USABO39,033,135,105
youth,Continental,IQFOiL,IQFOiL Women,iQFOiL North American Championship,USA202607WN0,2026-07-25,2026-07-27,"Alamitos Bay Yacht Club, United States of America",https://sailing.org/regatta/iqfoil-north-american-championship?ref=USA202607WN0,14,NZL,New Zealand,Daniella  Wooldridge,NZLDW13,303,147,117
