group,level_label,class_label,event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points,1Q (US),2Q (US),3Q (US),4Q (US),5Q (CR),6Q (CR),7Q (CR),8Q (CR),9F (SL),10F (SL),11F (SL),12F (SL),13F (CR),14F (CR),15F (CR),16F (CR),17F (SL),18F (SL),19F (SL),QF,SF,F1,F
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,1,NED,Netherlands,Luuc van Opzeeland,NEDAV51,,153,65,(5),3,1,1,5,(13),5,1,1,9,(31),7,9,9,2,4,5,(39) BFD,3,-,-,1,1
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,2,USA,United States of America,Noah Lyons,USANL20,,135,49,3,1,(7),3,1,1,(4),2,11,1,5,9,4,2,4,(58) UFD,(17),1,1,-,-,2,2
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,3,DEN,Denmark,Johan Soe,DENJS34,,138,66,(11),3,9,1,(13),2,3,4,3,(13),1,1,(35),4,8,2,5,7,13,-,2,3,3
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,4,FRA,France,Nicolas Goyard,FRANG10,,174,79,1,1,7,3,(17),(14),1,3,(25),19,3,5,14,1,1,6,(39) BFD,3,11,-,1,5 DNC,4
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,5,ISR,Israel,Tom Reuveny,ISRTR3,,201,114,3,(13),5,5,1,4,(6),2,5,(31),(37),1,10,24,14,15,9,1,15,1,3,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,6,ITA,Italy,Federico Pilloni,ITAFP148,,245.3,133.3,3,(15),3,5,5,(21),6,7,7,1,21,(37),16,23,7,15.3 RDG,3,(39) BFD,11,2,4,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,7,NED,Netherlands,Kiran Badloe,NEDKB8,,178,80,5,1,(9),(15),2,9,8,1,1,9,3,11,(58) UFD,8,15,(16),1,3,3,-,5,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,8,ISR,Israel,Yoav Omer,ISRYO2,,252,118,3,1,1,9,2,(22),2,(34),3,1,27,3,22,10,(43),8,(35),21,5,3,-,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,9,ITA,Italy,Nicolo Renna,ITANR16,,206,115,1,5,(17),1,11,1,(12),10,9,(23),9,3,12,15,3,3,15,(39) DNC,17,4,-,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,10,AUS,Australia,Grae Morris,AUSGM33,,305,129,9,1,7,3,(56) UFD,(56) UFD,4,4,5,19,1,(25),8,13,16,1,13,25,(39) DNF,5,-,-,-
